Connection id, Sent size (bytes), Delivered size (bytes), Effective delivery rate (Gbps), Delivery rate (Gbps), CCT (ns)
conn_1--2, 30720, 30720, 19.2804, 18.6386, 12280
conn_1--3, 30720, 30720, 17.9918, 18.9975, 12048
conn_1--4, 30720, 30720, 17.672, 18.6462, 12275
conn_1--5, 30720, 30720, 18.5337, 19.9288, 11485
conn_2--1, 30720, 30720, 19.7899, 18.88, 12123
conn_2--3, 30720, 30720, 20.0331, 19.056, 12011
conn_2--4, 30720, 30720, 19.5474, 18.8706, 12129
conn_2--5, 30720, 30720, 19.6079, 19.2435, 11894
conn_3--1, 30720, 30720, 18.0848, 19.1774, 11935
conn_3--2, 30720, 30720, 18.8373, 19.967, 11463
conn_3--4, 30720, 30720, 18.5779, 19.7227, 11605
conn_3--5, 30720, 30720, 18.7774, 19.9827, 11454
conn_4--1, 30720, 30720, 17.0964, 18.6507, 12272
conn_4--2, 30720, 30720, 17.166, 18.9723, 12064
conn_4--3, 30720, 30720, 17.4029, 18.9676, 12067
conn_4--5, 30720, 30720, 17.2624, 18.9707, 12065
conn_5--1, 30720, 30720, 19.9973, 20.0756, 11401
conn_5--2, 30720, 30720, 19.8378, 20.0826, 11397
conn_5--3, 30720, 30720, 18.6223, 20.0791, 11399
conn_5--4, 30720, 30720, 17.7138, 19.6549, 11645
