Time,from_ingress_queue_size,to_ingress_queue_size
1525.88,2048,nan
3051.76,0,0
4582.13,2048,0
6108.01,2048,0
7633.88,0,0
7639.37,2048,0
9165.25,2048,2048
9167.25,2048,0
10691.1,2048,2048
10693.1,2048,0
12217,2048,2048
12219,2048,0
13742.9,2048,2048
13744.9,2048,0
15268.8,2048,2048
15270.8,2048,0
16794.6,2048,2048
16796.6,2048,0
18320.5,2048,0
19846.4,2048,0
21372.3,2048,0
22898.2,0,0
24429.5,2048,0
25955.4,0,0
27486.8,2048,0
29012.7,0,0
30544,2048,0
32069.9,0,0
33601.3,2048,0
35127.2,0,0
36658.5,2048,0
38184.4,0,0
39715.8,2048,0
41241.7,0,2048
41242.9,0,0
42775.3,2048,0
44301.2,0,0
45832.5,2048,0
47358.4,0,0
48889.8,2048,0
50415.7,2048,0
51941.5,0,0
51947,2048,0
53472.9,2048,0
54998.8,0,0
55003.3,2048,0
56529.1,2048,2048
56530.4,2048,0
58055,2048,2048
58056.3,2048,0
59580.9,2048,2048
59582.2,2048,0
61106.8,2048,2048
61108,2048,0
62632.7,2048,2048
62633.9,2048,0
64158.5,2048,2048
64159.8,2048,0
65684.4,0,2048
65685.7,0,0
67218,2048,0
68743.9,0,0
70275.3,2048,0
71801.2,0,0
73332.5,2048,0
74858.4,0,0
76388.8,2048,0
77914.7,2048,0
79440.5,0,2048
79442.5,0,0
79445,2048,0
80970.9,0,2048
80973.2,0,0
80975.9,2048,0
82501.8,0,0
82505.5,2048,0
84031.4,2048,0
85557.3,2048,0
87083.2,2048,0
88609.1,2048,0
90134.9,2048,0
91660.8,2048,0
93186.7,0,0
94718.1,2048,0
96243.9,0,0
97775.3,2048,0
99301.2,0,0
