Time,from_ingress_queue_size,to_ingress_queue_size
1920.8,1,nan
1928.25,0,nan
1929.25,0,0
3851.05,1,0
3858.5,0,0
3859.5,0,0
4802.72,1,0
4810.17,0,0
4811.17,0,0
5779.3,1,0
5786.75,0,0
5787.75,0,0
6732.97,1,0
6740.42,0,0
6741.42,0,0
7686.65,1,0
7694.1,0,0
7695.1,0,0
8640.32,1,0
8647.77,0,0
8648.77,0,0
9594,1,0
9601.45,0,0
9602.45,0,0
10547.7,1,0
10555.1,0,0
10556.1,0,0
11501.3,1,0
11508.8,0,0
11509.8,0,0
12455,1,0
12462.5,0,0
12463.5,0,0
13408.7,1,0
13416.1,0,0
13417.1,0,0
14362.4,1,0
14369.8,0,0
14370.8,0,0
15316,1,0
15323.5,0,0
15324.5,0,0
16269.7,1,0
16277.2,0,0
16278.2,0,0
17223.4,1,0
17230.8,0,0
17231.8,0,0
18177.1,1,0
18184.5,0,0
18185.5,0,0
19132.7,1,0
19140.2,0,0
19141.2,0,0
20084.4,1,0
20091.9,0,0
20092.9,0,0
22011.7,1,0
22019.1,0,0
22020.1,0,0
23938.9,1,0
23946.4,0,0
23947.4,0,0
25866.2,1,0
25873.6,0,0
25874.6,0,0
27793.4,1,0
27800.9,0,0
27801.9,0,0
29722.7,1,0
29730.1,0,0
29731.1,0,0
30674.3,1,0
30681.8,0,0
30682.8,0,0
31650.9,1,0
31658.4,0,0
31659.4,0,0
32603.6,1,0
32611,0,0
32612,0,0
33579.2,1,0
33586.6,0,0
33587.6,0,0
34533.8,1,0
34541.3,0,0
34542.3,0,0
35487.5,1,0
35495,0,0
35496,0,0
36441.2,1,0
36448.6,0,0
36449.6,0,0
37394.9,1,0
37402.3,0,0
37403.3,0,0
38348.5,1,0
38356,0,0
38357,0,0
39302.2,1,0
39309.7,0,0
39310.7,0,0
40255.9,1,0
40263.3,0,0
40264.3,0,0
41209.6,1,0
41217,0,0
41218,0,0
42163.2,1,0
42170.7,0,0
42171.7,0,0
43116.9,1,0
43124.4,0,0
43125.4,0,0
44071.6,1,0
44079,0,0
44080,0,0
45025.3,1,0
45032.7,0,0
45033.7,0,0
45978.9,1,0
45986.4,0,0
45987.4,0,0
46932.6,1,0
46940.1,0,0
46941.1,0,0
47886.3,1,0
47893.7,0,0
47894.7,0,0
48840,1,0
48847.4,0,0
48848.4,0,0
49793.6,1,0
49801.1,0,0
49802.1,0,0
50745.3,1,0
50752.8,0,0
50753.8,0,0
52673.5,1,0
52681,0,0
52682,0,0
54601.8,1,0
54609.2,0,0
54610.2,0,0
56530,1,0
56537.5,0,0
56538.5,0,0
57487.7,1,0
57495.2,0,0
57496.2,0,0
58458.3,1,0
58465.7,0,0
58466.7,0,0
59420,1,0
59427.4,0,0
59428.4,0,0
60386.5,1,0
60394,0,0
60395,0,0
61343.2,1,0
61350.7,0,0
61351.7,0,0
62296.9,1,0
62304.3,0,0
62305.3,0,0
63250.6,1,0
63258,0,0
63259,0,0
64204.2,1,0
64211.7,0,0
64212.7,0,0
65157.9,1,0
65165.4,0,0
65166.4,0,0
66111.6,1,0
66119,0,0
66120,0,0
67065.3,1,0
67072.7,0,0
67073.7,0,0
68018.9,1,0
68026.4,0,0
68027.4,0,0
68972.6,1,0
68980.1,0,0
68981.1,0,0
69926.3,1,0
69933.7,0,0
69934.7,0,0
70880,1,0
70887.4,0,0
70888.4,0,0
71833.6,1,0
71841.1,0,0
71842.1,0,0
72787.3,1,0
72794.8,0,0
72795.8,0,0
73741,1,0
73748.4,0,0
73749.4,0,0
74694.7,1,0
74702.1,0,0
74703.1,0,0
75648.3,1,0
75655.8,0,0
75656.8,0,0
76602,1,0
76609.5,0,0
76610.5,0,0
77556.7,1,0
77564.1,0,0
77565.1,0,0
79484.9,1,0
79492.4,0,0
79493.4,0,0
81413.2,1,0
81420.6,0,0
81421.6,0,0
83341.4,1,0
83348.9,0,0
83349.9,0,0
84299.1,1,0
84306.6,0,0
84307.6,0,0
85269.7,1,0
85277.1,0,0
85278.1,0,0
86231.4,1,0
86238.8,0,0
86239.8,0,0
87197.9,1,0
87205.4,0,0
87206.4,0,0
88154.6,1,0
88162.1,0,0
88163.1,0,0
89108.3,1,0
89115.7,0,0
89116.7,0,0
90062,1,0
90069.4,0,0
90070.4,0,0
91015.6,1,0
91023.1,0,0
91024.1,0,0
91969.3,1,0
91976.8,0,0
91977.8,0,0
92923,1,0
92930.4,0,0
92931.4,0,0
93876.7,1,0
93884.1,0,0
93885.1,0,0
94830.3,1,0
94837.8,0,0
94838.8,0,0
95784,1,0
95791.5,0,0
95792.5,0,0
96737.7,1,0
96745.1,0,0
96746.1,0,0
97691.4,1,0
97698.8,0,0
97699.8,0,0
98645,1,0
98652.5,0,0
98653.5,0,0
99598.7,1,0
99606.2,0,0
99607.2,0,0
