Time,from_ingress_queue_size,to_ingress_queue_size
1495.19,1,nan
1495.27,0,0
5216.48,1,0
5216.56,0,0
5964.54,1,0
5964.61,0,0
11922,1,0
11922.1,0,0
13412.1,1,0
13412.2,0,0
14160.2,1,0
14160.3,0,0
15650.3,1,0
15650.4,0,0
26078.1,1,0
26078.2,0,0
27573.2,1,0
27573.3,0,0
29061.3,1,0
29061.4,0,0
40979.3,1,0
40979.3,0,0
42474.4,1,0
42474.5,0,0
43219.4,1,0
43219.5,0,0
51414.1,1,0
51414.2,0,0
52160.1,1,0
52160.2,0,0
52903.2,1,0
52903.3,0,0
54393.3,1,0
54393.4,0,0
61844.9,1,0
61845,0,0
62591,1,0
62591,0,0
63334,1,0
63334.1,0,0
64824.1,1,0
64824.2,0,0
73016.8,1,0
73016.8,0,0
73766.8,1,0
73766.9,0,0
74511.9,1,0
74512,0,0
75256.9,1,0
75257,0,0
77489.1,1,0
77489.2,0,0
87177.9,1,0
87177.9,0,0
87922.9,1,0
87923,0,0
90155.1,1,0
90155.2,0,0
96858.6,1,0
96858.7,0,0
97607.7,1,0
97607.8,0,0
99840.9,1,0
99840.9,0,0
101331,1,0
101331,0,0
108039,1,0
108040,0,0
108784,1,0
108784,0,0
111017,1,0
111017,0,0
113252,1,0
113252,0,0
113997,1,0
113997,0,0
122940,1,0
122940,0,0
123685,1,0
123685,0,0
125918,1,0
125918,0,0
128153,1,0
128153,0,0
129644,1,0
129644,0,0
140822,1,0
140822,0,0
141566,1,0
141566,0,0
142310,1,0
142310,0,0
144547,1,0
144547,0,0
146783,1,0
146783,0,0
148273,1,0
148273,0,0
155718,1,0
155718,0,0
156467,1,0
156467,0,0
157211,1,0
157211,0,0
160191,1,0
160191,0,0
168388,1,0
168388,0,0
169133,1,0
169133,0,0
169878,1,0
169878,0,0
172857,1,0
172857,0,0
183290,1,0
183290,0,0
184034,1,0
184034,0,0
187013,1,0
187013,0,0
198936,1,0
198936,0,0
199681,1,0
199681,0,0
202659,1,0
202659,0,0
204150,1,0
204150,0,0
217562,1,0
217562,0,0
218307,1,0
218307,0,0
221288,1,0
221288,0,0
222778,1,0
222779,0,0
224269,1,0
224269,0,0
234698,1,0
234698,0,0
235443,1,0
235443,0,0
244380,1,0
244380,0,0
245873,1,0
245873,0,0
246619,1,0
246619,0,0
257050,1,0
257050,0,0
258539,1,0
258539,0,0
259285,1,0
259285,0,0
260029,1,0
260029,0,0
273441,1,0
273441,0,0
274930,1,0
274931,0,0
275677,1,0
275677,0,0
276423,1,0
276423,0,0
277168,1,0
277168,0,0
289834,1,0
289834,0,0
291322,1,0
291322,0,0
292069,1,0
292069,0,0
302499,1,0
302499,0,0
303245,1,0
303245,0,0
303988,1,0
303988,0,0
305480,1,0
305480,0,0
313675,1,0
313675,0,0
314421,1,0
314421,0,0
324106,1,0
324106,0,0
324846,1,0
324846,0,0
325594,1,0
325595,0,0
333787,1,0
333787,0,0
334532,1,0
334532,0,0
343473,1,0
343473,0,0
344218,1,0
344218,0,0
355398,1,0
355398,0,0
356144,1,0
356144,0,0
356887,1,0
356887,0,0
366575,1,0
366575,0,0
