Connection id, Sent size (bytes), Delivered size (bytes), Effective delivery rate (Gbps), Delivery rate (Gbps), CCT (ns)
host-1--host-2, 30720, 30720, 17.9468, 19.7482, 11590
host-1--host-3, 30720, 30720, 17.4429, 19.5592, 11702
host-1--host-4, 30720, 30720, 17.0697, 18.9221, 12096
host-1--host-5, 30720, 30720, 16.8266, 16.7507, 13664
host-2--host-1, 30720, 30720, 18.5602, 21.2874, 10752
host-2--host-3, 30720, 30720, 19.2825, 20.8529, 10976
host-2--host-4, 30720, 30720, 18.7918, 19.8407, 11536
host-2--host-5, 30720, 30720, 19.8132, 19.6499, 11648
host-3--host-1, 30720, 30720, 19.3343, 18.838, 12150
host-3--host-2, 30720, 30720, 21.3121, 21.2874, 10752
host-3--host-4, 30720, 30720, 20.0381, 19.6499, 11648
host-3--host-5, 30720, 30720, 18.8168, 16.8892, 13552
host-4--host-1, 30720, 30720, 17.0154, 18.9221, 12096
host-4--host-2, 30720, 30720, 17.1086, 18.9221, 12096
host-4--host-3, 30720, 30720, 18.3996, 18.9221, 12096
host-4--host-5, 30720, 30720, 18.9396, 18.9221, 12096
host-5--host-1, 30720, 30720, 28.9991, 16.7507, 13664
host-5--host-2, 30720, 30720, 18.6827, 17.4666, 13104
host-5--host-3, 30720, 30720, 18.8385, 17.6171, 12992
host-5--host-4, 30720, 30720, 18.383, 17.4666, 13104
