Time,from_ingress_queue_size,to_ingress_queue_size
469,10000,nan
1214.06,0,0
2469,10000,0
3214.06,0,0
3424.38,10000,0
3425.38,20000,0
4169.44,10000,10000
4174.36,10000,0
4914.5,0,10000
4919.42,0,0
9335.14,10000,0
9336.14,20000,0
10080.2,10000,10000
10082.2,10000,0
10825.3,0,10000
10826.3,0,0
10877,10000,0
11622,0,10000
11624.9,0,0
12365.1,10000,0
13110.1,0,10000
13112.1,0,0
23544.9,10000,0
24290,0,10000
24291,0,0
26524.2,10000,0
26525.2,20000,0
27269.2,10000,10000
27271.2,10000,0
28014.3,0,10000
28015.3,0,0
34715.8,10000,0
35460.9,0,10000
35466.8,0,0
36955,10000,0
37700.1,10000,10000
37701.1,20000,10000
37702,20000,0
38445.1,10000,10000
38446.1,10000,0
39190.2,0,10000
39191.1,0,0
43656.5,10000,0
44401.6,0,10000
44403.5,0,0
46640.7,10000,0
47385.8,10000,10000
47387.7,10000,0
48129.9,20000,0
48130.9,10000,10000
48131.9,10000,0
48875.9,0,10000
48876.9,0,0
56322.5,10000,0
56323.5,20000,0
57067.6,10000,10000
57069.5,10000,0
57812.6,0,10000
57817.5,0,0
59306.7,10000,0
60051.8,0,10000
60053.7,0,0
68988.5,10000,0
69733.5,10000,10000
69735.5,10000,0
70478.6,0,10000
70480.5,0,0
72717.8,10000,0
73462.8,0,10000
73464.8,0,0
80909.4,10000,0
81654.5,0,10000
81656.4,0,0
82402.5,10000,0
82403.5,20000,0
83147.6,10000,10000
83151.5,10000,0
83892.7,0,10000
83894.6,0,0
85383.8,10000,0
86128.8,0,10000
86130.8,0,0
94320.5,10000,0
95065.5,0,10000
95067.4,0,0
96560.6,10000,0
97305.7,10000,10000
97306.7,20000,10000
97307.6,20000,0
98050.8,10000,10000
98051.8,10000,0
98795.8,0,10000
98796.8,0,0
100286,10000,0
101031,0,10000
101032,0,0
109967,10000,0
110712,0,10000
110714,0,0
112952,10000,0
113692,20000,0
113697,10000,10000
113698,10000,0
114440,20000,0
114442,10000,10000
114443,10000,0
115187,0,10000
115188,0,0
129343,10000,0
129344,20000,0
130088,20000,10000
130090,20000,0
130833,10000,10000
130834,10000,0
131578,0,0
141259,10000,0
142004,0,10000
142006,0,0
143494,10000,0
144239,0,10000
144245,0,0
153180,10000,0
153925,0,10000
153927,0,0
156909,10000,0
157654,0,10000
157656,0,0
164356,10000,0
164357,20000,0
165101,10000,10000
165103,10000,0
165846,0,10000
165848,0,0
168085,10000,0
168830,0,10000
168832,0,0
177767,10000,0
178512,0,10000
178514,0,0
179257,10000,0
179258,20000,0
180002,10000,10000
180004,10000,0
180747,0,10000
180752,0,0
181495,10000,0
182240,0,10000
182244,0,0
191178,10000,0
191923,0,10000
191925,0,0
193418,10000,0
194163,10000,10000
194165,10000,0
194908,0,10000
194909,0,0
206079,10000,0
206080,20000,0
206824,20000,10000
206826,20000,0
207569,10000,10000
207574,10000,0
208314,0,10000
208319,0,0
217255,10000,0
218000,10000,10000
218002,10000,0
218745,0,10000
218750,0,0
219493,10000,0
219494,20000,0
220238,10000,10000
220241,10000,0
220983,0,10000
220985,0,0
230666,10000,0
231411,10000,10000
231413,10000,0
232156,0,10000
232158,0,0
232904,10000,0
233649,0,10000
233650,10000,10000
233651,20000,10000
233652,20000,0
234395,10000,10000
234396,10000,0
235140,0,10000
235141,0,0
247807,10000,0
248551,20000,0
248552,10000,10000
248553,10000,0
249298,0,10000
249299,0,0
250041,10000,0
250786,0,10000
250789,0,0
261959,10000,0
262704,0,10000
262706,0,0
264199,10000,0
264944,0,10000
264945,0,0
274630,10000,0
275375,0,10000
275376,0,0
276864,10000,0
277609,0,10000
277611,0,0
287295,10000,0
287296,20000,0
288040,10000,10000
288041,10000,0
288785,0,10000
288786,0,0
299211,10000,0
299956,0,10000
299957,0,0
300707,10000,0
301452,0,10000
301454,0,0
311132,10000,0
311133,20000,0
311877,10000,10000
311879,10000,0
312622,0,10000
312627,0,0
320073,10000,0
320818,10000,10000
320820,10000,0
321563,0,10000
321568,0,0
329014,10000,0
329759,10000,10000
329760,20000,10000
329761,20000,0
330504,10000,10000
330506,10000,0
331249,0,10000
331254,0,0
339445,10000,0
340190,0,10000
340191,0,0
340940,10000,0
341685,0,10000
341686,0,0
342428,10000,0
342429,20000,0
343173,10000,10000
343176,10000,0
343918,0,10000
343920,0,0
352112,10000,0
352857,0,10000
352858,0,0
353604,10000,0
354349,0,10000
354353,0,0
367017,10000,0
367762,0,10000
367764,0,0
368505,10000,0
368506,20000,0
369250,10000,10000
369251,10000,0
369995,0,10000
369997,0,0
374467,10000,0
375212,0,10000
375214,0,0
375955,10000,0
376697,20000,0
376700,10000,10000
376701,10000,0
377446,0,10000
377447,0,0
378938,10000,0
378939,20000,0
379683,10000,10000
379685,10000,0
380426,20000,0
380428,10000,10000
380429,10000,0
381171,20000,0
381173,10000,10000
381174,10000,0
381916,20000,0
381918,10000,10000
381919,10000,0
382661,20000,0
382663,10000,10000
382664,10000,0
383408,0,10000
383409,0,0
