Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.7658, 20.161, 369554

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9237, 19.3434, 385174

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.3358, 19.7435, 377369

conn4_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.5715, 19.9723, 373045

conn5_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 20.4317, 19.6459, 379244
