Time,from_ingress_queue_size,to_ingress_queue_size
0,10000,nan
745.058,0,10000
747.058,0,0
2000,10000,0
2745.06,0,10000
2746.06,0,0
2980.38,10000,0
2981.38,20000,0
3725.44,10000,10000
3731.36,10000,0
4470.5,0,10000
4476.42,0,0
8941.14,10000,0
8942.14,20000,0
9686.2,10000,10000
9687.83,10000,0
10431.3,0,10000
10431.9,0,0
10435,10000,0
11180,0,10000
11182,0,0
11923.1,10000,0
12668.1,0,10000
12670.1,0,0
23101.9,10000,0
23847,0,10000
23849.9,0,0
25335.1,10000,0
25336.1,20000,0
26080.2,10000,10000
26083.1,10000,0
26825.2,0,10000
26827.2,0,0
33527.8,10000,0
34272.8,0,10000
34273.7,0,0
36511,10000,0
37256.1,0,10000
37261,0,0
43218.5,10000,0
43963.6,0,10000
43965.6,0,0
46196.7,10000,0
46941.8,0,10000
46944.7,0,0
54389.4,10000,0
54390.4,20000,0
55134.4,10000,10000
55135.4,10000,0
55879.5,0,10000
55881.4,0,0
58862.7,10000,0
59607.8,0,10000
59610.7,0,0
67804.4,10000,0
68549.5,0,10000
68553.4,0,0
73020.8,10000,0
73765.9,0,10000
73767.9,0,0
81215.5,10000,0
81960.5,0,10000
81963.5,0,0
85684.8,10000,0
85685.8,20000,0
86429.9,10000,10000
86432.8,10000,0
87174.9,0,10000
87176.9,0,0
93881.5,10000,0
94626.5,0,10000
94629.4,0,0
97605.8,10000,0
98350.8,10000,10000
98351.8,20000,10000
98353.7,20000,0
99095.9,10000,10000
99097.9,10000,0
99840.9,0,10000
99842.9,0,0
107293,10000,0
108038,0,10000
108040,0,0
111764,10000,0
112507,20000,0
112509,10000,10000
112511,10000,0
113254,0,10000
113256,0,0
122938,10000,0
122939,20000,0
123683,20000,10000
123686,20000,0
124428,10000,10000
124430,10000,0
125173,0,10000
125175,0,0
133369,10000,0
134114,10000,10000
134117,10000,0
134858,20000,0
134859,20000,10000
134861,20000,0
135604,10000,10000
135606,10000,0
136349,0,10000
136351,0,0
147527,10000,0
148272,10000,10000
148275,10000,0
149014,20000,0
149017,10000,10000
149019,10000,0
149759,20000,0
149760,30000,0
149762,20000,10000
149764,20000,0
150507,10000,10000
150509,10000,0
151252,0,10000
151258,0,0
163171,10000,0
163916,10000,10000
163919,10000,0
164660,20000,0
164661,10000,10000
164663,10000,0
165405,20000,0
165406,10000,10000
165408,10000,0
166151,0,10000
166153,0,0
166895,10000,0
167640,0,10000
167642,0,0
178817,10000,0
178818,20000,0
179562,10000,10000
179564,20000,10000
179567,20000,0
180306,30000,0
180307,20000,10000
180309,20000,0
181051,30000,0
181052,20000,10000
181054,20000,0
181797,10000,10000
181799,10000,0
182541,20000,0
182542,10000,10000
182544,10000,0
183287,0,10000
183289,0,0
189993,10000,0
190738,10000,10000
190739,20000,10000
190741,20000,0
191482,30000,0
191483,20000,10000
191485,20000,0
192227,30000,0
192228,20000,10000
192230,20000,0
192972,30000,0
192973,20000,10000
192975,20000,0
193718,10000,10000
193720,10000,0
194462,20000,0
194463,10000,10000
194465,10000,0
195208,0,10000
195210,0,0
203404,10000,0
204149,10000,10000
204152,10000,0
204893,20000,0
204894,20000,10000
204896,20000,0
205638,30000,0
205639,20000,10000
205641,20000,0
206384,10000,10000
206386,10000,0
207129,0,10000
207131,0,0
220540,10000,0
220541,20000,0
221285,20000,10000
221288,20000,0
222029,30000,0
222030,20000,10000
222032,20000,0
222775,30000,0
222776,20000,10000
222778,20000,0
223521,10000,10000
223523,10000,0
224266,0,10000
224268,0,0
239169,10000,0
239914,10000,10000
239917,10000,0
240656,20000,0
240659,10000,10000
240661,10000,0
241404,0,10000
241406,0,0
254068,10000,0
254813,0,10000
254816,0,0
255558,10000,0
256303,0,10000
256308,0,0
265989,10000,0
266734,0,10000
266737,0,0
267478,10000,0
268223,0,10000
268227,0,0
277165,10000,0
277910,0,10000
277913,0,0
278654,10000,0
278655,20000,0
279399,10000,10000
279403,10000,0
280144,0,10000
280147,0,0
289831,10000,0
290576,0,10000
290581,0,0
291320,10000,0
292065,0,10000
292068,10000,10000
292069,20000,10000
292071,20000,0
292813,10000,10000
292815,10000,0
293558,0,10000
293564,0,0
303987,10000,0
304732,10000,10000
304735,10000,0
305476,20000,0
305477,10000,10000
305479,10000,0
306222,0,10000
306224,0,0
306966,10000,0
307711,0,10000
307713,0,0
316654,10000,0
316655,20000,0
317398,30000,0
317399,20000,10000
317401,20000,0
318144,10000,10000
318146,10000,0
318889,0,10000
318891,0,0
328574,10000,0
329319,10000,10000
329322,10000,0
330063,20000,0
330064,10000,10000
330066,10000,0
330809,0,10000
330811,0,0
341242,10000,0
341985,20000,0
341986,30000,0
341987,20000,10000
341989,20000,0
342729,30000,0
342732,20000,10000
342734,20000,0
343477,10000,10000
343479,10000,0
344222,0,10000
344224,0,0
349435,10000,0
350180,10000,10000
350183,10000,0
350924,20000,0
350925,20000,10000
350927,20000,0
351670,30000,0
351671,20000,10000
351673,20000,0
352416,10000,10000
352418,10000,0
353161,0,10000
353163,0,0
