Flow id, Packet size (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1040000, 1000000, 0, 40000, 4, 22.8568, 21.9777, 339007

conn2_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 19.9224, 19.3421, 385200

conn3_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 21.2807, 20.6609, 360613

conn4_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 22.3426, 21.6918, 343474

conn5_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 20.6824, 20.08, 371044
