Time,from_ingress_queue_size,to_ingress_queue_size
3728.36,1,nan
3728.44,0,0
9687.83,1,0
9687.9,0,0
11176.9,1,0
11177,0,0
20863.7,1,0
20863.8,0,0
22353.8,1,0
22353.9,0,0
23842.9,1,0
23843,0,0
24592,1,0
24592.1,0,0
34278.7,1,0
34278.8,0,0
36509.9,1,0
36510,0,0
38004,1,0
38004.1,0,0
39494.2,1,0
39494.2,0,0
45451.6,1,0
45451.7,0,0
47685.8,1,0
47685.9,0,0
55137.4,1,0
55137.4,0,0
57371.5,1,0
57371.6,0,0
66312.2,1,0
66312.3,0,0
68547.4,1,0
68547.5,0,0
70041.5,1,0
70041.6,0,0
81213.4,1,0
81213.5,0,0
83452.6,1,0
83452.7,0,0
85687.8,1,0
85687.8,0,0
86431.8,1,0
86431.9,0,0
98353.7,1,0
98353.8,0,0
99098.8,1,0
99098.9,0,0
101329,1,0
101329,0,0
102078,1,0
102078,0,0
111762,1,0
111762,0,0
112506,1,0
112506,0,0
114000,1,0
114000,0,0
115489,1,0
115489,0,0
116234,1,0
116234,0,0
126665,1,0
126665,0,0
127410,1,0
127410,0,0
128896,1,0
128896,0,0
141566,1,0
141566,0,0
142311,1,0
142311,0,0
154233,1,0
154233,0,0
154978,1,0
154978,0,0
166898,1,0
166898,0,0
167643,1,0
167643,0,0
169129,1,0
169129,0,0
178074,1,0
178074,0,0
178819,1,0
178819,0,0
179564,1,0
179564,0,0
180305,1,0
180305,0,0
189250,1,0
189250,0,0
190736,1,0
190736,0,0
191481,1,0
191481,0,0
192226,1,0
192226,0,0
203406,1,0
203406,0,0
204151,1,0
204151,0,0
204892,1,0
204892,0,0
215327,1,0
215327,0,0
216072,1,0
216072,0,0
216813,1,0
216813,0,0
227993,1,0
227993,0,0
228738,1,0
228738,0,0
229483,1,0
229483,0,0
230969,1,0
230969,0,0
243640,1,0
243640,0,0
245125,1,0
245125,0,0
245874,1,0
245874,0,0
246620,1,0
246620,0,0
247360,1,0
247360,0,0
256305,1,0
256305,0,0
257791,1,0
257791,0,0
258540,1,0
258540,0,0
259286,1,0
259286,0,0
260026,1,0
260026,0,0
261516,1,0
261517,0,0
267482,1,0
267482,0,0
268967,1,0
268967,0,0
269717,1,0
269717,0,0
270462,1,0
270462,0,0
271202,1,0
271202,0,0
272692,1,0
272692,0,0
273439,1,0
273439,0,0
279402,1,0
279402,0,0
280144,1,0
280144,0,0
280893,1,0
280893,0,0
281638,1,0
281638,0,0
282383,1,0
282383,0,0
283868,1,0
283868,0,0
292068,1,0
292068,0,0
292810,1,0
292810,0,0
294299,1,0
294299,0,0
295046,1,0
295046,0,0
304731,1,0
304731,0,0
305476,1,0
305476,0,0
306965,1,0
306965,0,0
308460,1,0
308460,0,0
309202,1,0
309202,0,0
320377,1,0
320377,0,0
321122,1,0
321122,0,0
322611,1,0
322611,0,0
324851,1,0
324851,0,0
325593,1,0
325594,0,0
327087,1,0
327087,0,0
337517,1,0
337517,0,0
338262,1,0
338263,0,0
339007,1,0
339008,0,0
