Time,from_ingress_queue_size,to_ingress_queue_size
3051.76,1,nan
3052.5,0,0
9157.27,1,0
9158.02,0,0
10683.2,1,0
10683.9,0,1
10684.9,0,0
18318,1,0
18318.8,0,0
19843.9,1,0
19844.7,0,0
21369.8,1,0
21370.5,0,1
21371.5,0,0
22895.7,1,0
22896.4,0,0
33576.8,1,0
33577.6,0,0
35102.7,1,0
35103.5,0,1
35104.5,0,0
36628.6,1,0
36629.3,0,0
47309.7,1,0
47310.5,0,0
48835.6,1,0
48836.4,0,0
50361.5,1,0
50362.2,0,0
51887.4,1,0
51888.1,0,0
53413.3,1,0
53414,0,0
54939.1,1,0
54939.9,0,0
56465,1,0
56465.8,0,1
56466.8,0,0
57990.9,1,0
57991.6,0,0
62568.5,1,0
62569.3,0,0
64094.4,1,0
64095.1,0,0
65620.3,1,0
65621,0,0
67146.2,1,0
67146.9,0,0
68672,1,0
68672.8,0,1
68673.8,0,0
70197.9,1,0
70198.7,0,0
74775.6,1,0
74776.3,0,0
76301.4,1,0
76302.2,0,0
77827.3,1,0
77828.1,0,0
79353.2,1,0
79353.9,0,0
80879.1,1,0
80879.8,0,1
80880.8,0,0
82405,1,0
82405.7,0,0
86982.6,1,0
86983.3,0,0
88508.5,1,0
88509.2,0,0
90034.3,1,0
90035.1,0,0
91560.2,1,0
91561,0,0
93086.1,1,0
93086.8,0,0
94612,1,0
94612.7,0,1
94613.7,0,0
96137.9,1,0
96138.6,0,0
100715,1,0
100716,0,0
102241,1,0
102242,0,0
103767,1,0
103768,0,0
105293,1,0
105294,0,0
106819,1,0
106820,0,0
108345,1,0
108346,0,1
108347,0,0
109871,1,0
109872,0,0
114448,1,0
114449,0,0
115974,1,0
115975,0,0
117500,1,0
117501,0,0
119026,1,0
119027,0,0
120552,1,0
120553,0,0
122078,1,0
122079,0,1
122080,0,0
123604,1,0
123604,0,0
128181,1,0
128182,0,0
129707,1,0
129708,0,0
131233,1,0
131234,0,0
132759,1,0
132760,0,0
134285,1,0
134286,0,0
135811,1,0
135811,0,0
137337,1,0
137337,0,1
137338,0,0
138862,1,0
138863,0,0
143440,1,0
143441,0,0
144966,1,0
144967,0,0
146492,1,0
146493,0,1
146494,0,0
148018,1,0
148018,0,0
152595,1,0
152596,0,0
157173,1,0
157174,0,0
158699,1,0
158700,0,0
163277,1,0
163277,0,0
167854,1,0
167855,0,0
169380,1,0
169381,0,1
169382,0,0
170906,1,0
170907,0,0
175484,1,0
175484,0,0
180061,1,0
180062,0,0
181587,1,0
181588,0,0
183113,1,0
183114,0,1
183115,0,0
184639,1,0
184640,0,0
189216,1,0
189217,0,0
193794,1,0
193795,0,0
195320,1,0
195321,0,0
196846,1,0
196847,0,0
198372,1,0
198372,0,0
199898,1,0
199898,0,1
199899,0,0
201424,1,0
201424,0,0
206001,1,0
206002,0,0
207527,1,0
207528,0,0
212105,1,0
212105,0,0
213631,1,0
213631,0,0
215156,1,0
215157,0,0
216682,1,0
216683,0,1
216684,0,0
218208,1,0
218209,0,0
222786,1,0
222787,0,0
224312,1,0
224312,0,0
225838,1,0
225838,0,0
227363,1,0
227364,0,0
228889,1,0
228890,0,1
228891,0,0
230415,1,0
230416,0,0
238045,1,0
238045,0,0
239570,1,0
239571,0,0
241096,1,0
241097,0,0
242622,1,0
242623,0,0
244148,1,0
244149,0,1
244150,0,0
245674,1,0
245675,0,0
253303,1,0
253304,0,0
254829,1,0
254830,0,1
254831,0,0
256355,1,0
256356,0,0
263985,1,0
263985,0,0
265510,1,0
265511,0,0
267036,1,0
267037,0,1
267038,0,0
268562,1,0
268563,0,0
276192,1,0
276192,0,0
277717,1,0
277718,0,1
277719,0,0
279243,1,0
279244,0,0
286873,1,0
286873,0,0
288399,1,0
288399,0,0
289924,1,0
289925,0,1
289926,0,0
291450,1,0
291451,0,0
299080,1,0
299081,0,0
300606,1,0
300606,0,0
302132,1,0
302132,0,0
303657,1,0
303658,0,1
303659,0,0
305183,1,0
305184,0,0
312813,1,0
312813,0,0
314339,1,0
314339,0,0
315864,1,0
315865,0,0
317390,1,0
317391,0,0
318916,1,0
318917,0,1
318918,0,0
320442,1,0
320443,0,0
328071,1,0
328072,0,0
329597,1,0
329598,0,0
331123,1,0
331124,0,0
332649,1,0
332650,0,0
334175,1,0
334176,0,1
334177,0,0
335701,1,0
335702,0,0
343330,1,0
343331,0,0
344856,1,0
344857,0,0
346382,1,0
346383,0,0
347908,1,0
347909,0,1
347910,0,0
349434,1,0
349435,0,0
357063,1,0
357064,0,0
358589,1,0
358590,0,0
360115,1,0
360116,0,0
361641,1,0
361642,0,0
363167,1,0
363167,0,1
363168,0,0
364693,1,0
364693,0,0
372322,1,0
372323,0,0
373848,1,0
373849,0,0
375374,1,0
375374,0,1
375375,0,0
376900,1,0
376900,0,0
381477,1,0
381478,0,0
383003,1,0
383004,0,0
387581,1,0
387581,0,0
389107,1,0
389107,0,1
389108,0,0
393689,1,0
393690,0,0
395215,1,0
395216,0,1
395217,0,0
396741,1,0
396741,0,0
404370,1,0
404371,0,0
405896,1,0
405897,0,0
407422,1,0
407423,0,1
407424,0,0
408948,1,0
408949,0,0
416577,1,0
416578,0,0
418103,1,0
418104,0,0
419629,1,0
419630,0,1
419631,0,0
421155,1,0
421156,0,0
431837,1,0
431837,0,0
433363,1,0
433363,0,1
433364,0,0
434888,1,0
434889,0,0
445570,1,0
445570,0,0
447095,1,0
447096,0,1
447097,0,0
448621,1,0
448622,0,0
459303,1,0
459303,0,0
460828,1,0
460829,0,1
460830,0,0
462354,1,0
462355,0,0
473035,1,0
473036,0,0
474561,1,0
474562,0,0
479139,1,0
479140,0,0
483717,1,0
483717,0,0
488294,1,0
488295,0,0
492872,1,0
492873,0,0
497450,1,0
497450,0,0
502027,1,0
502028,0,0
506605,1,0
506606,0,0
508131,1,0
508131,0,0
515760,1,0
515761,0,0
520338,1,0
520338,0,0
521864,1,0
521864,0,1
521865,0,0
523389,1,0
523390,0,0
527967,1,0
527968,0,0
532545,1,0
532545,0,0
534071,1,0
534071,0,1
534072,0,0
535596,1,0
535597,0,0
540174,1,0
540175,0,0
541700,1,0
541701,0,0
546278,1,0
546278,0,0
547804,1,0
547804,0,1
547805,0,0
549329,1,0
549330,0,0
553907,1,0
553908,0,0
555433,1,0
555434,0,1
555435,0,0
556959,1,0
556960,0,0
561536,1,0
561537,0,0
563062,1,0
563063,0,0
564588,1,0
564589,0,0
566114,1,0
566115,0,0
567640,1,0
567641,0,0
569166,1,0
569167,0,0
570692,1,0
570692,0,0
572218,1,0
572218,0,0
573743,1,0
573744,0,0
575269,1,0
575270,0,0
576795,1,0
576796,0,0
578321,1,0
578322,0,0
579847,1,0
579848,0,0
581373,1,0
581374,0,0
582899,1,0
582899,0,0
584425,1,0
584425,0,0
585950,1,0
585951,0,1
585952,0,0
587476,1,0
587477,0,0
592054,1,0
592055,0,0
593580,1,0
593581,0,0
595106,1,0
595106,0,0
596632,1,0
596632,0,0
598158,1,0
598158,0,0
599683,1,0
599684,0,0
601209,1,0
601210,0,0
602735,1,0
602736,0,0
604261,1,0
604262,0,0
605787,1,0
605788,0,0
607313,1,0
607314,0,0
608839,1,0
608839,0,0
610365,1,0
610365,0,0
611890,1,0
611891,0,0
613416,1,0
613417,0,0
614942,1,0
614943,0,0
616468,1,0
616469,0,0
617994,1,0
617995,0,0
619520,1,0
619521,0,0
621046,1,0
621046,0,0
622572,1,0
622572,0,1
622573,0,0
624097,1,0
624098,0,0
628675,1,0
628676,0,0
630201,1,0
630202,0,0
631727,1,0
631728,0,0
633253,1,0
633253,0,0
634779,1,0
634779,0,0
636304,1,0
636305,0,1
636306,0,0
637830,1,0
637831,0,0
642408,1,0
642409,0,0
643934,1,0
643935,0,0
645460,1,0
645461,0,0
646986,1,0
646986,0,0
648512,1,0
648512,0,0
650037,1,0
650038,0,1
650039,0,0
651563,1,0
651564,0,0
656141,1,0
656142,0,0
657667,1,0
657668,0,0
659193,1,0
659193,0,1
659194,0,0
660719,1,0
660719,0,0
665296,1,0
665297,0,0
666822,1,0
666823,0,0
668348,1,0
668349,0,1
668350,0,0
669874,1,0
669875,0,0
674451,1,0
674452,0,0
675977,1,0
675978,0,0
677503,1,0
677504,0,0
679029,1,0
679030,0,0
680555,1,0
680556,0,1
680557,0,0
682081,1,0
682082,0,0
686658,1,0
686659,0,0
688184,1,0
688185,0,0
692762,1,0
692763,0,0
694288,1,0
694289,0,0
698866,1,0
698866,0,0
700391,1,0
700392,0,1
700393,0,0
701917,1,0
701918,0,0
706495,1,0
706496,0,0
708021,1,0
708022,0,0
712598,1,0
712599,0,0
714124,1,0
714125,0,0
715650,1,0
715651,0,1
715652,0,0
717176,1,0
717177,0,0
721754,1,0
721754,0,0
726331,1,0
726332,0,0
727857,1,0
727858,0,0
729383,1,0
729384,0,1
729385,0,0
730909,1,0
730910,0,0
735487,1,0
735487,0,0
737012,1,0
737013,0,0
741590,1,0
741591,0,0
743116,1,0
743117,0,1
743118,0,0
744642,1,0
744643,0,0
749220,1,0
749220,0,0
750745,1,0
750746,0,1
750747,0,0
752271,1,0
752272,0,0
756849,1,0
756850,0,0
758375,1,0
758376,0,1
758377,0,0
759901,1,0
759901,0,0
764478,1,0
764479,0,0
766004,1,0
766005,0,1
766006,0,0
767530,1,0
767531,0,0
772108,1,0
772108,0,0
773634,1,0
773634,0,1
773635,0,0
775159,1,0
775160,0,0
782789,1,0
782790,0,0
784315,1,0
784315,0,0
785841,1,0
785841,0,1
785842,0,0
787366,1,0
787367,0,0
798048,1,0
798048,0,0
799574,1,0
799574,0,0
801099,1,0
801100,0,1
801101,0,0
802625,1,0
802626,0,0
813306,1,0
813307,0,0
814832,1,0
814833,0,1
814834,0,0
816358,1,0
816359,0,0
827039,1,0
827040,0,0
828565,1,0
828566,0,0
842298,1,0
842299,0,0
846876,1,0
846877,0,0
857562,1,0
857563,0,0
859088,1,0
859089,0,0
869769,1,0
869770,0,0
871295,1,0
871296,0,0
881976,1,0
881977,0,0
883502,1,0
883503,0,1
883504,0,0
885028,1,0
885029,0,0
895709,1,0
895710,0,0
897235,1,0
897236,0,0
898761,1,0
898762,0,1
898763,0,0
900287,1,0
900288,0,0
910968,1,0
910969,0,0
912494,1,0
912495,0,1
912496,0,0
914020,1,0
914021,0,0
924701,1,0
924702,0,0
926227,1,0
926228,0,1
926229,0,0
927753,1,0
927754,0,0
938434,1,0
938435,0,0
939960,1,0
939961,0,0
941486,1,0
941487,0,0
943012,1,0
943012,0,1
943013,0,0
944538,1,0
944538,0,0
949115,1,0
949116,0,0
950641,1,0
950642,0,1
950643,0,0
952167,1,0
952168,0,0
956745,1,0
956745,0,0
958270,1,0
958271,0,1
958272,0,0
959796,1,0
959797,0,0
964374,1,0
964375,0,0
965900,1,0
965901,0,0
970477,1,0
970478,0,0
972003,1,0
972004,0,0
976581,1,0
976582,0,0
978107,1,0
978108,0,0
982684,1,0
982685,0,0
984210,1,0
984211,0,1
984212,0,0
985736,1,0
985737,0,0
990314,1,0
990315,0,0
991840,1,0
991841,0,0
996417,1,0
996418,0,0
997943,1,0
997944,0,1
997945,0,0
999469,1,0
999470,0,0
