Time,from_ingress_queue_size,to_ingress_queue_size
0,10000,nan
745.058,0,10000
748.058,0,0
2984.38,10000,0
2985.38,20000,0
3729.44,10000,10000
3732.44,10000,0
4474.5,0,10000
4477.42,0,0
7454.73,10000,0
7455.73,20000,0
8199.79,10000,10000
8203.71,10000,0
8942.85,20000,0
8943.85,30000,0
8944.85,20000,10000
8947.85,20000,0
9689.9,10000,10000
9692.9,10000,0
10435,0,10000
10436.9,0,0
16676.1,10000,0
16677.1,20000,0
17421.1,10000,10000
17424.1,10000,0
18166.2,0,10000
18169.2,0,0
19377.7,10000,0
20122.7,10000,10000
20123.7,20000,10000
20126.6,20000,0
20867.8,10000,10000
20870.8,10000,0
21612.8,0,10000
21618.8,0,0
32785.7,10000,0
33530.8,0,10000
33531.7,0,0
33533.8,10000,0
34278.8,0,10000
34282.7,0,0
35019.9,10000,0
35020.9,20000,0
35764.9,10000,10000
35767.9,10000,0
36510,0,10000
36513.9,0,0
44707.6,10000,0
45452.7,10000,10000
45456.6,10000,0
46197.7,0,10000
46200.7,0,0
46940.8,10000,0
47685.9,0,10000
47688.9,0,0
48430.9,10000,0
49176,0,10000
49176.9,0,0
58862.7,10000,0
58863.7,20000,0
59607.8,10000,10000
59608.8,20000,10000
59612.7,20000,0
60352.9,10000,10000
60355.9,10000,0
61096.9,20000,0
61097.9,10000,10000
61100.8,10000,0
61843,0,10000
61846,0,0
62587,10000,0
63332.1,0,10000
63333,0,0
75254,10000,0
75999.1,10000,10000
76000.1,20000,10000
76003,20000,0
76743.1,30000,0
76744.1,20000,10000
76747.1,20000,0
77489.2,10000,10000
77492.2,10000,0
78233.2,20000,0
78234.2,10000,10000
78237.2,10000,0
78979.3,0,10000
78981.3,0,0
79722.4,10000,0
80467.4,0,10000
80469.3,0,0
93881.5,10000,0
94625.5,20000,0
94626.5,10000,10000
94629.4,10000,0
95369.6,20000,0
95370.6,30000,0
95371.6,20000,10000
95374.6,20000,0
96114.6,30000,0
96116.6,20000,10000
96119.6,20000,0
96861.7,10000,10000
96864.7,10000,0
97604.8,20000,0
97606.8,10000,10000
97608.7,10000,0
98351.8,0,10000
98354.8,0,0
99838.9,10000,0
100584,0,10000
100586,0,0
116232,10000,0
116977,10000,10000
116981,10000,0
117721,20000,0
117722,10000,10000
117725,10000,0
118466,20000,0
118467,10000,10000
118470,10000,0
119211,20000,0
119212,20000,10000
119215,20000,0
119957,10000,10000
119960,10000,0
120702,20000,0
120703,10000,10000
120705,10000,0
121448,0,10000
121451,0,0
123681,10000,0
124426,0,10000
124430,0,0
142309,10000,0
143054,10000,10000
143058,10000,0
143798,20000,0
143799,10000,10000
143802,10000,0
144543,20000,0
144544,10000,10000
144547,10000,0
145288,20000,0
145289,10000,10000
145292,10000,0
146034,20000,0
146035,20000,10000
146038,20000,0
146780,10000,10000
146783,10000,0
147524,20000,0
147525,10000,10000
147528,10000,0
148270,0,10000
148273,0,0
151252,10000,0
151997,0,10000
152002,0,0
171367,10000,0
172112,10000,10000
172115,10000,0
172856,20000,0
172857,10000,10000
172860,10000,0
173601,20000,0
173602,10000,10000
173605,10000,0
174346,20000,0
174347,10000,10000
174350,10000,0
175091,20000,0
175092,10000,10000
175095,10000,0
175836,20000,0
175837,10000,10000
175840,10000,0
176582,0,10000
176585,0,0
177326,10000,0
177327,20000,0
178071,10000,10000
178074,10000,0
178816,0,10000
178820,0,0
181054,10000,0
181799,0,10000
181804,0,0
204149,10000,0
204894,10000,10000
204898,10000,0
205638,20000,0
205639,10000,10000
205642,10000,0
206383,20000,0
206384,10000,10000
206387,10000,0
207128,20000,0
207129,10000,10000
207132,10000,0
207873,20000,0
207874,10000,10000
207877,10000,0
208618,20000,0
208619,10000,10000
208622,10000,0
209364,0,10000
209367,0,0
210109,10000,0
210853,20000,0
210854,20000,10000
210857,20000,0
211599,10000,10000
211603,10000,0
212344,0,10000
212348,0,0
214582,10000,0
215327,0,10000
215332,0,0
240657,10000,0
241402,10000,10000
241406,10000,0
242146,20000,0
242147,10000,10000
242150,10000,0
242891,20000,0
242892,10000,10000
242895,10000,0
243636,20000,0
243637,10000,10000
243640,10000,0
244381,20000,0
244382,10000,10000
244385,10000,0
245126,20000,0
245127,10000,10000
245130,10000,0
245872,0,10000
245875,0,0
246616,10000,0
247360,20000,0
247361,10000,10000
247364,10000,0
248106,10000,10000
248110,10000,0
248852,0,10000
248855,0,0
251835,10000,0
251836,20000,0
252580,10000,10000
252585,10000,0
253325,0,10000
253328,0,0
280890,10000,0
281635,10000,10000
281639,10000,0
282379,20000,0
282380,10000,10000
282383,10000,0
283124,20000,0
283125,10000,10000
283128,10000,0
283869,20000,0
283870,10000,10000
283873,10000,0
284614,20000,0
284615,10000,10000
284618,10000,0
285359,20000,0
285360,10000,10000
285363,10000,0
286105,0,10000
286108,0,0
286850,10000,0
287594,20000,0
287595,10000,10000
287598,10000,0
288340,10000,10000
288344,10000,0
289085,0,10000
289089,0,0
292068,10000,0
292813,0,10000
292814,10000,10000
292815,20000,10000
292818,20000,0
293559,10000,10000
293562,10000,0
294304,0,10000
294306,0,0
324848,10000,0
325594,0,10000
325597,0,0
