Time,from_ingress_queue_size,to_ingress_queue_size
0,10000,nan
745.058,0,10000
746.058,0,0
1495.27,10000,0
1496.27,20000,0
2240.32,10000,10000
2243.25,10000,0
2985.38,0,10000
2986.38,0,0
4485.8,10000,0
4486.8,20000,0
5216.56,30000,0
5230.85,20000,10000
5232.85,20000,0
5964.61,30000,0
5975.91,20000,0
6720.97,10000,10000
6721.97,10000,0
7466.03,0,10000
7470.03,0,0
13079.5,10000,0
13824.6,0,0
14160.3,10000,0
14905.3,0,10000
14908.2,0,0
15650.4,10000,0
16395.4,0,10000
16396.4,0,0
27573.3,10000,0
28318.4,0,10000
28319.4,0,0
29061.4,10000,0
29062.4,20000,0
29806.5,10000,10000
29807.5,10000,0
30551.5,0,10000
30553.5,0,0
40979.3,10000,0
41724.4,0,10000
41730.3,0,0
42472.5,10000,0
43216.5,20000,0
43217.5,20000,10000
43218.5,20000,0
43962.6,10000,10000
43963.6,10000,0
44707.6,0,10000
44709.6,0,0
49924,10000,0
50669.1,0,10000
50671,0,0
51413.2,10000,0
52158.2,0,10000
52159.2,0,0
52903.3,10000,0
53647.3,20000,0
53648.3,10000,10000
53649.3,10000,0
54393.4,0,10000
54395.3,0,0
61100.9,10000,0
61101.9,20000,0
61846,10000,10000
61847,10000,0
62589,20000,0
62591,10000,10000
62597,10000,0
63336.1,0,10000
63342.1,0,0
64079.1,10000,0
64823.2,20000,0
64824.2,10000,10000
64825.2,10000,0
65569.3,0,10000
65571.2,0,0
73016.8,10000,0
73761.9,0,10000
73767.8,0,0
74510,10000,0
74511,20000,0
75255,10000,10000
75258.9,10000,0
76000.1,10000,10000
76002,10000,0
76745.1,0,10000
76746.1,0,0
77490.2,10000,0
78234.2,20000,0
78235.2,10000,10000
78236.2,10000,0
78980.3,0,10000
78982.2,0,0
88663.1,10000,0
89408.1,0,10000
89412.1,10000,10000
89414,10000,0
90156.2,20000,0
90157.2,20000,10000
90158.2,20000,0
90902.2,10000,10000
90903.2,10000,0
91646.3,20000,0
91647.3,10000,10000
91648.2,10000,0
92392.3,0,10000
92393.3,0,0
93136.4,10000,0
93881.5,0,10000
93883.5,10000,10000
93885.4,10000,0
94628.5,0,10000
94629.5,0,0
103569,10000,0
104314,10000,10000
104316,10000,0
105057,20000,0
105059,10000,10000
105060,10000,0
105804,0,10000
105805,0,0
108785,10000,0
109530,0,10000
109532,0,0
115485,10000,0
116230,10000,10000
116232,10000,0
116975,0,10000
116978,10000,10000
116980,10000,0
117723,0,10000
117725,0,0
118468,10000,0
119213,0,10000
119214,0,0
126665,10000,0
126666,20000,0
127410,20000,10000
127412,20000,0
128154,30000,0
128155,20000,10000
128156,20000,0
128900,10000,10000
128901,10000,0
129644,20000,0
129645,10000,10000
129646,10000,0
130390,0,10000
130391,0,0
139331,10000,0
140076,0,10000
140077,0,0
143057,10000,0
143058,20000,0
143802,10000,10000
143804,10000,0
144547,0,10000
144548,0,0
154232,10000,0
154977,0,10000
154978,0,0
155721,10000,0
156466,0,10000
156468,10000,10000
156470,10000,0
157213,0,10000
157214,0,0
167644,10000,0
167645,20000,0
168389,10000,10000
168391,10000,0
169134,0,10000
169135,0,0
180305,10000,0
181050,10000,10000
181051,20000,10000
181052,20000,0
181795,10000,10000
181800,10000,0
182540,0,10000
182545,0,0
193716,10000,0
194461,10000,10000
194463,10000,0
195206,0,10000
195211,0,0
209362,10000,0
210108,0,10000
210108,0,0
210113,10000,0
210858,0,10000
210860,0,0
223524,10000,0
223525,20000,0
224264,30000,0
224269,20000,10000
224270,20000,0
225014,10000,10000
225015,10000,0
225759,0,0
233954,10000,0
234699,10000,10000
234700,20000,10000
234701,20000,0
235444,10000,10000
235445,10000,0
236188,20000,0
236190,10000,0
236935,0,10000
236936,0,0
244380,10000,0
245125,10000,10000
245127,10000,0
245870,0,10000
245875,0,0
246618,10000,0
247363,0,10000
247364,10000,10000
247365,20000,10000
247366,20000,0
248109,10000,10000
248110,10000,0
248855,0,10000
248855,0,0
257046,10000,0
257791,10000,10000
257793,10000,0
258536,0,10000
258538,0,0
259284,10000,0
260029,0,10000
260031,10000,10000
260033,10000,0
260776,0,10000
260777,0,0
261520,10000,0
261521,20000,0
262265,10000,10000
262269,10000,0
263010,0,10000
263012,0,0
272692,10000,0
273437,0,10000
273438,0,0
276423,10000,0
276424,20000,0
277168,20000,10000
277170,20000,0
277913,10000,10000
277914,10000,0
278658,0,10000
278659,0,0
289085,10000,0
289830,0,10000
289832,0,0
290577,10000,0
291322,0,10000
291324,10000,10000
291326,10000,0
292069,0,10000
292070,0,0
303990,10000,0
303991,20000,0
304730,30000,0
304735,20000,10000
304736,20000,0
305480,10000,10000
305481,10000,0
306225,0,0
315906,10000,0
316651,10000,10000
316653,10000,0
317396,0,10000
317398,0,0
318144,10000,0
318145,20000,0
318889,10000,10000
318892,10000,0
319634,0,10000
319636,0,0
325592,10000,0
326337,0,10000
326339,0,0
327082,10000,0
327827,0,10000
327829,0,0
328575,10000,0
329320,0,10000
329323,0,0
339008,10000,0
339753,0,10000
339754,0,0
