Time,from_ingress_queue_size,to_ingress_queue_size
10687.2,1,nan
10687.9,0,1
10688.9,0,0
19850.7,1,0
19851.4,0,1
19852.4,0,0
22904.4,1,0
22905.2,0,1
22906.2,0,0
32059.7,1,0
32060.4,0,1
32061.4,0,0
35111.5,1,0
35112.2,0,1
35113.2,0,0
38163.2,1,0
38164,0,1
38165,0,0
41215,1,0
41215.7,0,1
41216.7,0,0
50370.2,1,0
50371,0,1
50372,0,0
53422,1,0
53422.7,0,1
53423.7,0,0
56473.8,1,0
56474.5,0,1
56475.5,0,0
59525.5,1,0
59526.3,0,1
59527.3,0,0
67154.9,1,0
67155.7,0,1
67156.7,0,0
71732.5,1,0
71733.3,0,1
71734.3,0,0
74784.3,1,0
74785,0,1
74786,0,0
80887.8,1,0
80888.6,0,1
80889.6,0,0
85465.5,1,0
85466.2,0,1
85467.2,0,0
88517.2,1,0
88518,0,1
88519,0,0
94620.7,1,0
94621.5,0,1
94622.5,0,0
97672.5,1,0
97673.2,0,1
97674.2,0,0
103785,1,0
103786,0,1
103787,0,0
106840,1,0
106841,0,1
106842,0,0
114469,1,0
114470,0,1
114471,0,0
117521,1,0
117522,0,1
117523,0,0
123634,1,0
123635,0,1
123636,0,0
126689,1,0
126689,0,1
126690,0,0
134318,1,0
134319,0,1
134320,0,0
137370,1,0
137371,0,1
137372,0,0
140422,1,0
140422,0,1
140423,0,0
149577,1,0
149578,0,1
149579,0,0
152629,1,0
152629,0,1
152630,0,0
155680,1,0
155681,0,1
155682,0,0
158732,1,0
158733,0,1
158734,0,0
167887,1,0
167888,0,1
167889,0,0
170939,1,0
170940,0,1
170941,0,0
173991,1,0
173992,0,1
173993,0,0
177043,1,0
177043,0,1
177044,0,0
184672,1,0
184673,0,1
184674,0,0
187724,1,0
187725,0,1
187726,0,0
190776,1,0
190776,0,1
190777,0,0
196879,1,0
196880,0,1
196881,0,0
199931,1,0
199932,0,1
199933,0,0
202983,1,0
202983,0,1
202984,0,0
206034,1,0
206035,0,1
206036,0,0
212138,1,0
212139,0,1
212140,0,0
216716,1,0
216716,0,1
216717,0,0
219767,1,0
219768,0,1
219769,0,0
224345,1,0
224346,0,1
224347,0,0
228923,1,0
228923,0,1
228924,0,0
231974,1,0
231975,0,1
231976,0,0
238078,1,0
238079,0,1
238080,0,0
242655,1,0
