Connection id, Sent size (bytes), Delivered size (bytes), Effective delivery rate (Gbps), Delivery rate (Gbps), CCT (ns)
host-1--host-2, 30720, 30720, 17.8021, 19.5592, 11702
host-1--host-3, 30720, 30720, 17.4429, 19.5592, 11702
host-1--host-4, 30720, 30720, 17.0697, 18.9221, 12096
host-1--host-5, 30720, 30720, 16.6369, 16.6145, 13776
host-2--host-1, 30720, 30720, 18.9406, 21.7403, 10528
host-2--host-3, 30720, 30720, 19.4912, 21.2874, 10752
host-2--host-4, 30720, 30720, 18.7918, 19.8407, 11536
host-2--host-5, 30720, 30720, 19.558, 19.6499, 11648
host-3--host-1, 30720, 30720, 19.3343, 18.838, 12150
host-3--host-2, 30720, 30720, 22.6791, 22.2129, 10304
host-3--host-4, 30720, 30720, 20.0381, 19.6499, 11648
host-3--host-5, 30720, 30720, 20.6443, 18.2463, 12544
host-4--host-1, 30720, 30720, 17.0154, 18.9221, 12096
host-4--host-2, 30720, 30720, 17.1086, 18.9221, 12096
host-4--host-3, 30720, 30720, 18.0619, 18.9221, 12096
host-4--host-5, 30720, 30720, 17.8817, 17.7703, 12880
host-5--host-1, 30720, 30720, 28.9684, 16.6145, 13776
host-5--host-2, 30720, 30720, 18.5354, 17.4666, 13104
host-5--host-3, 30720, 30720, 18.5354, 17.4666, 13104
host-5--host-4, 30720, 30720, 18.383, 17.4666, 13104
