Time,from_ingress_queue_size,to_ingress_queue_size
3051.76,2048,nan
4577.64,0,0
7632.39,4096,0
9158.27,6144,0
10684.2,4096,4096
10687.2,4096,0
12210,2048,2048
12213,2048,0
13735.9,0,2048
13738.9,0,0
16795.9,4096,0
19847.7,0,4096
19849.7,4096,4096
19850.7,4096,0
21375.5,6144,0
22901.4,4096,4096
22904.4,4096,0
24427.3,4096,2048
24430.3,4096,0
25953.2,4096,2048
25956.2,4096,0
27479.1,2048,2048
27482.1,2048,0
29004.9,4096,2048
29007.9,4096,0
32056.7,4096,4096
32059.7,4096,0
35108.5,4096,4096
35111.5,4096,0
38160.2,4096,4096
38163.2,4096,0
39686.1,6144,0
41212,4096,4096
41215,4096,0
42737.8,4096,2048
42740.8,4096,0
44263.7,4096,2048
44266.7,4096,0
45789.6,2048,2048
45792.6,2048,0
47315.5,4096,2048
47318.5,4096,0
50367.2,4096,4096
50370.2,4096,0
53419,4096,4096
53422,4096,0
56470.8,4096,4096
56473.8,4096,0
57996.6,6144,0
59522.5,4096,4096
59525.5,4096,0
61048.4,4096,2048
61051.4,4096,0
62574.3,2048,2048
62577.3,2048,0
64100.1,4096,2048
64103.1,4096,0
65626,6144,0
67151.9,2048,4096
67154.9,2048,0
68677.8,4096,2048
68680.8,4096,0
71729.5,4096,4096
71732.5,4096,0
73255.4,6144,0
74781.3,4096,4096
74784.3,4096,0
76307.2,2048,2048
76310.2,2048,0
77833.1,4096,2048
77836.1,4096,0
79358.9,6144,0
80884.8,2048,4096
80887.8,2048,0
82410.7,4096,2048
82413.7,4096,0
85462.5,4096,4096
85465.5,4096,0
86988.3,6144,0
88514.2,4096,4096
88517.2,4096,0
90040.1,2048,2048
90043.1,2048,0
91566,4096,2048
91569,4096,0
94617.7,4096,4096
94620.7,4096,0
96143.6,6144,0
97669.5,4096,4096
97672.5,4096,0
99195.4,2048,2048
99198.4,2048,0
100721,0,2048
100724,0,0
100731,4096,0
103782,0,4096
103785,4096,4096
103785,4096,0
105311,6144,0
106837,4096,4096
106840,4096,0
108363,4096,2048
108366,4096,0
109889,2048,2048
109892,2048,0
111415,4096,2048
111418,4096,0
114466,4096,4096
114469,4096,0
115992,6144,0
117518,4096,4096
117521,4096,0
119044,2048,2048
119047,2048,0
120570,0,2048
120573,0,0
120579,4096,0
123631,0,4096
123634,4096,4096
123634,4096,0
125160,6144,0
126686,4096,4096
126689,4096,0
128212,4096,2048
128215,4096,0
129737,2048,2048
129740,2048,0
131263,4096,2048
131266,4096,0
134315,4096,4096
134318,4096,0
137367,4096,4096
137370,4096,0
138893,6144,0
140419,4096,4096
140422,4096,0
141944,4096,2048
141947,4096,0
143470,4096,2048
143473,4096,0
144996,2048,2048
144999,2048,0
146522,4096,2048
146525,4096,0
149574,4096,4096
149577,4096,0
152626,4096,4096
152629,4096,0
155677,4096,4096
155680,4096,0
157203,6144,0
158729,4096,4096
158732,4096,0
160255,4096,2048
160258,4096,0
161781,4096,2048
161784,4096,0
163307,2048,2048
163310,2048,0
164833,4096,2048
164836,4096,0
167884,4096,4096
167887,4096,0
170936,4096,4096
170939,4096,0
173988,4096,4096
173991,4096,0
175514,6144,0
177040,4096,4096
177043,4096,0
178566,4096,2048
178569,4096,0
180091,2048,2048
180094,2048,0
181617,4096,2048
181620,4096,0
184669,4096,4096
184672,4096,0
187721,4096,4096
187724,4096,0
189247,6144,0
190773,4096,4096
190776,4096,0
192298,2048,2048
192301,2048,0
193824,4096,2048
193827,4096,0
196876,4096,4096
196879,4096,0
199928,4096,4096
199931,4096,0
202980,4096,4096
202983,4096,0
204505,6144,0
206031,4096,4096
206034,4096,0
207557,2048,2048
207560,2048,0
209083,4096,2048
209086,4096,0
210609,6144,0
212135,2048,4096
212138,2048,0
213661,4096,2048
213664,4096,0
216713,4096,4096
216716,4096,0
218238,6144,0
219764,2048,4096
219767,2048,0
221290,4096,2048
221293,4096,0
222816,6144,0
224342,2048,4096
224345,2048,0
225868,4096,2048
225871,4096,0
228920,4096,4096
228923,4096,0
230445,6144,0
231971,4096,4096
231974,4096,0
233497,2048,2048
233500,2048,0
235023,4096,2048
235026,4096,0
236549,6144,0
238075,2048,4096
238078,2048,0
239601,4096,2048
239604,4096,0
242652,4096,4096
242655,4096,0
244178,6144,0
245704,4096,4096
245707,4096,0
247230,4096,2048
247233,4096,0
248756,2048,2048
248759,2048,0
250282,4096,2048
250285,4096,0
251808,6144,0
253334,2048,4096
253337,2048,0
254859,4096,2048
254862,4096,0
257911,4096,4096
257914,4096,0
259437,6144,0
260963,4096,4096
260966,4096,0
262489,4096,2048
262492,4096,0
264015,2048,2048
264018,2048,0
265541,4096,2048
265544,4096,0
267067,6144,0
268592,4096,4096
268595,4096,0
270118,2048,2048
270121,2048,0
271644,4096,2048
271647,4096,0
274696,4096,4096
274699,4096,0
276222,6144,0
277748,4096,4096
277751,4096,0
279274,4096,2048
279277,4096,0
280799,2048,2048
280802,2048,0
282325,4096,2048
282328,4096,0
283851,6144,0
285377,4096,4096
285380,4096,0
286903,4096,2048
286906,4096,0
288429,2048,2048
288432,2048,0
289955,4096,2048
289958,4096,0
291481,6144,0
293006,4096,4096
293009,4096,0
294532,2048,2048
294535,2048,0
296058,4096,2048
296061,4096,0
297584,6144,0
299110,4096,4096
299113,4096,0
300636,4096,2048
300639,4096,0
302162,4096,2048
302165,4096,0
303688,4096,2048
303691,4096,0
305213,4096,2048
305216,4096,0
306739,4096,2048
306742,4096,0
308265,2048,2048
308268,2048,0
309791,4096,2048
309794,4096,0
311317,6144,0
312843,4096,4096
312846,4096,0
314369,2048,2048
314372,2048,0
315895,4096,2048
315898,4096,0
317421,6144,0
318946,4096,4096
318949,4096,0
320472,4096,2048
320475,4096,0
321998,4096,2048
322001,4096,0
323524,4096,2048
323527,4096,0
325050,4096,2048
325053,4096,0
326576,4096,2048
326579,4096,0
328102,2048,2048
328105,2048,0
329628,4096,2048
329631,4096,0
331153,6144,0
332679,2048,4096
332682,2048,0
334205,4096,2048
334208,4096,0
335731,6144,0
337257,4096,4096
337260,4096,0
338783,4096,2048
338786,4096,0
340309,4096,2048
340312,4096,0
341835,4096,2048
341838,4096,0
343360,4096,2048
343363,4096,0
344886,2048,2048
344889,2048,0
346412,4096,2048
346415,4096,0
347938,6144,0
349464,2048,4096
349467,2048,0
350990,4096,2048
350993,4096,0
352516,6144,0
354042,4096,4096
354045,4096,0
355567,4096,2048
355570,4096,0
357093,4096,2048
357096,4096,0
358619,4096,2048
358622,4096,0
360145,4096,2048
360148,4096,0
361671,2048,2048
361674,2048,0
363197,4096,2048
363200,4096,0
364723,6144,0
366249,4096,4096
366252,4096,0
367775,2048,2048
367778,2048,0
369300,4096,2048
369303,4096,0
370826,6144,0
372352,4096,4096
372355,4096,0
373878,4096,2048
373881,4096,0
375404,4096,2048
375407,4096,0
376930,4096,2048
376933,4096,0
378456,2048,2048
378459,2048,0
379982,4096,2048
379985,4096,0
381507,6144,0
383033,2048,4096
383036,2048,0
384559,4096,2048
384562,4096,0
386085,6144,0
387611,4096,4096
387614,4096,0
389137,2048,2048
389140,2048,0
390663,4096,2048
390666,4096,0
392189,6144,0
393714,4096,4096
393717,4096,0
395240,4096,2048
395243,4096,0
396766,2048,2048
396769,2048,0
398292,4096,2048
398295,4096,0
399818,6144,0
401344,4096,4096
401347,4096,0
402870,2048,2048
402873,2048,0
404396,4096,2048
404399,4096,0
405921,6144,0
407447,4096,4096
407450,4096,0
408973,4096,2048
408976,4096,0
410499,2048,2048
410502,2048,0
412025,4096,2048
412028,4096,0
413551,6144,0
415077,2048,4096
415080,2048,0
416603,4096,2048
416606,4096,0
418129,6144,0
419654,4096,4096
419657,4096,0
421180,4096,2048
421183,4096,0
422706,2048,2048
422709,2048,0
424232,4096,2048
424235,4096,0
425758,6144,0
427284,4096,4096
427287,4096,0
428810,2048,2048
428813,2048,0
430336,4096,2048
430339,4096,0
431861,6144,0
433387,4096,4096
433390,4096,0
434913,4096,2048
434916,4096,0
436439,2048,2048
436442,2048,0
437965,4096,2048
437968,4096,0
441017,4096,4096
441020,4096,0
442543,6144,0
444068,4096,4096
444071,4096,0
445594,4096,2048
445597,4096,0
447120,4096,2048
447123,4096,0
448646,4096,2048
448649,4096,0
450172,4096,2048
450175,4096,0
451698,2048,2048
451701,2048,0
453224,4096,2048
453227,4096,0
456275,4096,4096
456278,4096,0
459327,4096,4096
459330,4096,0
460853,6144,0
462379,4096,4096
462382,4096,0
463905,4096,2048
463908,4096,0
465431,4096,2048
465434,4096,0
466957,4096,2048
466960,4096,0
468483,2048,2048
468486,2048,0
470008,4096,2048
470011,4096,0
473060,4096,4096
473063,4096,0
476112,4096,4096
476115,4096,0
477638,6144,0
479164,4096,4096
479167,4096,0
480690,4096,2048
480693,4096,0
482215,4096,2048
482218,4096,0
483741,4096,2048
483744,4096,0
485267,4096,2048
485270,4096,0
486793,2048,2048
486796,2048,0
488319,4096,2048
488322,4096,0
491371,4096,4096
491374,4096,0
492897,6144,0
494422,4096,4096
494425,4096,0
495948,4096,2048
495951,4096,0
497474,4096,2048
497477,4096,0
499000,4096,2048
499003,4096,0
500526,4096,2048
500529,4096,0
502052,4096,2048
502055,4096,0
503578,4096,2048
503581,4096,0
505104,2048,2048
505107,2048,0
506630,4096,2048
506633,4096,0
509681,4096,4096
509684,4096,0
511207,6144,0
512733,4096,4096
512736,4096,0
514259,4096,2048
514262,4096,0
515785,4096,2048
515788,4096,0
517311,4096,2048
517314,4096,0
518837,2048,2048
518840,2048,0
520362,4096,2048
520365,4096,0
523414,4096,4096
523417,4096,0
524940,6144,0
526466,4096,4096
526469,4096,0
527992,4096,2048
527995,4096,0
529518,4096,2048
529521,4096,0
531044,4096,2048
531047,4096,0
532569,4096,2048
532572,4096,0
534095,2048,2048
534098,2048,0
535621,4096,2048
535624,4096,0
538673,4096,4096
538676,4096,0
541725,4096,4096
541728,4096,0
543251,6144,0
544776,4096,4096
544779,4096,0
546302,4096,2048
546305,4096,0
547828,4096,2048
547831,4096,0
549354,4096,2048
549357,4096,0
550880,2048,2048
550883,2048,0
552406,4096,2048
552409,4096,0
555458,4096,4096
555461,4096,0
558509,4096,4096
558512,4096,0
560035,6144,0
561561,4096,4096
561564,4096,0
563087,4096,2048
563090,4096,0
564613,4096,2048
564616,4096,0
566139,4096,2048
566142,4096,0
567665,4096,2048
567668,4096,0
569191,2048,2048
569194,2048,0
570716,4096,2048
570719,4096,0
573768,4096,4096
573771,4096,0
576820,4096,4096
576823,4096,0
578346,6144,0
579872,4096,4096
579875,4096,0
581398,4096,2048
581401,4096,0
582923,2048,2048
582926,2048,0
584449,4096,2048
584452,4096,0
587501,4096,4096
587504,4096,0
590553,4096,4096
590556,4096,0
593605,4096,4096
593608,4096,0
595130,6144,0
596656,4096,4096
596659,4096,0
598182,4096,2048
598185,4096,0
599708,2048,2048
599711,2048,0
601234,4096,2048
601237,4096,0
604286,4096,4096
604289,4096,0
605812,6144,0
607338,4096,4096
607341,4096,0
608863,4096,2048
608866,4096,0
610389,4096,2048
610392,4096,0
611915,4096,2048
611918,4096,0
613441,4096,2048
613444,4096,0
614967,2048,2048
614970,2048,0
616493,4096,2048
616496,4096,0
619545,4096,4096
619548,4096,0
622596,4096,4096
622599,4096,0
624122,6144,0
625648,4096,4096
625651,4096,0
627174,4096,2048
627177,4096,0
628700,4096,2048
628703,4096,0
630226,2048,2048
630229,2048,0
631752,4096,2048
631755,4096,0
634803,4096,4096
634806,4096,0
637855,4096,4096
637858,4096,0
639381,6144,0
640907,4096,4096
640910,4096,0
642433,4096,2048
642436,4096,0
643959,4096,2048
643962,4096,0
645484,4096,2048
645487,4096,0
647010,2048,2048
647013,2048,0
648536,4096,2048
648539,4096,0
651588,4096,4096
651591,4096,0
654640,4096,4096
654643,4096,0
656166,6144,0
657692,4096,4096
657695,4096,0
659217,4096,2048
659220,4096,0
660743,4096,2048
660746,4096,0
662269,4096,2048
662272,4096,0
663795,2048,2048
663798,2048,0
665321,4096,2048
665324,4096,0
668373,4096,4096
668376,4096,0
671424,4096,4096
671427,4096,0
672950,6144,0
674476,4096,4096
674479,4096,0
676002,4096,2048
676005,4096,0
677528,4096,2048
677531,4096,0
679054,4096,2048
679057,4096,0
680580,4096,2048
680583,4096,0
682106,2048,2048
682109,2048,0
683631,4096,2048
683634,4096,0
686683,4096,4096
686686,4096,0
689735,4096,4096
689738,4096,0
691261,6144,0
692787,4096,4096
692790,4096,0
694313,4096,2048
694316,4096,0
695838,4096,2048
695841,4096,0
697364,4096,2048
697367,4096,0
698890,4096,2048
698893,4096,0
700416,2048,2048
700419,2048,0
701942,4096,2048
701945,4096,0
704994,4096,4096
704997,4096,0
708046,4096,4096
708049,4096,0
709571,6144,0
711097,4096,4096
711100,4096,0
712623,4096,2048
712626,4096,0
714149,2048,2048
714152,2048,0
715675,0,2048
715678,0,0
717210,4096,0
720262,0,4096
720264,4096,4096
720265,4096,0
721790,6144,0
723316,4096,4096
723319,4096,0
724841,4096,2048
724844,4096,0
726367,4096,2048
726370,4096,0
727893,4096,2048
727896,4096,0
729419,2048,2048
729422,2048,0
730945,4096,2048
730948,4096,0
732471,6144,0
733997,4096,4096
734000,4096,0
735523,4096,2048
735526,4096,0
737048,2048,2048
737051,2048,0
738574,0,2048
738577,0,0
740108,4096,0
743160,0,4096
743162,4096,4096
743163,4096,0
744688,6144,0
746214,4096,4096
746217,4096,0
747740,4096,2048
747743,4096,0
749266,4096,2048
749269,4096,0
750792,2048,2048
750795,2048,0
752317,4096,2048
752320,4096,0
755369,4096,4096
755372,4096,0
756895,6144,0
758421,4096,4096
758424,4096,0
759947,4096,2048
759950,4096,0
761473,4096,2048
761476,4096,0
762999,4096,2048
763002,4096,0
764525,2048,2048
764528,2048,0
766050,4096,2048
766053,4096,0
769102,4096,4096
769105,4096,0
772154,4096,4096
772157,4096,0
773680,6144,0
775206,4096,4096
775209,4096,0
776732,4096,2048
776735,4096,0
778257,4096,2048
778260,4096,0
779783,4096,2048
779786,4096,0
781309,2048,2048
781312,2048,0
782835,4096,2048
782838,4096,0
785887,4096,4096
785890,4096,0
788939,4096,4096
788942,4096,0
790464,6144,0
791990,4096,4096
791993,4096,0
793516,4096,2048
793519,4096,0
795042,4096,2048
795045,4096,0
796568,4096,2048
796571,4096,0
798094,4096,2048
798097,4096,0
799620,2048,2048
799623,2048,0
801146,4096,2048
801149,4096,0
804197,4096,4096
804200,4096,0
807249,4096,4096
807252,4096,0
808775,6144,0
810301,4096,4096
810304,4096,0
811827,4096,2048
811830,4096,0
813353,4096,2048
813356,4096,0
814879,2048,2048
814882,2048,0
816404,4096,2048
816407,4096,0
819456,4096,4096
819459,4096,0
822508,4096,4096
822511,4096,0
825560,4096,4096
825563,4096,0
827086,6144,0
828611,4096,4096
828614,4096,0
830137,4096,2048
830140,4096,0
831663,2048,2048
831666,2048,0
833189,4096,2048
833192,4096,0
836241,4096,4096
836244,4096,0
837767,6144,0
839293,4096,4096
839296,4096,0
840818,4096,2048
840821,4096,0
842344,4096,2048
842347,4096,0
843870,4096,2048
843873,4096,0
845396,2048,2048
845399,2048,0
846922,4096,2048
846925,4096,0
849974,4096,4096
849977,4096,0
853025,4096,4096
853028,4096,0
854551,6144,0
856077,4096,4096
856080,4096,0
857603,4096,2048
857606,4096,0
