Time,from_ingress_queue_size,to_ingress_queue_size
2984.31,1,nan
2984.38,0,0
7454.66,1,0
7454.73,0,0
8942.77,1,0
8942.85,0,0
17139.4,1,0
17139.5,0,0
18628.5,1,0
18628.6,0,0
19377.6,1,0
19377.7,0,0
20122.6,1,0
20122.7,0,0
30551.5,1,0
30551.5,0,0
32043.6,1,0
32043.6,0,0
32785.6,1,0
32785.7,0,0
33533.7,1,0
33533.8,0,0
35019.8,1,0
35019.9,0,0
44707.6,1,0
44707.6,0,0
45451.6,1,0
45451.7,0,0
46940.7,1,0
46940.8,0,0
47684.8,1,0
47684.9,0,0
55883.4,1,0
55883.5,0,0
56627.5,1,0
56627.6,0,0
58116.6,1,0
58116.7,0,0
58860.7,1,0
58860.7,0,0
68549.4,1,0
68549.5,0,0
69293.5,1,0
69293.5,0,0
70037.5,1,0
70037.6,0,0
71527.6,1,0
71527.7,0,0
73021.8,1,0
73021.8,0,0
84197.6,1,0
84197.7,0,0
84939.7,1,0
84939.8,0,0
85687.8,1,0
85687.8,0,0
86432.8,1,0
86432.9,0,0
97606.7,1,0
97606.8,0,0
98350.7,1,0
98350.8,0,0
99094.8,1,0
99094.9,0,0
108037,1,0
108038,0,0
108782,1,0
108782,0,0
109526,1,0
109526,0,0
110271,1,0
110271,0,0
120702,1,0
120703,0,0
121448,1,0
121448,0,0
122192,1,0
122192,0,0
122941,1,0
122941,0,0
123686,1,0
123686,0,0
134859,1,0
134859,0,0
135604,1,0
135604,0,0
146034,1,0
146035,0,0
147524,1,0
147524,0,0
148270,1,0
148270,0,0
157955,1,0
157955,0,0
160191,1,0
160191,0,0
160936,1,0
160936,0,0
162425,1,0
162425,0,0
172857,1,0
172857,0,0
175095,1,0
175095,0,0
175840,1,0
175840,0,0
186268,1,0
186268,0,0
187013,1,0
187013,0,0
187757,1,0
187757,0,0
197443,1,0
197444,0,0
198189,1,0
198189,0,0
210109,1,0
210110,0,0
211603,1,0
211603,0,0
222775,1,0
222776,0,0
224265,1,0
224265,0,0
234696,1,0
234696,0,0
235441,1,0
235441,0,0
236185,1,0
236186,0,0
247362,1,0
247362,0,0
248107,1,0
248107,0,0
248851,1,0
248852,0,0
250342,1,0
250342,0,0
263754,1,0
263754,0,0
264499,1,0
264499,0,0
265243,1,0
265243,0,0
266737,1,0
266737,0,0
267482,1,0
267482,0,0
281635,1,0
281635,0,0
282380,1,0
282380,0,0
294301,1,0
294301,0,0
295046,1,0
295046,0,0
295791,1,0
295791,0,0
306222,1,0
306222,0,0
307711,1,0
307711,0,0
308457,1,0
308457,0,0
309201,1,0
309201,0,0
318888,1,0
318888,0,0
320377,1,0
320377,0,0
321123,1,0
321123,0,0
321871,1,0
321871,0,0
322616,1,0
322616,0,0
332302,1,0
332302,0,0
333788,1,0
333788,0,0
334534,1,0
334534,0,0
342730,1,0
342730,0,0
344219,1,0
344219,0,0
344964,1,0
344964,0,0
355399,1,0
355399,0,0
356885,1,0
356885,0,0
357634,1,0
357634,0,0
358379,1,0
358379,0,0
364334,1,0
364335,0,0
365080,1,0
365080,0,0
367315,1,0
367315,0,0
368810,1,0
368810,0,0
