Time,from_ingress_queue_size,to_ingress_queue_size
7631.39,1,nan
7632.14,0,1
7633.14,0,0
13739.7,1,0
13740.4,0,1
13741.4,0,0
16792.2,1,0
16792.9,0,1
16793.9,0,0
25947.4,1,0
25948.2,0,1
25949.2,0,0
28999.2,1,0
28999.9,0,1
29000.9,0,0
32050.9,1,0
32051.7,0,1
32052.7,0,0
39680.3,1,0
39681.1,0,1
39682.1,0,0
42732.1,1,0
42732.8,0,1
42733.8,0,0
45783.9,1,0
45784.6,0,1
45785.6,0,0
61042.6,1,0
61043.4,0,1
61044.4,0,0
73249.7,1,0
73250.4,0,1
73251.4,0,0
85456.7,1,0
85457.5,0,1
85458.5,0,0
99189.6,1,0
99190.4,0,1
99191.4,0,0
112923,1,0
112923,0,1
112924,0,0
126655,1,0
126656,0,1
126657,0,0
141914,1,0
141915,0,1
141916,0,0
151070,1,0
151070,0,1
151071,0,0
155647,1,0
155648,0,1
155649,0,0
161751,1,0
161751,0,1
161752,0,0
166328,1,0
166329,0,1
166330,0,0
173958,1,0
173958,0,1
173959,0,0
178535,1,0
178536,0,1
178537,0,0
187691,1,0
187691,0,1
187692,0,0
192268,1,0
192269,0,1
192270,0,0
204475,1,0
204476,0,1
204477,0,0
210579,1,0
210580,0,1
210581,0,0
221260,1,0
221261,0,1
221262,0,0
233467,1,0
233468,0,1
233469,0,0
236519,1,0
236519,0,1
236520,0,0
248726,1,0
248726,0,1
248727,0,0
251778,1,0
251778,0,1
251779,0,0
259407,1,0
259408,0,1
259409,0,0
262459,1,0
262459,0,1
262460,0,0
271614,1,0
271615,0,1
271616,0,0
274666,1,0
274666,0,1
274667,0,0
282295,1,0
282296,0,1
282297,0,0
285347,1,0
285348,0,1
285349,0,0
294502,1,0
294503,0,1
294504,0,0
297554,1,0
297555,0,1
297556,0,0
308235,1,0
308236,0,1
308237,0,0
311287,1,0
311288,0,1
311289,0,0
323494,1,0
323495,0,1
323496,0,0
326546,1,0
326546,0,1
326547,0,0
338753,1,0
338753,0,1
338754,0,0
341804,1,0
341805,0,1
341806,0,0
352486,1,0
352486,0,1
352487,0,0
355537,1,0
355538,0,1
355539,0,0
367744,1,0
367745,0,1
367746,0,0
370796,1,0
370797,0,1
370798,0,0
379951,1,0
379952,0,1
379953,0,0
386055,1,0
386056,0,1
386057,0,0
392163,1,0
392164,0,1
392165,0,0
399793,1,0
399793,0,1
399794,0,0
402844,1,0
402845,0,1
402846,0,0
412000,1,0
412000,0,1
412001,0,0
415051,1,0
415052,0,1
415053,0,0
424207,1,0
424207,0,1
424208,0,0
427258,1,0
427259,0,1
427260,0,0
430311,1,0
430312,0,1
430313,0,0
437940,1,0
437941,0,1
437942,0,0
440992,1,0
440993,0,1
440994,0,0
444044,1,0
444044,0,1
444045,0,0
451673,1,0
451674,0,1
451675,0,0
454725,1,0
454726,0,1
454727,0,0
457777,1,0
457777,0,1
457778,0,0
465406,1,0
465407,0,1
465408,0,0
468458,1,0
468459,0,1
468460,0,0
471510,1,0
471510,0,1
471511,0,0
477613,1,0
477614,0,1
477615,0,0
482191,1,0
482191,0,1
482192,0,0
486768,1,0
486769,0,1
486770,0,0
491346,1,0
491347,0,1
491348,0,0
495924,1,0
495924,0,1
495925,0,0
500501,1,0
500502,0,1
500503,0,0
505079,1,0
505080,0,1
505081,0,0
511182,1,0
511183,0,1
511184,0,0
514234,1,0
514235,0,1
514236,0,0
518812,1,0
518813,0,1
518814,0,0
526441,1,0
526442,0,1
526443,0,0
531019,1,0
531020,0,1
531021,0,0
538648,1,0
538649,0,1
538650,0,0
544752,1,0
544752,0,1
544753,0,0
552381,1,0
552382,0,1
552383,0,0
560011,1,0
560011,0,1
560012,0,0
590528,1,0
590529,0,1
590530,0,0
627149,1,0
627150,0,1
627151,0,0
640882,1,0
640883,0,1
640884,0,0
654615,1,0
654616,0,1
654617,0,0
663770,1,0
663771,0,1
663772,0,0
672926,1,0
672926,0,1
672927,0,0
685133,1,0
685133,0,1
685134,0,0
691236,1,0
691237,0,1
691238,0,0
697340,1,0
697340,0,1
697341,0,0
704969,1,0
704970,0,1
704971,0,0
711073,1,0
711073,0,1
711074,0,0
720228,1,0
720229,0,1
720230,0,0
724805,1,0
724806,0,1
724807,0,0
733961,1,0
733961,0,1
733962,0,0
740064,1,0
740065,0,1
740066,0,0
747694,1,0
747694,0,1
747695,0,0
755323,1,0
755324,0,1
755325,0,0
762952,1,0
762953,0,1
762954,0,0
770582,1,0
770583,0,1
770584,0,0
778211,1,0
778212,0,1
778213,0,0
781263,1,0
781264,0,1
781265,0,0
790418,1,0
790419,0,1
790420,0,0
793470,1,0
793471,0,1
793472,0,0
796522,1,0
796523,0,1
796524,0,0
805677,1,0
805678,0,1
805679,0,0
808729,1,0
808730,0,1
808731,0,0
811781,1,0
811781,0,1
811782,0,0
819410,1,0
819411,0,1
819412,0,0
822462,1,0
822462,0,1
822463,0,0
825513,1,0
825514,0,1
825515,0,0
831617,1,0
831618,0,1
831619,0,0
834669,1,0
834669,0,1
834670,0,0
837720,1,0
837721,0,1
837722,0,0
840772,1,0
840773,0,1
840774,0,0
845350,1,0
845351,0,1
845352,0,0
849928,1,0
849928,0,1
849929,0,0
852979,1,0
852980,0,1
852981,0,0
856037,1,0
856037,0,1
856038,0,0
862140,1,0
862141,0,1
862142,0,0
865192,1,0
865193,0,1
865194,0,0
868244,1,0
868244,0,1
868245,0,0
874347,1,0
874348,0,1
874349,0,0
877399,1,0
877400,0,1
877401,0,0
880451,1,0
880451,0,1
880452,0,0
888080,1,0
888081,0,1
888082,0,0
891132,1,0
891132,0,1
891133,0,0
894184,1,0
894184,0,1
894185,0,0
903339,1,0
903340,0,1
903341,0,0
906391,1,0
906391,0,1
906392,0,0
909442,1,0
909443,0,1
909444,0,0
917072,1,0
917072,0,1
917073,0,0
920123,1,0
920124,0,1
920125,0,0
923175,1,0
923176,0,1
923177,0,0
930805,1,0
930805,0,1
930806,0,0
933856,1,0
933857,0,1
933858,0,0
936908,1,0
936909,0,1
936910,0,0
947589,1,0
947590,0,1
947591,0,0
955219,1,0
955219,0,1
955220,0,0
962848,1,0
962849,0,1
962850,0,0
968952,1,0
968952,0,1
968953,0,0
975055,1,0
975056,0,1
975057,0,0
981159,1,0
981159,0,1
981160,0,0
988788,1,0
988789,0,1
988790,0,0
994892,1,0
994892,0,1
994893,0,0
1.00252e+06,1,0
1.00252e+06,0,1
1.00252e+06,0,0
1.00862e+06,1,0
1.00863e+06,0,1
1.00863e+06,0,0
1.01625e+06,1,0
1.01625e+06,0,1
1.01626e+06,0,0
1.02388e+06,1,0
1.02388e+06,0,1
1.02388e+06,0,0
1.03609e+06,1,0
1.03609e+06,0,1
1.03609e+06,0,0
1.04372e+06,1,0
1.04372e+06,0,1
1.04372e+06,0,0
1.0544e+06,1,0
1.0544e+06,0,1
1.0544e+06,0,0
1.05745e+06,1,0
1.05745e+06,0,1
1.05745e+06,0,0
1.06508e+06,1,0
1.06508e+06,0,1
1.06508e+06,0,0
1.06813e+06,1,0
1.06813e+06,0,1
1.06814e+06,0,0
1.07119e+06,1,0
1.07119e+06,0,1
1.07119e+06,0,0
1.07881e+06,1,0
1.07882e+06,0,1
1.07882e+06,0,0
1.08187e+06,1,0
1.08187e+06,0,1
1.08187e+06,0,0
1.08492e+06,1,0
1.08492e+06,0,1
1.08492e+06,0,0
1.09255e+06,1,0
1.09255e+06,0,1
1.09255e+06,0,0
1.0956e+06,1,0
1.0956e+06,0,1
1.0956e+06,0,0
1.09865e+06,1,0
1.09865e+06,0,1
1.09865e+06,0,0
1.10475e+06,1,0
1.10476e+06,0,1
1.10476e+06,0,0
1.10781e+06,1,0
1.10781e+06,0,1
1.10781e+06,0,0
1.11086e+06,1,0
1.11086e+06,0,1
1.11086e+06,0,0
1.11391e+06,1,0
1.11391e+06,0,1
1.11391e+06,0,0
1.12001e+06,1,0
1.12001e+06,0,1
1.12002e+06,0,0
1.12307e+06,1,0
1.12307e+06,0,1
1.12307e+06,0,0
1.12764e+06,1,0
1.12764e+06,0,1
1.12764e+06,0,0
1.13069e+06,1,0
1.1307e+06,0,1
1.1307e+06,0,0
1.13375e+06,1,0
1.13375e+06,0,1
1.13375e+06,0,0
1.13832e+06,1,0
1.13832e+06,0,1
1.13833e+06,0,0
1.14138e+06,1,0
1.14138e+06,0,1
1.14138e+06,0,0
1.14443e+06,1,0
1.14443e+06,0,1
1.14443e+06,0,0
1.15053e+06,1,0
1.15053e+06,0,1
1.15053e+06,0,0
1.15358e+06,1,0
1.15358e+06,0,1
1.15358e+06,0,0
1.15969e+06,1,0
1.15969e+06,0,1
1.15969e+06,0,0
1.16274e+06,1,0
1.16274e+06,0,1
1.16274e+06,0,0
1.17037e+06,1,0
1.17037e+06,0,1
1.17037e+06,0,0
1.17342e+06,1,0
1.17342e+06,0,1
1.17342e+06,0,0
1.17647e+06,1,0
1.17647e+06,0,1
1.17647e+06,0,0
1.18105e+06,1,0
1.18105e+06,0,1
1.18105e+06,0,0
1.1841e+06,1,0
1.1841e+06,0,1
1.1841e+06,0,0
1.18715e+06,1,0
1.18715e+06,0,1
1.18715e+06,0,0
1.1902e+06,1,0
1.1902e+06,0,1
1.19021e+06,0,0
1.19326e+06,1,0
1.19326e+06,0,1
1.19326e+06,0,0
1.19631e+06,1,0
1.19631e+06,0,1
1.19631e+06,0,0
1.19936e+06,1,0
1.19936e+06,0,1
1.19936e+06,0,0
1.20241e+06,1,0
1.20241e+06,0,1
1.20241e+06,0,0
1.20546e+06,1,0
1.20546e+06,0,1
1.20546e+06,0,0
1.20851e+06,1,0
1.20852e+06,0,1
1.20852e+06,0,0
1.21157e+06,1,0
1.21157e+06,0,1
1.21157e+06,0,0
1.21462e+06,1,0
1.21462e+06,0,1
1.21462e+06,0,0
1.21767e+06,1,0
1.21767e+06,0,1
1.21767e+06,0,0
1.22072e+06,1,0
1.22072e+06,0,1
1.22072e+06,0,0
1.22377e+06,1,0
1.22377e+06,0,1
1.22378e+06,0,0
1.22683e+06,1,0
1.22683e+06,0,1
1.22683e+06,0,0
