Time,from_ingress_queue_size,to_ingress_queue_size
1191.73,256,nan
1382.47,0,nan
2382.47,0,256
2383.47,0,0
3192.73,256,0
3383.47,0,0
4383.47,0,256
4384.47,0,0
5576.69,256,0
5767.43,0,0
6767.43,0,256
6769.43,0,0
9962.65,256,0
10153.4,0,0
11153.4,0,256
11155.4,0,0
14349.6,256,0
14540.3,0,0
14541.3,256,0
14732.1,0,0
15540.3,0,256
15541.3,0,0
15732.1,0,256
15733.1,0,0
18734.6,256,0
18925.3,0,0
18927.3,256,0
19118,0,0
19925.3,0,256
19927.3,0,0
20118,0,256
20119,0,0
23120.5,256,0
23311.3,0,0
23313.3,256,0
23504,0,0
24311.3,0,256
24313.3,0,0
24504,0,256
24505,0,0
27507.5,256,0
27698.2,0,0
27699.2,256,0
27890,256,0
28080.7,0,0
28698.2,0,256
28699.2,0,0
28890,0,256
28891,0,0
29080.7,0,256
29081.7,0,0
31892.5,256,0
32083.2,0,0
32085.2,256,0
32275.9,256,0
32466.7,0,0
33083.2,0,256
33085.2,0,0
33275.9,0,256
33276.9,0,0
33466.7,0,256
33467.7,0,0
36278.4,256,0
36469.1,0,0
36471.1,256,0
36661.9,256,0
36852.6,256,0
37043.4,0,0
37469.1,0,256
37471.1,0,0
37661.9,0,256
37662.9,0,0
37852.6,0,256
37853.6,0,0
38043.4,0,256
38044.4,0,0
40664.4,256,0
40855.1,0,0
40857.1,256,0
41047.8,256,0
41238.6,256,0
41429.3,0,0
41855.1,0,256
41857.1,0,0
42047.8,0,256
42048.8,0,0
42238.6,0,256
42239.6,0,0
42429.3,0,256
42430.3,0,0
45050.3,256,0
45241.1,0,0
45243.1,256,0
45433.8,256,0
45624.5,256,0
45815.3,0,0
46241.1,0,256
46243.1,0,0
46433.8,0,256
46434.8,0,0
46624.5,0,256
46625.5,0,0
46815.3,0,256
46816.3,0,0
49437.3,256,0
49628,0,0
49629,256,0
49819.8,256,0
50010.5,256,0
50201.2,256,0
50392,0,0
50628,0,256
50629,0,0
50819.8,0,256
50820.8,0,0
51010.5,0,256
51011.5,0,0
51201.2,0,256
51202.2,0,0
51392,0,256
51393,0,0
53822.3,256,0
54013,0,0
54015,256,0
54205.7,256,0
54396.5,256,0
54587.2,256,0
54777.9,0,0
55013,0,256
55015,0,0
55205.7,0,256
55206.7,0,0
55396.5,0,256
55397.5,0,0
55587.2,0,256
55588.2,0,0
55777.9,0,256
55778.9,0,0
58208.2,256,0
58398.9,0,0
58400.9,256,0
58591.7,256,0
58782.4,256,0
58973.2,256,0
59163.9,256,0
59354.6,0,0
59398.9,0,256
59400.9,0,0
59591.7,0,256
59592.7,0,0
59782.4,0,256
59783.4,0,0
59973.2,0,256
59974.2,0,0
60163.9,0,256
60164.9,0,0
60354.6,0,256
60355.6,0,0
62594.2,256,0
62784.9,0,0
62786.9,256,0
62977.6,256,0
63168.4,256,0
63359.1,256,0
63549.8,256,0
63740.6,0,0
63784.9,0,256
63786.9,0,0
63977.6,0,256
63978.6,0,0
64168.4,0,256
64169.4,0,0
64359.1,0,256
64360.1,0,0
64549.8,0,256
64550.8,0,0
64740.6,0,256
64741.6,0,0
66980.1,256,0
67170.9,0,0
67172.9,256,0
67363.6,256,0
67554.3,256,0
67745.1,256,0
67935.8,256,0
68126.5,0,0
68170.9,0,256
68172.9,0,0
68363.6,0,256
68364.6,0,0
68554.3,0,256
68555.3,0,0
68745.1,0,256
68746.1,0,0
68935.8,0,256
68936.8,0,0
69126.5,0,256
69127.5,0,0
71367.1,256,0
71557.8,0,0
71558.8,256,0
71749.6,256,0
71940.3,256,0
72131,256,0
72321.8,256,0
72512.5,256,0
72557.8,256,256
72558.8,256,0
72703.2,0,0
72749.6,0,256
72750.6,0,0
72940.3,0,256
72941.3,0,0
73131,0,256
73132,0,0
73321.8,0,256
73322.8,0,0
73512.5,0,256
73513.5,0,0
73703.2,0,256
73704.2,0,0
75752.1,256,0
75942.8,0,0
75944.8,256,0
76135.5,256,0
76326.3,256,0
76517,256,0
76707.7,256,0
76898.5,256,0
76942.8,256,256
76944.8,256,0
77089.2,0,0
77135.5,0,256
77136.5,0,0
77326.3,0,256
77327.3,0,0
77517,0,256
77518,0,0
77707.7,0,256
77708.7,0,0
77898.5,0,256
77899.5,0,0
78089.2,0,256
78090.2,0,0
80138,256,0
80328.7,0,0
80330.7,256,0
80521.5,256,0
80712.2,256,0
80903,256,0
81093.7,256,0
81284.4,256,0
81328.7,256,256
81330.7,256,0
81475.2,0,0
81521.5,0,256
81522.5,0,0
81712.2,0,256
81713.2,0,0
81903,0,256
81904,0,0
82093.7,0,256
82094.7,0,0
82284.4,0,256
82285.4,0,0
82475.2,0,256
82476.2,0,0
84524,256,0
84714.7,0,0
84716.7,256,0
84907.4,256,0
85098.2,256,0
85288.9,256,0
85479.6,256,0
85670.4,256,0
85714.7,256,256
85716.7,256,0
85861.1,256,0
85907.4,256,256
85908.4,256,0
86051.9,0,0
86098.2,0,256
86099.2,0,0
86288.9,0,256
86289.9,0,0
86479.6,0,256
86480.6,0,0
86670.4,0,256
86671.4,0,0
86861.1,0,256
86862.1,0,0
87051.9,0,256
87052.9,0,0
88909.9,256,0
89100.7,0,0
89102.7,256,0
89293.4,256,0
89484.1,256,0
89674.9,256,0
89865.6,256,0
90056.3,256,0
90100.7,256,256
90102.7,256,0
90247.1,256,0
90293.4,256,256
90294.4,256,0
90437.8,0,0
90484.1,0,256
90485.1,0,0
90674.9,0,256
90675.9,0,0
90865.6,0,256
90866.6,0,0
91056.3,0,256
91057.3,0,0
91247.1,0,256
91248.1,0,0
91437.8,0,256
91438.8,0,0
93295.9,256,0
93486.6,0,0
93488.6,256,0
93679.4,256,0
93870.1,256,0
94060.8,256,0
94251.6,256,0
94442.3,256,0
94486.6,256,256
94488.6,256,0
94633,256,0
94679.4,256,256
94680.4,256,0
94823.8,0,0
94870.1,0,256
94871.1,0,0
95060.8,0,256
95061.8,0,0
95251.6,0,256
95252.6,0,0
95442.3,0,256
95443.3,0,0
95633,0,256
95634,0,0
95823.8,0,256
95824.8,0,0
97681.9,256,0
97872.6,0,0
97874.6,256,0
98065.3,256,0
98256.1,256,0
98446.8,256,0
98637.5,256,0
98828.3,256,0
98872.6,256,256
98874.6,256,0
99019,256,0
99065.3,256,256
99066.3,256,0
99209.7,256,0
99256.1,256,256
99257.1,256,0
99400.5,0,0
99446.8,0,256
99447.8,0,0
99637.5,0,256
99638.5,0,0
99828.3,0,256
99829.3,0,0
100019,0,256
100020,0,0
100210,0,256
100211,0,0
100400,0,256
100401,0,0
102068,256,0
102259,0,0
102261,256,0
102451,256,0
102642,256,0
102833,256,0
103023,256,0
103214,256,0
103259,256,256
103261,256,0
103405,256,0
103451,256,256
103452,256,0
103596,256,0
103642,256,256
103643,256,0
103786,0,0
103833,0,256
103834,0,0
104023,0,256
104024,0,0
104214,0,256
104215,0,0
104405,0,256
104406,0,0
104596,0,256
104597,0,0
104786,0,256
104787,0,0
106454,256,0
106645,0,0
106647,256,0
106837,256,0
107028,256,0
107219,256,0
107409,256,0
107600,256,0
107645,256,256
107647,256,0
107791,256,0
107837,256,256
107838,256,0
107982,256,0
108028,256,256
108029,256,0
108172,0,0
108219,0,256
108220,0,0
108409,0,256
108410,0,0
108600,0,256
108601,0,0
108791,0,256
108792,0,0
108982,0,256
108983,0,0
109172,0,256
109173,0,0
110840,256,0
111030,0,0
111032,256,0
111223,256,0
111414,256,0
111605,256,0
111795,256,0
111986,256,0
112030,256,256
112032,256,0
112177,256,0
112223,256,256
112224,256,0
112368,256,0
