Time,from_ingress_queue_size,to_ingress_queue_size
3728.36,1,nan
3728.44,0,0
7454.66,1,0
7454.73,0,0
12667.1,1,0
12667.1,0,0
14160.2,1,0
14160.3,0,0
24589,1,0
24589.1,0,0
26080.1,1,0
26080.2,0,0
26824.2,1,0
26824.2,0,0
29062.3,1,0
29062.4,0,0
38000,1,0
38000.1,0,0
38745.1,1,0
38745.2,0,0
39489.2,1,0
39489.2,0,0
49175.9,1,0
49176,0,0
49921,1,0
49921,0,0
61096.8,1,0
61096.9,0,0
61841.9,1,0
61842,0,0
73020.8,1,0
73020.8,0,0
73765.8,1,0
73765.9,0,0
74506.9,1,0
74507,0,0
85684.8,1,0
85684.8,0,0
86428.8,1,0
86428.9,0,0
87173.9,1,0
87173.9,0,0
99094.8,1,0
99094.9,0,0
99839.9,1,0
99839.9,0,0
100584,1,0
100584,0,0
113254,1,0
113254,0,0
113996,1,0
113996,0,0
114740,1,0
114740,0,0
115485,1,0
115485,0,0
125917,1,0
125917,0,0
126662,1,0
126662,0,0
127406,1,0
127406,0,0
128151,1,0
128151,0,0
129641,1,0
129641,0,0
140073,1,0
140073,0,0
140818,1,0
140818,0,0
141566,1,0
141566,0,0
142311,1,0
142311,0,0
152739,1,0
152739,0,0
153484,1,0
153484,0,0
154228,1,0
154228,0,0
163915,1,0
163915,0,0
164660,1,0
164660,0,0
165404,1,0
165404,0,0
166149,1,0
166149,0,0
177326,1,0
177326,0,0
178071,1,0
178071,0,0
178815,1,0
178815,0,0
179560,1,0
179560,0,0
180305,1,0
180305,0,0
194465,1,0
194465,0,0
195207,1,0
195207,0,0
195951,1,0
195951,0,0
196696,1,0
196696,0,0
197441,1,0
197442,0,0
209363,1,0
209363,0,0
210108,1,0
210109,0,0
210853,1,0
210853,0,0
219049,1,0
219049,0,0
219794,1,0
219794,0,0
220538,1,0
220538,0,0
221283,1,0
221283,0,0
230970,1,0
230970,0,0
231715,1,0
231715,0,0
232459,1,0
232459,0,0
233204,1,0
233204,0,0
233949,1,0
233949,0,0
245871,1,0
245871,0,0
246619,1,0
246619,0,0
247364,1,0
247364,0,0
248105,1,0
248105,0,0
248850,1,0
248851,0,0
249596,1,0
249596,0,0
260772,1,0
260772,0,0
261517,1,0
261518,0,0
262263,1,0
262263,0,0
263011,1,0
263011,0,0
263756,1,0
263756,0,0
272693,1,0
272693,0,0
273438,1,0
273438,0,0
274183,1,0
274184,0,0
274927,1,0
274928,0,0
283869,1,0
283869,0,0
285358,1,0
285358,0,0
286104,1,0
286104,0,0
286848,1,0
286849,0,0
288339,1,0
288339,0,0
296535,1,0
296535,0,0
298770,1,0
298770,0,0
299515,1,0
299515,0,0
300263,1,0
300264,0,0
301754,1,0
301754,0,0
302498,1,0
302498,0,0
309201,1,0
309201,0,0
312184,1,0
312184,0,0
312928,1,0
312929,0,0
321867,1,0
321867,0,0
322612,1,0
322612,0,0
324101,1,0
324101,0,0
324849,1,0
324849,0,0
336026,1,0
336026,0,0
336771,1,0
336771,0,0
338261,1,0
338262,0,0
339005,1,0
339006,0,0
