Time,from_ingress_queue_size,to_ingress_queue_size
6103.52,1,nan
6104.26,0,1
6105.26,0,0
10684.2,1,0
10684.9,0,1
10685.9,0,0
16787.7,1,0
16788.4,0,1
16789.4,0,0
19839.4,1,0
19840.2,0,1
19841.2,0,0
25942.9,1,0
25943.7,0,1
25944.7,0,0
28994.7,1,0
28995.4,0,1
28996.4,0,0
32046.5,1,0
32047.2,0,1
32048.2,0,0
38150,1,0
38150.7,0,1
38151.7,0,0
41201.7,1,0
41202.5,0,1
41203.5,0,0
48831.1,1,0
48831.9,0,1
48832.9,0,0
51882.9,1,0
51883.6,0,1
51884.6,0,0
54934.6,1,0
54935.4,0,1
54936.4,0,0
62564,1,0
62564.8,0,1
62565.8,0,0
65615.8,1,0
65616.5,0,1
65617.5,0,0
68667.6,1,0
68668.3,0,1
68669.3,0,0
76296.9,1,0
76297.7,0,1
76298.7,0,0
79348.7,1,0
79349.4,0,1
79350.4,0,0
82400.5,1,0
82401.2,0,1
82402.2,0,0
91555.7,1,0
91556.5,0,1
91557.5,0,0
94607.5,1,0
94608.2,0,1
94609.2,0,0
97659.2,1,0
97660,0,1
97661,0,0
103769,1,0
103770,0,1
103771,0,0
111399,1,0
111399,0,1
111400,0,0
119028,1,0
119029,0,1
119030,0,0
122080,1,0
122081,0,1
122082,0,0
129709,1,0
129710,0,1
129711,0,0
132761,1,0
132762,0,1
132763,0,0
141916,1,0
141917,0,1
141918,0,0
144968,1,0
144969,0,1
144970,0,0
148021,1,0
148021,0,1
148022,0,0
155650,1,0
155651,0,1
155652,0,0
158702,1,0
158703,0,1
158704,0,0
161754,1,0
161754,0,1
161755,0,0
169383,1,0
169384,0,1
169385,0,0
172435,1,0
172436,0,1
172437,0,0
175487,1,0
175487,0,1
175488,0,0
183116,1,0
183117,0,1
183118,0,0
186168,1,0
186168,0,1
186169,0,0
189219,1,0
189220,0,1
189221,0,0
195323,1,0
195324,0,1
195325,0,0
198375,1,0
198375,0,1
198376,0,0
204478,1,0
204479,0,1
204480,0,0
207530,1,0
207531,0,1
207532,0,0
215159,1,0
215160,0,1
215161,0,0
218211,1,0
218212,0,1
218213,0,0
225841,1,0
225841,0,1
225842,0,0
228892,1,0
228893,0,1
228894,0,0
238048,1,0
238048,0,1
238049,0,0
241099,1,0
241100,0,1
241101,0,0
244151,1,0
244152,0,1
244153,0,0
251781,1,0
251781,0,1
251782,0,0
254832,1,0
254833,0,1
254834,0,0
257884,1,0
257885,0,1
257886,0,0
265513,1,0
265514,0,1
265515,0,0
268565,1,0
268566,0,1
268567,0,0
271617,1,0
271618,0,1
271619,0,0
279246,1,0
279247,0,1
279248,0,0
282298,1,0
282299,0,1
282300,0,0
285350,1,0
285351,0,1
285352,0,0
294505,1,0
294506,0,1
294507,0,0
305186,1,0
305187,0,1
305188,0,0
311290,1,0
311291,0,1
311292,0,0
323497,1,0
323498,0,1
323499,0,0
337230,1,0
337230,0,1
337231,0,0
350963,1,0
350963,0,1
350964,0,0
378428,1,0
378429,0,1
378430,0,0
384532,1,0
384533,0,1
384534,0,0
392161,1,0
392162,0,1
392163,0,0
398265,1,0
398266,0,1
398267,0,0
405894,1,0
405895,0,1
405896,0,0
413524,1,0
413524,0,1
413525,0,0
419627,1,0
419628,0,1
419629,0,0
425731,1,0
425731,0,1
425732,0,0
430308,1,0
430309,0,1
430310,0,0
433360,1,0
433361,0,1
433362,0,0
439464,1,0
439464,0,1
439465,0,0
444041,1,0
444042,0,1
444043,0,0
450145,1,0
450146,0,1
450147,0,0
454722,1,0
454723,0,1
454724,0,0
460826,1,0
460827,0,1
460828,0,0
466929,1,0
466930,0,1
466931,0,0
473033,1,0
473034,0,1
473035,0,0
476085,1,0
476085,0,1
476086,0,0
485240,1,0
485241,0,1
485242,0,0
488292,1,0
488292,0,1
488293,0,0
498973,1,0
498974,0,1
498975,0,0
502025,1,0
502025,0,1
502026,0,0
511180,1,0
511181,0,1
511182,0,0
520335,1,0
520336,0,1
520337,0,0
531016,1,0
531017,0,1
531018,0,0
534068,1,0
534069,0,1
534070,0,0
544749,1,0
544750,0,1
544751,0,0
556956,1,0
556957,0,1
