Flow id, Packet size (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1040000, 1000000, 0, 40000, 4, 20.6759, 19.8807, 374764

conn2_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 21.4134, 20.7897, 358378

conn3_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 20.641, 20.0398, 371789

conn4_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 20.5997, 19.9997, 372534

conn5_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 19.9224, 19.3421, 385200
