Time,from_ingress_queue_size,to_ingress_queue_size
4579.64,1,nan
4580.38,0,1
4581.38,0,0
6584.64,1,0
6585.38,0,0
9166.51,1,0
9167.25,0,0
10694.4,1,0
10695.1,0,1
10696.1,0,0
13748.4,1,0
13749.1,0,0
15280.3,1,0
15281,0,0
18330.3,1,0
18331,0,0
19860.1,1,0
19860.9,0,1
19861.9,0,0
21385,1,0
21385.8,0,1
21386.8,0,0
22917.1,1,0
22917.9,0,1
22918.9,0,0
24448,1,0
24448.7,0,0
25975.9,1,0
25976.6,0,1
25977.6,0,0
27499.8,1,0
27500.5,0,0
29027.6,1,0
29028.4,0,1
29029.4,0,0
30551.5,1,0
30552.3,0,1
30553.3,0,0
32079.4,1,0
32080.1,0,1
32081.1,0,0
33605.3,1,0
33606,0,0
35131.2,1,0
35131.9,0,1
35132.9,0,0
36655,1,0
36655.8,0,0
38182.9,1,0
38183.7,0,1
38184.7,0,0
39706.8,1,0
39707.5,0,0
41234.7,1,0
41235.4,0,1
41236.4,0,0
42758.6,1,0
42759.3,0,0
44286.4,1,0
44287.2,0,1
44288.2,0,0
45810.3,1,0
45811.1,0,0
47338.2,1,0
47338.9,0,1
47339.9,0,0
48862.1,1,0
48862.8,0,0
50389.9,1,0
50390.7,0,1
50391.7,0,0
51913.8,1,0
51914.6,0,0
53441.7,1,0
53442.4,0,1
53443.4,0,0
54965.6,1,0
54966.3,0,0
56493.5,1,0
56494.2,0,1
56495.2,0,0
58017.3,1,0
58018.1,0,0
59545.2,1,0
59546,0,1
59547,0,0
61069.1,1,0
61069.8,0,0
62597,1,0
62597.7,0,1
62598.7,0,0
64120.9,1,0
64121.6,0,0
65648.7,1,0
65649.5,0,1
65650.5,0,0
67172.6,1,0
67173.4,0,0
68700.5,1,0
68701.2,0,1
68702.2,0,0
70224.4,1,0
70225.1,0,0
71752.2,1,0
71753,0,1
71754,0,0
73276.1,1,0
73276.9,0,0
74804,1,0
74804.8,0,1
74805.8,0,0
76327.9,1,0
76328.6,0,0
77855.8,1,0
77856.5,0,1
77857.5,0,0
79379.6,1,0
79380.4,0,0
80907.5,1,0
80908.3,0,1
80909.3,0,0
82431.4,1,0
82432.1,0,0
83959.3,1,0
83960,0,1
83961,0,0
85483.2,1,0
85483.9,0,0
87011,1,0
87011.8,0,1
87012.8,0,0
88534.9,1,0
88535.7,0,0
90062.8,1,0
90063.5,0,1
90064.5,0,0
91586.7,1,0
91587.4,0,0
93114.6,1,0
93115.3,0,1
93116.3,0,0
94638.4,1,0
94639.2,0,0
96166.3,1,0
96167.1,0,1
96168.1,0,0
97690.2,1,0
97690.9,0,0
99218.1,1,0
99218.8,0,1
99219.8,0,0
100742,1,0
100743,0,0
102270,1,0
102271,0,1
102272,0,0
103794,1,0
103794,0,0
105322,1,0
