Time,from_ingress_queue_size,to_ingress_queue_size
0,256,nan
1907.35,0,nan
1908.35,0,256
1909.35,0,0
2000,256,0
3834.6,512,0
3835.6,768,0
3907.35,512,0
3908.35,512,256
3909.35,512,0
5814.7,256,0
5815.7,256,256
5818.7,256,0
7722.05,0,0
7723.05,0,256
7724.05,0,0
7743.95,256,0
9651.3,0,0
9652.3,0,0
9653.3,256,0
11560.6,0,0
11561.6,0,256
11563.6,0,0
11577.5,256,0
11578.5,512,0
13484.9,256,0
13485.9,256,0
13490.9,512,0
15392.2,256,0
15393.2,256,256
15395.2,256,0
15411.1,512,0
17299.6,256,0
17300.6,256,0
17320.5,512,0
17321.5,768,0
19206.9,512,0
19207.9,512,0
19227.8,768,0
21114.3,512,0
21115.3,512,0
21135.2,768,0
23021.6,512,0
23022.6,512,0
23042.5,768,0
24929,512,0
24930,512,0
24949.9,768,0
26836.3,512,0
26837.3,512,0
26857.2,768,0
26858.2,1024,0
28743.7,768,0
28744.7,768,0
28764.6,1024,0
30651,768,0
30652,768,0
30671.9,1024,0
32558.4,768,0
32559.4,768,0
32579.3,1024,0
34465.7,768,0
34466.7,768,0
34486.6,1024,0
36373.1,768,0
36374.1,768,0
36394,1024,0
36395,1280,0
38280.4,1024,0
38281.4,1024,0
38301.3,1280,0
40187.8,1024,0
40188.8,1024,0
40208.7,1280,0
42095.1,1024,0
42096.1,1024,0
42116,1280,0
44002.5,1024,0
44003.5,1024,0
44023.4,1280,0
45909.8,1024,0
45910.8,1024,0
45930.7,1280,0
47817.2,1024,0
47818.2,1024,0
47838.1,1280,0
47839.1,1536,0
49724.5,1280,0
49725.5,1280,0
49745.4,1536,0
51631.9,1280,0
51632.9,1280,0
51652.8,1536,0
53539.2,1280,0
53540.2,1280,0
53560.1,1536,0
55446.6,1280,0
55447.6,1280,0
55467.5,1536,0
57353.9,1280,0
57354.9,1280,0
57374.8,1536,0
59261.3,1280,0
59262.3,1280,0
59282.2,1536,0
61168.6,1280,0
61169.6,1280,0
61189.5,1536,0
63076,1280,0
63077,1280,0
63096.9,1536,0
63097.9,1792,0
64983.3,1536,0
64984.3,1536,0
65004.2,1792,0
66890.7,1536,0
66891.7,1536,0
66911.6,1792,0
68798,1536,0
68799,1536,0
68818.9,1792,0
70705.4,1536,0
70706.4,1536,0
70726.3,1792,0
72612.7,1536,0
72613.7,1536,0
72633.6,1792,0
74520.1,1536,0
74521.1,1536,0
74541,1792,0
76427.4,1536,0
76428.4,1536,0
76448.3,1792,0
78334.7,1536,0
78335.7,1536,0
78355.6,1792,0
78356.6,2048,0
80242.1,1792,0
80243.1,1792,0
80263,2048,0
82149.4,1792,0
82150.4,1792,0
82170.3,2048,0
84056.8,1792,0
84057.8,1792,0
84077.7,2048,0
85964.1,1792,0
85965.1,1792,0
85985,2048,0
87871.5,1792,0
87872.5,1792,0
87892.4,2048,0
89778.8,1792,0
89779.8,1792,0
89799.7,2048,0
91686.2,1792,0
91687.2,1792,0
91707.1,2048,0
93593.5,1792,0
93594.5,1792,0
93614.4,2048,0
95500.9,1792,0
95501.9,1792,0
95521.8,2048,0
97408.2,1792,0
97409.2,1792,0
97429.1,2048,0
97430.1,2304,0
99315.6,2048,0
99316.6,2048,0
99336.5,2304,0
101223,2048,0
101224,2048,0
101244,2304,0
103130,2048,0
