Time,from_ingress_queue_size,to_ingress_queue_size
956.674,1,nan
964.125,0,nan
965.125,0,1
966.125,0,0
1932.25,1,0
1939.7,0,0
1940.7,0,0
2409.09,1,0
2416.54,0,0
2417.54,0,1
2420.54,0,0
2906.83,1,0
2914.28,0,0
2915.28,0,0
3383.66,1,0
3391.11,0,0
3392.11,0,0
3860.5,1,0
3867.95,0,0
3868.95,0,0
4337.34,1,0
4344.79,0,0
4345.79,0,0
4814.17,1,0
4821.62,0,0
4822.62,0,1
4823.62,0,0
5291.01,1,0
5298.46,0,0
5299.46,0,0
5767.85,1,0
5775.3,0,0
5776.3,0,1
5777.3,0,0
6244.69,1,0
6252.14,0,0
6253.14,0,0
6721.52,1,0
6728.97,0,0
6729.97,0,1
6730.97,0,0
7198.36,1,0
7205.81,0,0
7206.81,0,0
7675.2,1,0
7682.65,0,0
7683.65,0,1
7684.65,0,0
8152.03,1,0
8159.48,0,0
8160.48,0,0
8628.87,1,0
8636.32,0,0
8637.32,0,1
8638.32,0,0
9105.71,1,0
9113.16,0,0
9114.16,0,0
9582.55,1,0
9590,0,0
9591,0,1
9592,0,0
10059.4,1,0
10066.8,0,0
10067.8,0,0
10536.2,1,0
10543.7,0,0
10544.7,0,1
10545.7,0,0
11013.1,1,0
11020.5,0,0
11021.5,0,0
11489.9,1,0
11497.3,0,0
11498.3,0,1
11499.3,0,0
11966.7,1,0
11974.2,0,0
11975.2,0,0
12443.6,1,0
12451,0,0
12452,0,1
12453,0,0
12920.4,1,0
12927.9,0,0
12928.9,0,0
13397.2,1,0
13404.7,0,0
13405.7,0,1
13406.7,0,0
13874.1,1,0
13881.5,0,0
13882.5,0,0
14350.9,1,0
14358.4,0,0
14359.4,0,1
14360.4,0,0
14827.8,1,0
14835.2,0,0
14836.2,0,0
15304.6,1,0
15312,0,0
15313,0,1
15314,0,0
15781.4,1,0
15788.9,0,0
15789.9,0,0
16258.3,1,0
16265.7,0,0
16266.7,0,1
16267.7,0,0
16735.1,1,0
16742.6,0,0
16743.6,0,0
17211.9,1,0
17219.4,0,0
17220.4,0,1
17221.4,0,0
17688.8,1,0
17696.2,0,0
17697.2,0,0
18165.6,1,0
18173.1,0,0
18174.1,0,1
18175.1,0,0
18642.5,1,0
18649.9,0,0
18650.9,0,1
18652.9,0,0
19618,1,0
19625.5,0,0
19626.5,0,0
20591.6,1,0
20599.1,0,0
20600.1,0,0
21070.4,1,0
21077.9,0,0
21078.9,0,1
21079.9,0,0
21566.2,1,0
21573.6,0,0
21574.6,0,0
22044,1,0
22051.5,0,0
22052.5,0,0
22520.9,1,0
22528.3,0,0
22529.3,0,0
22997.7,1,0
23005.1,0,0
23006.1,0,0
23474.5,1,0
23482,0,0
23483,0,0
23951.4,1,0
23958.8,0,0
23959.8,0,0
24428.2,1,0
24435.7,0,0
24436.7,0,0
24905,1,0
24912.5,0,0
24913.5,0,0
25381.9,1,0
25389.3,0,0
25390.3,0,0
25858.7,1,0
25866.2,0,0
25867.2,0,1
25869.2,0,0
26335.5,1,0
26343,0,0
26344,0,0
26812.4,1,0
26819.8,0,0
26820.8,0,0
27289.2,1,0
27296.7,0,0
27297.7,0,0
27766.1,1,0
27773.5,0,0
27774.5,0,0
28242.9,1,0
28250.3,0,0
28251.3,0,0
28719.7,1,0
28727.2,0,0
28728.2,0,0
29196.6,1,0
29204,0,0
29205,0,0
29673.4,1,0
29680.9,0,0
29681.9,0,0
30150.2,1,0
30157.7,0,0
30158.7,0,0
30627.1,1,0
30634.5,0,0
30635.5,0,0
31103.9,1,0
31111.4,0,0
31112.4,0,0
31580.8,1,0
31588.2,0,0
31589.2,0,0
32057.6,1,0
32065,0,0
32066,0,0
32534.4,1,0
32541.9,0,0
32542.9,0,0
33011.3,1,0
33018.7,0,0
33019.7,0,0
33488.1,1,0
33495.6,0,0
33496.6,0,0
33964.9,1,0
33972.4,0,0
33973.4,0,0
34441.8,1,0
34449.2,0,0
34450.2,0,0
34918.6,1,0
34926.1,0,0
34927.1,0,0
35395.5,1,0
35402.9,0,0
35403.9,0,0
35872.3,1,0
35879.7,0,0
35880.7,0,0
36349.1,1,0
36356.6,0,0
36357.6,0,0
36826,1,0
36833.4,0,0
36834.4,0,0
37302.8,1,0
37310.3,0,0
37311.3,0,0
37779.6,1,0
37787.1,0,0
37788.1,0,0
38256.5,1,0
38263.9,0,0
38264.9,0,0
38733.3,1,0
38740.8,0,0
38741.8,0,0
39210.2,1,0
39217.6,0,0
39218.6,0,0
39687,1,0
39694.4,0,0
39695.4,0,0
40163.8,1,0
40171.3,0,0
40172.3,0,0
40640.7,1,0
40648.1,0,0
40649.1,0,0
41117.5,1,0
41125,0,0
41126,0,0
41594.3,1,0
41601.8,0,0
41602.8,0,0
42071.2,1,0
42078.6,0,0
42079.6,0,0
42548,1,0
42555.5,0,0
42556.5,0,1
42558.5,0,0
43524.6,1,0
43532,0,0
43533,0,1
43535,0,0
44501.2,1,0
44508.6,0,0
44509.6,0,0
44978,1,0
44985.5,0,0
44986.5,0,1
44989.5,0,0
45475.7,1,0
45483.2,0,0
45484.2,0,0
45952.6,1,0
45960,0,0
45961,0,0
46429.4,1,0
46436.9,0,0
46437.9,0,0
46906.3,1,0
46913.7,0,0
46914.7,0,0
47383.1,1,0
47390.5,0,0
47391.5,0,0
47859.9,1,0
47867.4,0,0
47868.4,0,0
48336.8,1,0
48344.2,0,0
48345.2,0,0
48813.6,1,0
48821.1,0,0
48822.1,0,0
49290.4,1,0
49297.9,0,0
49298.9,0,0
49767.3,1,0
49774.7,0,0
49775.7,0,0
50244.1,1,0
50251.6,0,0
50252.6,0,0
50720.9,1,0
50728.4,0,0
50729.4,0,1
50732.4,0,0
