Time,from_ingress_queue_size,to_ingress_queue_size
0,1500,nan
111.759,0,1500
117.759,0,0
673.701,1500,0
674.701,3000,0
785.46,1500,0
897.219,0,1500
902.144,0,0
1566.77,1500,0
1567.77,3000,0
1678.53,1500,0
1790.29,0,1500
1796.29,0,0
1905.05,1500,0
1906.05,3000,0
2016.81,1500,1500
2022.73,1500,0
2128.56,0,1500
2129.49,0,0
4247.98,1500,0
4248.98,3000,0
4359.74,1500,1500
4365.66,1500,0
4471.5,0,1500
4476.42,0,0
7936.02,1500,0
8047.78,0,1500
8053.7,0,0
9501.64,1500,0
9502.64,3000,0
9613.4,1500,0
9725.16,0,1500
9731.08,0,0
10507.5,1500,0
10619.2,0,0
10841.7,1500,0
10953.5,0,1500
10954.4,0,0
11964.3,1500,0
11965.3,3000,0
12076.1,1500,1500
12077,1500,0
12187.8,0,0
12521.1,1500,0
12632.9,0,1500
12635.8,0,0
13748.5,1500,0
13859.2,3000,0
13860.2,3000,0
13972,1500,0
14083.7,0,1500
14087.7,0,0
14421,1500,0
14532.8,0,1500
14535.7,0,0
15760.1,1500,0
15871.9,0,0
15986.6,1500,0
16098.4,0,1500
16100.3,0,0
16210.2,1500,0
16321.9,0,0
18334.6,1500,0
18335.6,3000,0
18446.3,1500,1500
18447.3,1500,0
18557.1,3000,0
18558.1,1500,0
18669.9,0,0
20006,1500,0
20117.7,1500,1500
20118.6,1500,0
20229.5,1500,1500
20230.4,1500,0
20230.5,3000,0
20341.2,1500,1500
20346.2,1500,0
20453,0,1500
20457.9,0,0
21570.6,1500,0
21682.3,0,1500
21683.3,0,0
21798.1,1500,0
21909.9,0,1500
21910.9,1500,1500
21911.8,1500,0
22021.6,3000,0
22022.6,3000,0
22134.4,1500,0
22246.1,0,0
23140.2,1500,0
23252,0,1500
23252.9,0,0
23699,1500,0
23810.8,1500,1500
23811.7,1500,0
23922.5,0,0
24812.6,1500,0
24924.3,0,0
25258.6,1500,0
25370.4,0,1500
25376.3,0,0
26377.2,1500,0
26489,0,0
26603.7,1500,0
26715.5,0,1500
26717.4,0,0
27722.3,1500,0
27723.3,3000,0
27834.1,1500,1500
27835,1500,0
27944.8,3000,0
27945.8,1500,0
28057.6,0,0
29170.2,1500,0
29281.9,1500,1500
29282.9,1500,0
29282.9,3000,0
29393.7,1500,1500
29394.6,1500,0
29505.4,0,1500
29509.4,1500,1500
29510.4,1500,0
29621.2,0,1500
29622.1,0,0
30959.3,1500,0
31071.1,0,0
31410.3,1500,0
31522.1,0,1500
31523,0,0
32859.2,1500,0
32860.2,3000,0
32971,1500,0
33082.7,0,1500
33086.7,0,0
33197.5,1500,0
33309.2,0,0
34535.6,1500,0
34647.3,0,1500
34652.3,0,0
34762.1,1500,0
34873.9,0,0
34985.6,1500,0
34986.6,3000,0
35097.4,1500,1500
35099.3,1500,0
35209.1,0,1500
35210.1,0,0
36886.5,1500,0
36887.5,3000,0
36998.3,3000,1500
36999.2,3000,0
37110,1500,0
37221.8,0,1500
37227.7,0,0
38674.7,1500,0
38781.4,3000,0
38786.4,1500,0
38898.2,0,0
40011.8,1500,0
40123.5,0,1500
40128.5,0,0
40238.3,1500,0
40350,0,0
41468.6,1500,0
41580.4,0,0
41691.1,1500,0
41692.1,3000,0
41802.9,1500,1500
41804.8,1500,0
41914.7,0,1500
41915.6,0,0
42807.7,1500,0
42919.5,0,0
43032.3,1500,0
43144,0,1500
43145.9,0,0
44372.4,1500,0
44484.1,0,1500
44485,0,0
44704.6,1500,0
44816.4,0,1500
44817.3,0,0
45935,1500,0
46046.7,0,1500
46049.7,0,0
47834.9,1500,0
47835.9,3000,0
47946.6,1500,1500
47951.6,1500,0
48058.4,0,1500
48062.3,0,0
49291.7,1500,0
49403.5,1500,1500
49404.4,1500,0
49515.3,0,0
