Time,from_ingress_queue_size,to_ingress_queue_size
7572.95,1,nan
7573.69,0,nan
8573.69,0,0
12146.6,1,0
12147.4,0,0
13147.4,0,0
16720.3,1,0
16721.1,0,0
17721.1,0,0
21294,1,0
21294.8,0,0
21677.5,1,0
21678.2,0,0
22294.8,0,0
22678.2,0,0
25867.7,1,0
25868.5,0,0
26255.2,1,0
26255.9,0,0
26868.5,0,0
27255.9,0,0
30441.4,1,0
30442.2,0,0
30832.9,1,0
30833.6,0,0
31442.2,0,0
31833.6,0,0
35015.1,1,0
35015.9,0,0
35398.6,1,0
35399.3,0,0
35780.1,1,0
35780.8,0,0
36015.9,0,0
36399.3,0,0
36780.8,0,0
39588.8,1,0
39589.6,0,0
39976.3,1,0
39977,0,0
40357.8,1,0
40358.5,0,0
40589.6,0,0
40977,0,0
41358.5,0,0
44162.5,1,0
44163.3,0,0
44554,1,0
44554.7,0,0
44935.4,1,0
44936.2,0,0
45163.3,0,0
45554.7,0,0
45936.2,0,0
48736.2,1,0
48736.9,0,0
49131.7,1,0
49132.4,0,0
49513.1,1,0
49513.9,0,0
49736.9,0,0
49894.6,1,0
49895.4,0,0
50132.4,0,0
50513.9,0,0
50895.4,0,0
53309.9,1,0
53310.6,0,0
53707.4,1,0
53708.1,0,0
54090.8,1,0
54091.6,0,0
54310.6,0,0
54472.3,1,0
54473.1,0,0
54708.1,0,0
55091.6,0,0
55473.1,0,0
57883.6,1,0
57884.3,0,0
58283.1,1,0
58283.8,0,0
58668.5,1,0
58669.3,0,0
58884.3,0,0
59050,1,0
59050.7,0,0
59283.8,0,0
59669.3,0,0
60050.7,0,0
62457.3,1,0
62458,0,0
62856.8,1,0
62857.5,0,0
63244.2,1,0
63245,0,0
63458,0,0
63625.7,1,0
63626.4,0,0
63857.5,0,0
64007.2,1,0
64007.9,0,0
64245,0,0
64626.4,0,0
65007.9,0,0
67031,1,0
67031.7,0,0
67430.5,1,0
67431.2,0,0
67817.9,1,0
67818.7,0,0
68031.7,0,0
68201.4,1,0
68202.1,0,0
68431.2,0,0
68584.9,1,0
68585.6,0,0
68818.7,0,0
69202.1,0,0
69585.6,0,0
71604.7,1,0
71605.4,0,0
72004.1,1,0
72004.9,0,0
72391.6,1,0
72392.4,0,0
72605.4,0,0
72777.1,1,0
72777.8,0,0
73004.9,0,0
73162.6,1,0
73163.3,0,0
73392.4,0,0
73777.8,0,0
74163.3,0,0
76178.4,1,0
76179.1,0,0
76577.8,1,0
76578.6,0,0
76965.3,1,0
76966.1,0,0
77179.1,0,0
77348.8,1,0
77349.5,0,0
77578.6,0,0
77730.2,1,0
77731,0,0
77966.1,0,0
78111.7,1,0
78112.5,0,0
78349.5,0,0
78731,0,0
79112.5,0,0
80753.1,1,0
80753.8,0,0
81151.5,1,0
81152.3,0,0
81539,1,0
81539.7,0,0
81753.8,0,0
81922.5,1,0
81923.2,0,0
82152.3,0,0
82303.9,1,0
82304.7,0,0
82539.7,0,0
82687.4,1,0
82688.2,0,0
82923.2,0,0
83304.7,0,0
83688.2,0,0
85327.8,1,0
85328.5,0,0
85727.2,1,0
85728,0,0
86112.7,1,0
86113.4,0,0
86328.5,0,0
86496.2,1,0
86496.9,0,0
86728,0,0
86877.6,1,0
86878.4,0,0
87113.4,0,0
87263.1,1,0
87263.9,0,0
87496.9,0,0
87878.4,0,0
88263.9,0,0
89933.4,1,0
89934.1,0,0
90312.9,1,0
90313.6,0,0
90694.3,1,0
90695.1,0,0
90934.1,0,0
91075.8,1,0
91076.6,0,0
91313.6,0,0
91457.3,1,0
91458,0,0
91695.1,0,0
91838.7,1,0
91839.5,0,0
92076.6,0,0
92458,0,0
92839.5,0,0
94509.1,1,0
94509.8,0,0
94888.6,1,0
94889.3,0,0
95270,1,0
95270.8,0,0
95509.8,0,0
95651.5,1,0
95652.2,0,0
95889.3,0,0
96033,1,0
96033.7,0,0
96270.8,0,0
96414.4,1,0
96415.2,0,0
96652.2,0,0
97033.7,0,0
97415.2,0,0
99084.8,1,0
99085.5,0,0
99464.3,1,0
99465,0,0
99845.7,1,0
99846.5,0,0
100086,0,0
100227,1,0
100228,0,0
100465,0,0
100609,1,0
100609,0,0
100846,0,0
100990,1,0
100991,0,0
101228,0,0
101609,0,0
101991,0,0
104040,1,0
104041,0,0
104421,1,0
104422,0,0
104803,1,0
104804,0,0
105041,0,0
105184,1,0
105185,0,0
105422,0,0
