Time,from_ingress_queue_size,to_ingress_queue_size
1526.88,1,nan
1527.62,0,0
3051.76,1,0
3052.5,0,0
3056.25,1,0
3056.99,0,0
3820.19,1,0
3820.93,0,1
3821.93,0,0
4587.87,1,0
4588.62,0,0
5351.56,1,0
5352.3,0,0
6108.01,1,0
6108.75,0,1
6109.75,0,0
6113.5,1,0
6114.24,0,0
6877.44,1,0
6878.18,0,0
7633.88,1,0
7634.63,0,1
7635.63,0,0
7639.37,1,0
7640.12,0,0
8403.31,1,0
8404.06,0,0
9166.25,1,0
9167,0,0
9167.25,1,0
9168,0,1
9169,0,0
9928.19,1,0
9928.94,0,0
10692.1,1,0
10692.9,0,0
10693.1,1,0
10693.9,0,1
10694.9,0,0
11454.1,1,0
11454.8,0,0
12218,1,0
12218.8,0,0
12219,1,0
12219.8,0,1
12220.8,0,0
12980,1,0
12980.7,0,0
13743.9,1,0
13744.6,0,0
13744.9,1,0
13745.6,0,1
13746.6,0,0
14505.8,1,0
14506.6,0,0
15269.8,1,0
15270.5,0,0
15270.8,1,0
15271.5,0,1
15272.5,0,0
16031.7,1,0
16032.5,0,0
16795.6,1,0
16796.4,0,0
16796.6,1,0
16797.4,0,1
16798.4,0,0
17557.6,1,0
17558.3,0,1
17559.3,0,0
18320.5,1,0
18321.3,0,1
18322.3,0,0
19089,1,0
19089.7,0,0
19846.4,1,0
19847.2,0,1
19848.2,0,0
20619.3,1,0
20620.1,0,0
21372.3,1,0
21373,0,1
21374,0,0
22149.7,1,0
22150.4,0,0
22898.2,1,0
22898.9,0,1
22899.9,0,0
23680.1,1,0
23680.8,0,1
23681.1,0,0
24445,1,0
24445.7,0,1
24446.7,0,0
25212.7,1,0
25213.4,0,1
25214.4,0,0
25955.4,1,0
25956.2,0,1
25957.2,0,0
25977.4,1,0
25978.1,0,1
25979.1,0,0
26745.1,1,0
26745.8,0,0
27509,1,0
27509.7,0,0
28271.9,1,0
28272.7,0,0
29012.7,1,0
29013.4,0,1
29014.4,0,0
29033.9,1,0
29034.6,0,0
29797.8,1,0
29798.6,0,0
30560.8,1,0
30561.5,0,0
31323.7,1,0
31324.4,0,0
32069.9,1,0
32070.7,0,1
32071.7,0,0
32085.6,1,0
32086.4,0,0
32849.6,1,0
32850.3,0,0
33612.5,1,0
33613.3,0,0
34375.5,1,0
34376.2,0,0
35127.2,1,0
35127.9,0,1
35128.9,0,0
35137.4,1,0
35138.1,0,0
35901.3,1,0
35902.1,0,0
36664.3,1,0
36665,0,0
37427.2,1,0
37428,0,0
38184.4,1,0
38185.1,0,1
38186.1,0,0
38189.1,1,0
38189.9,0,0
38953.1,1,0
38953.8,0,0
39716,1,0
39716.8,0,0
40479,1,0
40479.7,0,0
41241.9,1,0
41242.7,0,0
41242.9,1,0
41243.7,0,1
41244.7,0,0
42003.8,1,0
42004.6,0,0
42767.8,1,0
42768.5,0,0
43530.7,1,0
43531.5,0,0
44293.7,1,0
44294.4,0,0
44301.2,1,0
44301.9,0,1
44302.9,0,0
45055.6,1,0
45056.3,0,0
45819.5,1,0
45820.3,0,1
45821.3,0,0
47351.9,1,0
47352.7,0,0
47358.4,1,0
47359.1,0,1
47360.1,0,0
48882.3,1,0
48883,0,0
50413.7,1,0
50414.4,0,0
50415.7,1,0
50416.4,0,1
50417.4,0,0
51176.6,1,0
51177.3,0,1
51178.3,0,0
51941.5,1,0
51942.3,0,0
51944,1,0
51944.8,0,1
51945,0,0
52709,1,0
52709.7,0,1
52710.7,0,0
53472.9,1,0
53473.6,0,0
53475.6,1,0
53476.4,0,0
54239.6,1,0
54240.3,0,0
54998.8,1,0
54999.5,0,1
55000.5,0,0
55001.5,1,0
55002.3,0,1
55002.5,0,0
55766.5,1,0
55767.2,0,0
56529.4,1,0
56530.1,0,0
56530.4,1,0
56531.1,0,1
56532.1,0,0
57291.3,1,0
57292.1,0,0
58055.3,1,0
58056,0,0
58056.3,1,0
58057,0,1
58058,0,0
58817.2,1,0
58818,0,0
59581.2,1,0
59581.9,0,0
59582.2,1,0
59582.9,0,1
59583.9,0,0
60343.1,1,0
60343.8,0,0
61107,1,0
61107.8,0,0
61108,1,0
61108.8,0,1
61109.8,0,0
61869,1,0
61869.7,0,0
62632.9,1,0
62633.7,0,0
62633.9,1,0
62634.7,0,1
62635.7,0,0
63394.9,1,0
63395.6,0,0
64158.8,1,0
64159.5,0,0
64159.8,1,0
64160.5,0,1
64161.5,0,0
64920.7,1,0
64921.5,0,0
65684.7,1,0
65685.4,0,0
65685.7,1,0
65686.4,0,1
65687.4,0,0
66446.6,1,0
66447.4,0,0
67210.6,1,0
67211.3,0,0
67973.5,1,0
67974.2,0,0
68736.4,1,0
68737.2,0,0
68743.9,1,0
68744.7,0,1
68745.7,0,0
69498.4,1,0
69499.1,0,0
70262.3,1,0
70263.1,0,0
71025.3,1,0
71026,0,0
71788.2,1,0
71788.9,0,0
71801.2,1,0
71801.9,0,1
71802.9,0,0
72550.1,1,0
72550.9,0,1
72551.9,0,0
74082.5,1,0
74083.2,0,0
74858.4,1,0
74859.2,0,0
75612.9,1,0
75613.6,0,1
75614.6,0,0
77145.2,1,0
77146,0,0
77909.2,1,0
77909.9,0,1
77910.9,0,0
77914.7,1,0
77915.4,0,0
78675.9,1,0
78676.6,0,1
78677.6,0,0
79441.5,1,0
79442.3,0,1
79442.5,1,1
79443.3,0,1
79445.3,0,0
80208.2,1,0
80209,0,0
80972.2,1,0
80972.9,0,0
80973.2,1,0
80973.9,0,1
80974.9,0,0
81734.1,1,0
81734.9,0,0
82498,1,0
82498.8,0,0
82501.8,1,0
82502.5,0,1
82503.5,0,0
83260,1,0
83260.7,0,0
84023.9,1,0
84024.7,0,0
84031.4,1,0
84032.2,0,1
84033.2,0,0
84785.9,1,0
84786.6,0,0
85549.8,1,0
85550.6,0,0
85557.3,1,0
85558,0,1
85559,0,0
86311.7,1,0
86312.5,0,0
87075.7,1,0
87076.4,0,0
87083.2,1,0
87083.9,0,1
87084.9,0,0
87837.6,1,0
87838.4,0,0
88601.6,1,0
88602.3,0,0
88609.1,1,0
88609.8,0,1
88610.8,0,0
89363.5,1,0
89364.2,0,0
90127.4,1,0
90128.2,0,0
90134.9,1,0
90135.7,0,1
90136.7,0,0
90889.4,1,0
90890.1,0,0
91653.3,1,0
91654.1,0,0
91660.8,1,0
91661.6,0,1
91662.6,0,0
92415.3,1,0
92416,0,0
93179.2,1,0
93179.9,0,0
93186.7,1,0
93187.4,0,1
93188.4,0,0
93941.1,1,0
93941.9,0,0
94705.1,1,0
94705.8,0,0
95468,1,0
95468.8,0,0
96231,1,0
96231.7,0,0
96243.9,1,0
96244.7,0,1
96245.7,0,0
96992.9,1,0
96993.6,0,0
97756.8,1,0
97757.6,0,0
