Time,from_ingress_queue_size,to_ingress_queue_size
0,256,nan
1,768,nan
190.735,512,0
572.205,0,512
574.205,0,0
576.95,256,0
577.95,512,0
767.685,256,0
958.419,0,256
960.419,0,0
1344.38,512,0
1345.38,1024,0
1536.11,1280,0
1537.11,1536,0
1725.85,1024,512
1728.1,1024,0
1728.85,1280,0
1729.85,1536,0
2107.32,1024,512
2109.32,1024,0
2298.05,768,256
2300.05,768,0
2488.79,512,256
2490.79,512,0
2497.28,1024,0
2498.28,1536,0
2679.52,1280,256
2680.52,1280,0
2870.26,1024,256
2872.26,1024,0
2879.75,1536,0
2880.75,2048,0
3071.48,2304,0
3072.48,2560,0
3251.73,2048,0
3263.22,2304,0
3264.22,2560,0
3454.95,2816,0
3455.95,3072,0
3633.2,2560,0
3644.69,2816,0
3645.69,3072,0
4014.67,2560,0
4024.16,3072,0
4025.16,3584,0
4396.14,3072,512
4397.14,3072,0
4405.63,3584,0
4406.63,4096,0
4586.87,3840,256
4587.87,3840,0
4777.61,3584,256
4779.61,3584,0
4787.1,4096,0
4788.1,4608,0
4968.34,4352,256
4969.34,4352,0
5159.08,4096,256
5161.08,4096,0
5168.57,4608,0
5169.57,5120,0
5349.81,4864,256
5350.81,4864,0
5361.3,5120,0
5540.55,4864,0
5552.04,5120,0
5731.28,4864,0
5742.77,5120,0
5922.02,4864,0
5933.51,5120,0
6125.24,5376,0
6303.49,4864,0
6314.98,5120,0
6506.71,5376,0
6684.96,4864,0
6696.45,5120,0
7066.43,4608,0
7075.92,5120,0
7447.89,4608,512
7448.89,4608,0
7457.38,5120,0
7829.36,4608,512
7830.36,4608,0
7838.85,5120,0
8210.83,4608,512
8211.83,4608,0
8220.32,5120,0
8592.3,4608,512
8593.3,4608,0
8601.79,5120,0
8973.77,4608,512
8974.77,4608,0
8983.26,5120,0
9164.51,4864,256
9165.51,4864,0
9355.24,4608,256
9357.24,4608,0
9364.73,5120,0
9545.98,4864,256
9546.98,4864,0
9736.71,4608,256
9738.71,4608,0
9746.2,5120,0
9927.45,4864,256
9928.45,4864,0
9938.94,5120,0
9939.94,5376,0
10118.2,5120,0
10129.7,5376,0
10308.9,5120,0
10320.4,5376,0
10499.7,5120,0
10511.1,5376,0
10702.9,5632,0
10881.1,5120,0
11262.6,4608,0
11644.1,4096,0
11653.6,4608,0
11654.6,5120,0
12025.5,4608,512
12026.5,4608,0
12035,5120,0
12407,4608,512
12408,4608,0
12788.5,4096,512
12789.5,4096,0
13169.9,3584,512
13170.9,3584,0
13551.4,3072,512
13552.4,3072,0
13742.1,2816,256
13743.1,2816,0
13932.9,2560,256
13934.9,2560,0
14123.6,2304,256
14124.6,2304,0
14314.3,2048,256
14316.3,2048,0
14505.1,1792,256
14506.1,1792,0
14695.8,1536,0
15077.3,1024,0
15458.8,512,0
15470.2,768,0
15840.2,256,0
16031,0,256
16032,0,0
16614.7,512,0
16804.4,768,0
16805.4,1024,0
16996.1,512,0
17186.9,256,256
17188.9,256,0
17377.6,0,256
17379.6,0,0
17765.3,512,0
17766.3,1024,0
17957,1280,0
17958,1536,0
18146.8,1024,512
18149,1024,0
18149.8,1280,0
18150.8,1536,0
18528.2,1024,512
18530.2,1024,0
18719,768,256
18721,768,0
18909.7,512,256
18911.7,512,0
18918.2,1024,0
18919.2,1536,0
19100.4,1280,256
19101.4,1280,0
19291.2,1024,256
19293.2,1024,0
19300.7,1536,0
19301.7,2048,0
19492.4,2304,0
19493.4,2560,0
19672.7,2048,0
19684.1,2304,0
19875.9,2560,0
20054.1,2048,0
20065.6,2304,0
20435.6,1792,0
20445.1,2304,0
20446.1,2816,0
20817.1,2304,512
20818.1,2304,0
20826.6,2816,0
21007.8,2560,256
21008.8,2560,0
21198.5,2304,256
21200.5,2304,0
21208,2816,0
21389.3,2560,256
21390.3,2560,0
21580,2304,256
21582,2304,0
21589.5,2816,0
21770.7,2560,256
21771.7,2560,0
21782.2,2816,0
21974,3072,0
22152.2,2560,0
22163.7,2816,0
22164.7,3072,0
22355.4,3328,0
22533.7,2816,0
22545.2,3072,0
22915.1,2560,0
22924.6,3072,0
23296.6,2560,512
23297.6,2560,0
23306.1,3072,0
23678.1,2560,512
23679.1,2560,0
23687.6,3072,0
23688.6,3584,0
23868.8,3328,256
23869.8,3328,0
24059.6,3072,256
24061.6,3072,0
24069,3584,0
24250.3,3328,256
24251.3,3328,0
24441,3072,256
24443,3072,0
24450.5,3584,0
24631.8,3328,256
24632.8,3328,0
24643.2,3584,0
24822.5,3328,0
24834,3584,0
25025.7,3840,0
25204,3328,0
25215.5,3584,0
25216.5,3840,0
25407.2,4096,0
25585.4,3584,0
25596.9,3840,0
25966.9,3328,0
25976.4,3840,0
26348.4,3328,512
26349.4,3328,0
26357.9,3840,0
26729.8,3328,512
26730.8,3328,0
26739.3,3840,0
27111.3,3328,512
27112.3,3328,0
27120.8,3840,0
27121.8,4352,0
27302,4096,256
27303,4096,0
27492.8,3840,256
27494.8,3840,0
27502.3,4352,0
27683.5,4096,256
27684.5,4096,0
27874.3,3840,256
27876.3,3840,0
27883.7,4352,0
28065,4096,256
28066,4096,0
28076.5,4352,0
28255.7,4096,0
28267.2,4352,0
28446.5,4096,0
28457.9,4352,0
28649.7,4608,0
28827.9,4096,0
28839.4,4352,0
29031.1,4608,0
29032.1,4864,0
29209.4,4352,0
29220.9,4608,0
29590.9,4096,0
29600.4,4608,0
29972.3,4096,512
29973.3,4096,0
29981.8,4608,0
30353.8,4096,512
30354.8,4096,0
30363.3,4608,0
30735.3,4096,512
30736.3,4096,0
30744.8,4608,0
31116.7,4096,512
31117.7,4096,0
31126.2,4608,0
31307.5,4352,256
31308.5,4352,0
31498.2,4096,256
31500.2,4096,0
31507.7,4608,0
31508.7,5120,0
31688.9,4864,256
31689.9,4864,0
31879.7,4608,256
31881.7,4608,0
31889.2,5120,0
32070.4,4864,256
32071.4,4864,0
32081.9,5120,0
32261.2,4864,0
32272.6,5120,0
32451.9,4864,0
32463.4,5120,0
32642.6,4864,0
32654.1,5120,0
32845.8,5376,0
33024.1,4864,0
33035.6,5120,0
33227.3,5376,0
33228.3,5632,0
33405.6,5120,0
33417.1,5376,0
33787,4864,0
33796.5,5376,0
34168.5,4864,512
34169.5,4864,0
34178,5376,0
34550,4864,512
34551,4864,0
34559.5,5376,0
34931.4,4864,512
34932.4,4864,0
34940.9,5376,0
35312.9,4864,512
35313.9,4864,0
35694.4,4352,512
35695.4,4352,0
35885.1,4096,256
35886.1,4096,0
36075.8,3840,256
36077.8,3840,0
36266.6,3584,256
36267.6,3584,0
36457.3,3328,256
36459.3,3328,0
36648.1,3072,256
36649.1,3072,0
36838.8,2816,0
37029.5,2560,0
37220.3,2304,0
37411,2048,0
37792.5,1536,0
38173.9,1024,0
38185.4,1280,0
38555.4,768,0
38936.9,256,512
38937.9,256,0
39127.6,0,256
39128.6,0,0
39711.3,512,0
39901,768,0
39902,1024,0
40092.8,512,0
40283.5,256,256
40285.5,256,0
40474.2,0,256
40476.2,0,0
40861.9,512,0
40862.9,1024,0
41053.7,1280,0
41054.7,1536,0
41243.4,1024,512
41245.7,1024,0
41246.4,1280,0
41247.4,1536,0
41624.9,1024,512
41626.9,1024,0
41815.6,768,256
41817.6,768,0
42006.4,512,256
42008.4,512,0
42014.8,1024,0
42015.8,1536,0
42197.1,1280,256
42198.1,1280,0
42387.8,1024,256
42389.8,1024,0
42397.3,1536,0
