Time,from_ingress_queue_size,to_ingress_queue_size
1525.88,2048,nan
3051.76,0,2048
3052.76,0,0
4582.38,2048,0
6108.26,2048,0
7634.14,0,2048
7636.14,0,0
7639.88,2048,0
9165.76,2048,2048
9167.76,2048,0
10691.6,2048,2048
10693.6,2048,0
12217.5,2048,0
13743.4,2048,2048
13745.4,2048,0
15269.3,2048,0
16795.2,2048,2048
16797.2,2048,0
18321,2048,2048
18323,2048,0
19846.9,2048,2048
19848.9,2048,0
21372.8,2048,2048
21374.8,2048,0
22898.7,2048,2048
22900.7,2048,0
24424.6,2048,2048
24426.6,2048,0
25950.4,2048,2048
25952.4,2048,0
27476.3,2048,2048
27478.3,2048,0
29002.2,2048,2048
29004.2,2048,0
30528.1,2048,2048
30530.1,2048,0
32053.9,2048,2048
32055.9,2048,0
33579.8,2048,2048
33581.8,2048,0
35105.7,2048,2048
35107.7,2048,0
36631.6,2048,2048
36633.6,2048,0
38157.5,2048,2048
38159.5,2048,0
39683.3,2048,2048
39685.3,2048,0
41209.2,2048,2048
41211.2,2048,0
42735.1,2048,2048
42737.1,2048,0
44261,2048,2048
44263,2048,0
45786.9,2048,2048
45788.9,2048,0
47312.7,2048,2048
47314.7,2048,0
48838.6,2048,2048
48840.6,2048,0
50364.5,2048,2048
50366.5,2048,0
51890.4,2048,2048
51892.4,2048,0
53416.3,2048,2048
53418.3,2048,0
54942.1,2048,2048
54944.1,2048,0
56468,2048,2048
56470,2048,0
57993.9,2048,2048
57995.9,2048,0
59519.8,2048,2048
59521.8,2048,0
61045.6,2048,2048
61047.6,2048,0
62571.5,2048,2048
62573.5,2048,0
64097.4,2048,2048
64099.4,2048,0
65623.3,2048,2048
65625.3,2048,0
67149.2,2048,2048
67151.2,2048,0
68675,2048,2048
68677,2048,0
70200.9,2048,2048
70202.9,2048,0
71726.8,2048,2048
71728.8,2048,0
73252.7,2048,2048
73254.7,2048,0
74778.6,2048,2048
74780.6,2048,0
76304.4,2048,2048
76306.4,2048,0
77830.3,2048,2048
77832.3,2048,0
79356.2,2048,2048
79358.2,2048,0
80882.1,2048,2048
80884.1,2048,0
82408,2048,2048
82410,2048,0
83933.8,2048,2048
83935.8,2048,0
85459.7,2048,2048
85461.7,2048,0
86985.6,2048,2048
86987.6,2048,0
88511.5,2048,2048
88513.5,2048,0
90037.3,2048,2048
90039.3,2048,0
91563.2,2048,2048
91565.2,2048,0
93089.1,2048,2048
93091.1,2048,0
94615,2048,2048
94617,2048,0
96140.9,2048,2048
96142.9,2048,0
97666.7,2048,2048
97668.7,2048,0
99192.6,2048,2048
99194.6,2048,0
100718,2048,2048
100720,2048,0
102244,2048,2048
102246,2048,0
103770,2048,2048
103772,2048,0
105296,2048,2048
105298,2048,0
106822,2048,2048
106824,2048,0
108348,2048,2048
108350,2048,0
109874,2048,2048
109876,2048,0
111400,2048,2048
111402,2048,0
112926,2048,2048
112928,2048,0
114451,2048,2048
114453,2048,0
115977,2048,2048
115979,2048,0
117503,2048,2048
117505,2048,0
119029,2048,2048
119031,2048,0
120555,2048,2048
120557,2048,0
122081,2048,2048
122083,2048,0
123607,2048,2048
123609,2048,0
125133,2048,2048
125135,2048,0
126658,2048,2048
126660,2048,0
128184,2048,2048
128186,2048,0
129710,2048,2048
129712,2048,0
131236,2048,2048
131238,2048,0
132762,2048,2048
132764,2048,0
134288,2048,2048
134290,2048,0
135814,2048,2048
135816,2048,0
137340,2048,2048
137342,2048,0
138865,2048,2048
138867,2048,0
140391,2048,2048
140393,2048,0
141917,2048,2048
141919,2048,0
143443,2048,2048
143445,2048,0
144969,2048,2048
144971,2048,0
146495,2048,2048
146497,2048,0
148021,2048,2048
148023,2048,0
149547,2048,2048
149549,2048,0
151073,2048,2048
151075,2048,0
