Time,from_ingress_queue_size,to_ingress_queue_size
3816.7,1,nan
3824.15,0,nan
3825.15,0,1
3826.15,0,0
7652.3,1,0
7659.75,0,0
7660.75,0,1
7661.75,0,0
9560.64,1,0
9568.09,0,0
9569.09,0,0
11487.9,1,0
11495.3,0,0
11496.3,0,1
11497.3,0,0
13396.2,1,0
13403.7,0,0
13404.7,0,1
13405.7,0,0
15303.6,1,0
15311,0,0
15312,0,1
15313,0,0
17210.9,1,0
17218.4,0,0
17219.4,0,1
17220.4,0,0
19118.3,1,0
19125.7,0,0
19126.7,0,1
19127.7,0,0
21025.6,1,0
21033.1,0,0
21034.1,0,1
21035.1,0,0
22933,1,0
22940.4,0,0
22941.4,0,1
22942.4,0,0
24840.3,1,0
24847.8,0,0
24848.8,0,1
24849.8,0,0
26747.7,1,0
26755.1,0,0
26756.1,0,1
26757.1,0,0
28655,1,0
28662.5,0,0
28663.5,0,1
28664.5,0,0
30562.4,1,0
30569.8,0,0
30570.8,0,1
30571.8,0,0
32469.7,1,0
32477.2,0,0
32478.2,0,1
32479.2,0,0
34377.1,1,0
34384.5,0,0
34385.5,0,1
34386.5,0,0
36284.4,1,0
36291.9,0,0
36292.9,0,1
36293.9,0,0
38191.8,1,0
38199.2,0,0
38200.2,0,1
38201.2,0,0
40099.1,1,0
40106.6,0,0
40107.6,0,1
40108.6,0,0
42006.5,1,0
42013.9,0,0
42014.9,0,1
42015.9,0,0
43913.8,1,0
43921.3,0,0
43922.3,0,1
43923.3,0,0
45821.2,1,0
45828.6,0,0
45829.6,0,1
45830.6,0,0
47728.5,1,0
47736,0,0
47737,0,1
47738,0,0
49635.9,1,0
49643.3,0,0
49644.3,0,1
49645.3,0,0
51543.2,1,0
51550.7,0,0
51551.7,0,1
51552.7,0,0
53450.6,1,0
53458,0,0
53459,0,1
53460,0,0
55357.9,1,0
55365.4,0,0
55366.4,0,1
55367.4,0,0
57265.3,1,0
57272.7,0,0
57273.7,0,1
57274.7,0,0
59172.6,1,0
59180.1,0,0
59181.1,0,1
59182.1,0,0
61080,1,0
61087.4,0,0
61088.4,0,1
61089.4,0,0
62987.3,1,0
62994.8,0,0
62995.8,0,1
62996.8,0,0
64894.7,1,0
64902.1,0,0
64903.1,0,1
64904.1,0,0
66802,1,0
66809.5,0,0
66810.5,0,1
66811.5,0,0
68709.4,1,0
68716.8,0,0
68717.8,0,1
68718.8,0,0
70616.7,1,0
70624.2,0,0
70625.2,0,1
70626.2,0,0
72524.1,1,0
72531.5,0,0
72532.5,0,1
72533.5,0,0
74431.4,1,0
74438.8,0,0
74439.8,0,1
74440.8,0,0
76338.7,1,0
76346.2,0,0
76347.2,0,1
76348.2,0,0
78246.1,1,0
78253.5,0,0
78254.5,0,1
78255.5,0,0
80153.4,1,0
80160.9,0,0
80161.9,0,1
80162.9,0,0
82060.8,1,0
82068.2,0,0
82069.2,0,1
82070.2,0,0
83968.1,1,0
83975.6,0,0
83976.6,0,1
83977.6,0,0
85875.5,1,0
85882.9,0,0
85883.9,0,1
85884.9,0,0
87782.8,1,0
87790.3,0,0
87791.3,0,1
87792.3,0,0
89690.2,1,0
89697.6,0,0
89698.6,0,1
89699.6,0,0
91597.5,1,0
91605,0,0
91606,0,1
91607,0,0
93504.9,1,0
93512.3,0,0
93513.3,0,1
93514.3,0,0
95412.2,1,0
95419.7,0,0
95420.7,0,1
95421.7,0,0
97319.6,1,0
97327,0,0
97328,0,1
97329,0,0
99226.9,1,0
99234.4,0,0
99235.4,0,1
99236.4,0,0
101134,1,0
101142,0,0
101143,0,1
101144,0,0
103042,1,0
103049,0,0
103050,0,1
103051,0,0
104949,1,0
104956,0,0
104957,0,1
104958,0,0
106856,1,0
106864,0,0
106865,0,1
106866,0,0
108764,1,0
108771,0,0
108772,0,1
108773,0,0
110671,1,0
110678,0,0
110679,0,1
110680,0,0
112578,1,0
112586,0,0
112587,0,1
112588,0,0
114486,1,0
114493,0,0
114494,0,1
114495,0,0
116393,1,0
116401,0,0
116402,0,1
116403,0,0
118300,1,0
118308,0,0
118309,0,1
118310,0,0
120208,1,0
120215,0,0
120216,0,1
120217,0,0
122115,1,0
122123,0,0
122124,0,1
122125,0,0
124022,1,0
124030,0,0
124031,0,1
124032,0,0
125930,1,0
125937,0,0
125938,0,1
125939,0,0
127837,1,0
127845,0,0
127846,0,1
127847,0,0
129745,1,0
129752,0,0
129753,0,1
129754,0,0
131652,1,0
131659,0,0
131660,0,1
131661,0,0
133559,1,0
133567,0,0
133568,0,1
133569,0,0
135467,1,0
135474,0,0
135475,0,1
135476,0,0
137374,1,0
137381,0,0
137382,0,1
137383,0,0
139281,1,0
139289,0,0
139290,0,1
139291,0,0
141189,1,0
141196,0,0
141197,0,1
141198,0,0
143096,1,0
143103,0,0
143104,0,1
143105,0,0
145003,1,0
145011,0,0
145012,0,1
145013,0,0
146911,1,0
146918,0,0
146919,0,1
146920,0,0
148818,1,0
148825,0,0
148826,0,1
148827,0,0
150725,1,0
150733,0,0
150734,0,1
150735,0,0
152633,1,0
152640,0,0
152641,0,1
152642,0,0
154540,1,0
154547,0,0
154548,0,1
154549,0,0
156447,1,0
156455,0,0
156456,0,1
156457,0,0
158355,1,0
158362,0,0
