Time,from_ingress_queue_size,to_ingress_queue_size
0,4096,nan
1,6144,nan
2000,10240,nan
2001,12288,nan
3051.76,8192,0
4577.64,6144,2048
4579.64,6144,0
6000,8192,0
6001,12288,0
7629.39,8192,4096
7631.39,8192,0
9155.27,6144,2048
9157.27,6144,0
9160.02,10240,0
9161.02,14336,0
10681.2,12288,0
10689.4,14336,0
10690.4,16384,0
13732.9,12288,4096
13734.9,12288,0
16784.7,8192,0
19836.4,4096,4096
19838.4,4096,0
21362.3,2048,0
22888.2,0,2048
22890.2,0,0
22899.4,4096,0
25951.2,0,4096
25951.4,0,0
25952.2,4096,0
27477.1,6144,0
29003.9,4096,4096
29005.9,4096,0
30529.8,2048,2048
30531.8,2048,0
32055.7,0,2048
32057.7,0,0
32063.2,4096,0
32064.2,8192,0
35114.9,4096,0
35118.7,8192,0
36644.6,10240,0
36645.6,12288,0
38166.7,8192,0
38171.4,10240,0
41218.5,6144,4096
41220.5,6144,0
41226.7,10240,0
42744.3,8192,0
44270.2,6144,2048
44272.2,6144,0
44279.4,10240,0
44280.4,14336,0
45796.1,12288,0
47333.2,16384,0
48847.9,12288,0
48859.1,14336,0
50386,16384,0
50387,16384,0
51899.6,12288,4096
51901.6,12288,0
51911.8,14336,0
54951.4,10240,4096
54953.4,10240,0
54961.6,14336,0
58003.1,10240,0
58014.4,14336,0
59529,12288,0
61054.9,10240,2048
61056.9,10240,0
61066.1,14336,0
62580.8,12288,0
64117.9,16384,0
64118.9,16384,0
65632.5,12288,0
65643.8,14336,0
67170.6,16384,0
68684.3,12288,4096
68686.3,12288,0
68696.5,14336,0
71736,10240,4096
71738,10240,0
71746.3,14336,0
74787.8,10240,0
74799,14336,0
76313.7,12288,0
77839.5,10240,2048
77841.5,10240,0
77850.8,14336,0
79365.4,12288,0
80902.5,16384,0
82417.2,12288,0
82428.4,14336,0
82429.4,16384,0
83955.3,16384,0
85468.9,12288,4096
85470.9,12288,0
85481.2,14336,0
87177.3,16384,0
88520.7,12288,4096
88522.7,12288,0
88530.9,16384,0
88531.9,16384,0
91572.5,12288,0
91583.7,16384,0
93098.3,14336,0
