Flow id, Packet size (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1040000, 1000000, 0, 40000, 4, 20.352, 19.5692, 380730

conn2_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 21.3247, 20.7036, 359868

conn3_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 21.1934, 20.5761, 362098

conn4_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 20.2357, 19.6464, 379235

conn5_flow1, 10000, 1030000, 1000000, 0, 30000, 3, 19.9224, 19.3421, 385200
