Time,from_ingress_queue_size,to_ingress_queue_size
2980.31,1,nan
2980.38,0,0
6705.6,1,0
6705.67,0,0
10434.9,1,0
10435,0,0
11923,1,0
11923.1,0,0
20121.6,1,0
20121.7,0,0
21611.8,1,0
21611.8,0,0
23101.9,1,0
23101.9,0,0
25335,1,0
25335.1,0,0
34276.7,1,0
34276.8,0,0
36510.9,1,0
36511,0,0
37256,1,0
37256.1,0,0
45452.6,1,0
45452.7,0,0
48431.8,1,0
48431.9,0,0
49178.9,1,0
49179,0,0
49921,1,0
49921,0,0
60354.8,1,0
60354.9,0,0
62587,1,0
62587,0,0
63333,1,0
63333.1,0,0
64078.1,1,0
64078.1,0,0
73765.8,1,0
73765.9,0,0
75252.9,1,0
75253,0,0
77489.1,1,0
77489.2,0,0
85681.8,1,0
85681.8,0,0
87176.9,1,0
87176.9,0,0
88664,1,0
88664.1,0,0
96861.6,1,0
96861.7,0,0
97602.7,1,0
97602.8,0,0
99094.8,1,0
99094.9,0,0
100585,1,0
100585,0,0
108783,1,0
108783,0,0
109528,1,0
109528,0,0
111016,1,0
111016,0,0
111762,1,0
111762,0,0
113251,1,0
113251,0,0
122939,1,0
122939,0,0
123684,1,0
123684,0,0
125918,1,0
125918,0,0
126663,1,0
126663,0,0
128152,1,0
128152,0,0
128898,1,0
128898,0,0
138586,1,0
138586,0,0
139331,1,0
139331,0,0
142309,1,0
142309,0,0
143054,1,0
143054,0,0
144543,1,0
144543,0,0
145291,1,0
145291,0,0
146033,1,0
146034,0,0
155720,1,0
155720,0,0
156465,1,0
156465,0,0
157210,1,0
157210,0,0
157954,1,0
157954,0,0
166151,1,0
166151,0,0
167643,1,0
167643,0,0
168386,1,0
168386,0,0
169133,1,0
169133,0,0
169875,1,0
169875,0,0
178817,1,0
178817,0,0
179562,1,0
179562,0,0
180306,1,0
180306,0,0
188503,1,0
188503,0,0
189248,1,0
189248,0,0
189992,1,0
189992,0,0
190737,1,0
190737,0,0
201171,1,0
201171,0,0
201914,1,0
201914,0,0
202658,1,0
202658,0,0
203406,1,0
203406,0,0
204151,1,0
204151,0,0
213836,1,0
213836,0,0
214580,1,0
214580,0,0
215324,1,0
215324,0,0
226501,1,0
226501,0,0
227246,1,0
227246,0,0
227990,1,0
227990,0,0
240658,1,0
240658,0,0
241402,1,0
241402,0,0
242146,1,0
242146,0,0
242894,1,0
242894,0,0
257048,1,0
257048,0,0
257793,1,0
257793,0,0
258538,1,0
258538,0,0
271206,1,0
271206,0,0
272693,1,0
272693,0,0
283872,1,0
283872,0,0
285359,1,0
285359,0,0
295043,1,0
295043,0,0
297281,1,0
297281,0,0
298026,1,0
298026,0,0
306967,1,0
306967,0,0
309947,1,0
309947,0,0
319633,1,0
319633,0,0
331554,1,0
331554,0,0
333041,1,0
333041,0,0
346455,1,0
346455,0,0
353158,1,0
353158,0,0
353906,1,0
353906,0,0
361356,1,0
361356,0,0
362101,1,0
362101,0,0
371042,1,0
371042,0,0
371789,1,0
371789,0,0
372531,1,0
372531,0,0
381475,1,0
381475,0,0
382220,1,0
382220,0,0
