Time,from_ingress_queue_size,to_ingress_queue_size
0,2048,nan
1525.88,0,0
3053.25,2048,0
3054.25,4096,0
4579.13,2048,0
6105.01,0,2048
6106.01,0,0
6112.75,2048,0
6113.75,4096,0
7638.37,6144,0
7638.63,4096,0
7639.37,6144,0
9164.51,4096,2048
9165.51,4096,0
9170,6144,0
9171,8192,0
10690.4,6144,0
10696.9,8192,0
10697.9,10240,0
12216.3,8192,2048
12217,8192,0
12221.8,10240,0
12222.8,12288,0
13742.1,10240,0
13748.6,12288,0
13749.6,14336,0
15268,12288,2048
15268.8,12288,0
15273.5,14336,0
16793.9,12288,0
16800.4,14336,0
18319.8,12288,0
18326.3,14336,0
19845.7,12288,0
19851.2,14336,0
21371.5,12288,0
21378,14336,0
22897.4,12288,0
22902.9,14336,0
24423.3,12288,0
24429.8,14336,0
25949.2,12288,0
25954.7,14336,0
27475.1,12288,0
27481.5,14336,0
27482.5,16384,0
29000.9,14336,0
29006.4,16384,0
30526.8,14336,0
30533.3,16384,0
32052.7,14336,0
32058.2,16384,0
33578.6,14336,0
33585.1,16384,0
35104.5,14336,0
35109.9,16384,0
36630.3,14336,0
36636.8,16384,0
38156.2,14336,0
38161.7,16384,0
39682.1,14336,0
39688.6,16384,0
41208,14336,0
41213.5,16384,0
41214.5,16384,0
42733.8,14336,0
42740.3,16384,0
44259.7,14336,0
44265.2,16384,0
45785.6,14336,0
45792.1,16384,0
47311.5,14336,0
47317,16384,0
48837.4,14336,0
48843.9,16384,0
50363.2,14336,0
50368.7,16384,0
51889.1,14336,0
51895.6,16384,0
53415,14336,0
53420.5,16384,0
54940.9,14336,0
54947.4,16384,0
56466.8,14336,0
56472.2,16384,0
57992.6,14336,0
57999.1,16384,0
58000.1,16384,0
59518.5,14336,0
59524,16384,0
61044.4,14336,0
61050.9,16384,0
62570.3,14336,0
62575.8,16384,0
64096.1,14336,0
64102.6,16384,0
65622,14336,0
65627.5,16384,0
67147.9,14336,0
67154.4,16384,0
68673.8,14336,0
68679.3,16384,0
70199.7,14336,0
70206.2,16384,0
71725.5,14336,0
71731,16384,0
72381,16384,0
73251.4,14336,0
74777.3,12288,0
76303.2,10240,0
77829.1,8192,0
79354.9,6144,0
80880.8,4096,0
80886.3,6144,0
82406.7,4096,0
82413.2,6144,0
83932.6,4096,0
83938.1,6144,0
85458.5,4096,0
85464.9,6144,0
86984.3,4096,0
86989.8,6144,0
87990.9,8192,0
88510.2,6144,0
90036.1,4096,0
91562,2048,0
91568.5,4096,0
93087.8,2048,0
93093.3,4096,0
94613.7,2048,0
94620.2,4096,0
96139.6,2048,0
96145.1,4096,0
97665.5,2048,0
97672,4096,0
99191.4,2048,0
99196.9,4096,0
99197.9,6144,0
100717,4096,0
100724,6144,0
100854,8192,0
102243,6144,0
103769,4096,0
105295,2048,0
105300,4096,0
106821,2048,0
106827,4096,0
108347,2048,0
108352,4096,0
109873,2048,0
109879,4096,0
109880,6144,0
111398,4096,0
111404,6144,0
112924,4096,0
112931,6144,0
114450,4096,0
114456,6144,0
115976,4096,0
115983,6144,0
115984,8192,0
117502,6144,0
117507,8192,0
119028,6144,0
119034,8192,0
120554,6144,0
120559,8192,0
122080,6144,0
122086,8192,0
123605,6144,0
123611,8192,0
125131,6144,0
125138,8192,0
125139,10240,0
126657,8192,0
126663,10240,0
128183,8192,0
128190,10240,0
129709,8192,0
129714,10240,0
131235,8192,0
131241,10240,0
132761,8192,0
132766,10240,0
134287,8192,0
134293,10240,0
134294,12288,0
135812,10240,0
135818,12288,0
137338,10240,0
137345,12288,0
138864,10240,0
138870,12288,0
140390,10240,0
140397,12288,0
141916,10240,0
141921,12288,0
143442,10240,0
143448,12288,0
144968,10240,0
144973,12288,0
144974,14336,0
146494,12288,0
146500,14336,0
148019,12288,0
148025,14336,0
149545,12288,0
149552,14336,0
151071,12288,0
151077,14336,0
152597,12288,0
152604,14336,0
154123,12288,0
154128,14336,0
155649,12288,0
155655,14336,0
157175,12288,0
157180,14336,0
158701,12288,0
158707,14336,0
158708,16384,0
160227,14336,0
160232,16384,0
161752,14336,0
161759,16384,0
163278,14336,0
163284,16384,0
164804,14336,0
164811,16384,0
166330,14336,0
166336,16384,0
167856,14336,0
167862,16384,0
169382,14336,0
169387,16384,0
170908,14336,0
170914,16384,0
172434,14336,0
172439,16384,0
172440,16384,0
173959,14336,0
173966,16384,0
175485,14336,0
175491,16384,0
177011,14336,0
177018,16384,0
178537,14336,0
178543,16384,0
180063,14336,0
180069,16384,0
181589,14336,0
181594,16384,0
183115,14336,0
183121,16384,0
184641,14336,0
184646,16384,0
186166,14336,0
186173,16384,0
187692,14336,0
187698,16384,0
189218,14336,0
189225,16384,0
189226,16384,0
190744,14336,0
190750,16384,0
192270,14336,0
192276,16384,0
193796,14336,0
193801,16384,0
195322,14336,0
195328,16384,0
196848,14336,0
196853,16384,0
198373,14336,0
198380,16384,0
199899,14336,0
199905,16384,0
201127,16384,0
201425,14336,0
202951,12288,0
204477,10240,0
206003,8192,0
207529,6144,0
209055,4096,0
209060,6144,0
210581,4096,0
210587,6144,0
212106,4096,0
212112,6144,0
213632,4096,0
213639,6144,0
215158,4096,0
215164,6144,0
216684,4096,0
216691,6144,0
218210,4096,0
218215,6144,0
218216,8192,0
218540,10240,0
219736,8192,0
221262,6144,0
222788,4096,0
224313,2048,0
224319,4096,0
225839,2048,0
225846,4096,0
227365,2048,0
227371,4096,0
228891,2048,0
228898,4096,0
229522,6144,0
230417,4096,0
231943,2048,0
231949,4096,0
233469,2048,0
233474,4096,0
