Time,from_ingress_queue_size,to_ingress_queue_size
3052.76,4096,nan
6104.52,0,0
9162.51,4096,0
12214.3,4096,0
15266,0,0
15271.5,4096,0
18323.3,4096,4096
18323.8,4096,0
21375,4096,4096
21375.5,4096,0
24426.8,4096,4096
24427.3,4096,0
27478.5,4096,4096
27479.1,4096,0
30530.3,4096,4096
30530.8,4096,0
33582.1,4096,4096
33582.6,4096,0
36633.8,4096,4096
36634.3,4096,0
39685.6,4096,4096
39686.1,4096,0
42737.3,4096,4096
42737.8,4096,0
45789.1,4096,4096
45789.6,4096,0
48840.9,4096,4096
48841.4,4096,0
51892.6,4096,4096
51893.1,4096,0
54944.4,4096,4096
54944.9,4096,0
57996.1,4096,4096
57996.6,4096,0
61047.9,4096,4096
61048.4,4096,0
64099.6,4096,4096
64100.1,4096,0
67151.4,4096,4096
67151.9,4096,0
70203.2,4096,4096
70203.7,4096,0
73254.9,4096,4096
73255.4,4096,0
76306.7,4096,4096
76307.2,4096,0
79358.4,4096,4096
79358.9,4096,0
82410.2,4096,4096
82410.7,4096,0
85461.9,4096,4096
85462.5,4096,0
88513.7,4096,4096
88514.2,4096,0
91565.5,4096,4096
91566,4096,0
94617.2,4096,4096
94617.7,4096,0
97669,4096,4096
97669.5,4096,0
100721,4096,4096
100721,4096,0
103772,4096,4096
103773,4096,0
106824,4096,4096
106825,4096,0
109876,4096,4096
109877,4096,0
112928,4096,4096
112928,4096,0
115980,4096,4096
115980,4096,0
119031,4096,4096
119032,4096,0
122083,4096,4096
122084,4096,0
125135,4096,4096
125135,4096,0
128187,4096,4096
128187,4096,0
131238,4096,4096
131239,4096,0
134290,4096,4096
134291,4096,0
137342,4096,4096
137342,4096,0
140394,4096,4096
140394,4096,0
143445,4096,4096
143446,4096,0
146497,4096,4096
146498,4096,0
149549,4096,4096
149549,4096,0
152601,4096,4096
152601,4096,0
155652,4096,4096
155653,4096,0
158704,4096,4096
158705,4096,0
161756,4096,4096
161756,4096,0
164808,4096,4096
164808,4096,0
167859,4096,4096
167860,4096,0
170911,4096,4096
170912,4096,0
173963,4096,4096
173963,4096,0
177015,4096,4096
177015,4096,0
180066,4096,4096
180067,4096,0
183118,4096,4096
183119,4096,0
186170,4096,4096
186170,4096,0
189222,4096,4096
189222,4096,0
192273,4096,4096
192274,4096,0
195325,4096,4096
195326,4096,0
198377,4096,4096
198377,4096,0
201429,4096,4096
201429,4096,0
204480,4096,4096
204481,4096,0
207532,4096,4096
207533,4096,0
210584,0,4096
210585,0,0
210591,4096,0
213643,4096,0
216695,0,0
216700,4096,0
219752,4096,0
222804,0,0
222809,4096,0
225861,4096,0
228913,0,0
228918,4096,0
231970,4096,0
235022,4096,0
238073,0,0
238079,4096,0
241131,4096,0
244182,0,0
244188,4096,0
247240,4096,0
250291,4096,0
253343,4096,0
256395,4096,0
259447,4096,0
262498,4096,0
265550,4096,0
268602,4096,0
271654,4096,0
274705,4096,0
277757,4096,0
280809,4096,0
283861,4096,0
286912,4096,0
289964,4096,0
293016,4096,0
296068,4096,0
299119,4096,0
302171,4096,0
305223,4096,0
308275,4096,0
311326,4096,0
314378,4096,0
317430,4096,0
320482,4096,0
323534,4096,0
326585,4096,0
329637,0,0
329643,4096,0
332694,4096,0
335746,0,0
335752,4096,0
338803,4096,0
341855,4096,0
344907,0,0
344912,4096,0
347964,4096,0
351016,0,0
351021,4096,0
354073,4096,0
357125,0,0
357130,4096,0
360182,4096,0
363234,0,0
363239,4096,0
366291,4096,0
369343,4096,0
372395,4096,0
375446,4096,0
378498,4096,0
381550,4096,0
384602,4096,0
387653,4096,0
390705,4096,0
393757,4096,0
396809,4096,0
399860,4096,0
402912,4096,0
405964,4096,0
409016,4096,0
412067,4096,0
415119,4096,0
418171,4096,0
421223,4096,0
424274,4096,0
427326,4096,0
430378,4096,0
433430,4096,0
436481,4096,0
439533,4096,0
442585,4096,0
445637,4096,0
448689,0,0
448694,4096,0
451746,4096,0
454798,0,0
454803,4096,0
457855,4096,0
460907,4096,0
463958,0,0
463964,4096,0
467016,4096,0
470067,0,0
470073,4096,0
473125,4096,0
476176,0,0
476182,4096,0
479234,4096,0
482285,0,0
482291,4096,0
485343,4096,0
488394,4096,0
491446,4096,0
494498,4096,0
497550,4096,0
500601,4096,0
503653,4096,0
506705,4096,0
509757,4096,0
512808,4096,0
515860,4096,0
518912,4096,0
521964,4096,0
525015,4096,0
528067,4096,0
531119,4096,0
534171,4096,0
537222,4096,0
540274,4096,0
543326,4096,0
546378,4096,0
549429,4096,0
552481,4096,0
555533,4096,0
558585,4096,0
561636,4096,0
564688,4096,0
567740,0,0
567746,4096,0
570797,4096,0
573849,0,0
573855,4096,0
576906,4096,0
579958,4096,0
583010,0,0
583015,4096,0
586067,4096,0
589119,0,0
589124,4096,0
592176,4096,0
595228,0,0
595233,4096,0
598285,4096,0
601337,0,0
601342,4096,0
604394,4096,0
607446,4096,0
610498,4096,0
613549,4096,0
616601,0,4096
616603,0,0
