Time,from_ingress_queue_size,to_ingress_queue_size
1495.19,1,nan
1495.27,0,0
5216.48,1,0
5216.56,0,0
5964.54,1,0
5964.61,0,0
11922,1,0
11922.1,0,0
13412.1,1,0
13412.2,0,0
14160.2,1,0
14160.3,0,0
15650.3,1,0
15650.4,0,0
26078.1,1,0
26078.2,0,0
27573.2,1,0
27573.3,0,0
29061.3,1,0
29061.4,0,0
40234.2,1,0
40234.3,0,0
41728.3,1,0
41728.4,0,0
42471.4,1,0
42471.5,0,0
49925,1,0
49925,0,0
52159.1,1,0
52159.2,0,0
53648.3,1,0
53648.3,0,0
54392.3,1,0
54392.4,0,0
62586,1,0
62586,0,0
64825.1,1,0
64825.2,0,0
66316.2,1,0
66316.3,0,0
67058.3,1,0
67058.4,0,0
76002,1,0
76002.1,0,0
76746.1,1,0
76746.1,0,0
79726.3,1,0
79726.4,0,0
90158.1,1,0
90158.2,0,0
90903.2,1,0
90903.2,0,0
93882.4,1,0
93882.5,0,0
102824,1,0
102824,0,0
103564,1,0
103564,0,0
105057,1,0
105057,0,0
107293,1,0
107294,0,0
116975,1,0
116975,0,0
117720,1,0
117720,0,0
119213,1,0
119213,0,0
119959,1,0
119959,0,0
123683,1,0
123683,0,0
134117,1,0
134117,0,0
135607,1,0
135607,0,0
137097,1,0
137097,0,0
137842,1,0
137842,0,0
138587,1,0
138587,0,0
140820,1,0
140820,0,0
149758,1,0
149758,0,0
150507,1,0
150507,0,0
151251,1,0
151251,0,0
152741,1,0
152741,0,0
162424,1,0
162424,0,0
163173,1,0
163173,0,0
163917,1,0
163917,0,0
165407,1,0
165407,0,0
166151,1,0
166151,0,0
178819,1,0
178819,0,0
179564,1,0
179564,0,0
180308,1,0
180308,0,0
195210,1,0
195210,0,0
195955,1,0
195955,0,0
196699,1,0
196699,0,0
206386,1,0
206386,0,0
207131,1,0
207131,0,0
217563,1,0
217563,0,0
218307,1,0
218307,0,0
229483,1,0
229483,0,0
230228,1,0
230228,0,0
239914,1,0
239914,0,0
240659,1,0
240659,0,0
252580,1,0
252580,0,0
253325,1,0
253325,0,0
266736,1,0
266736,0,0
267481,1,0
267481,0,0
268225,1,0
268225,0,0
281638,1,0
281638,0,0
282383,1,0
282383,0,0
283126,1,0
283126,0,0
283873,1,0
283873,0,0
292068,1,0
292068,0,0
292813,1,0
292813,0,0
293557,1,0
293557,0,0
303240,1,0
303240,0,0
303989,1,0
303989,0,0
304733,1,0
304733,0,0
313675,1,0
313675,0,0
314420,1,0
314420,0,0
315166,1,0
315166,0,0
324850,1,0
324850,0,0
325595,1,0
325596,0,0
326340,1,0
326340,0,0
336026,1,0
336026,0,0
336771,1,0
336771,0,0
337515,1,0
337515,0,0
338260,1,0
338261,0,0
350182,1,0
350182,0,0
350927,1,0
350927,0,0
351672,1,0
351673,0,0
352417,1,0
352417,0,0
353162,1,0
353162,0,0
364338,1,0
364339,0,0
365828,1,0
365828,0,0
366573,1,0
366573,0,0
367318,1,0
367318,0,0
368065,1,0
368065,0,0
374024,1,0
374024,0,0
375515,1,0
375515,0,0
377005,1,0
377006,0,0
