Time,from_ingress_queue_size,to_ingress_queue_size
5190.73,256,nan
5383.47,512,nan
5572.2,256,nan
5953.67,0,nan
6572.2,0,0
6953.67,0,0
9765.43,256,0
10146.9,0,0
10149.9,256,0
10531.4,0,0
11146.9,0,0
11531.4,0,0
14340.1,256,0
14721.6,0,0
14727.6,256,0
15109.1,0,0
15721.6,0,0
16109.1,0,0
18914.8,256,0
19107.6,512,0
19296.3,256,0
19305.3,512,0
19496,768,0
19677.8,512,0
20059.2,256,0
20296.3,256,0
20440.7,0,0
20677.8,0,0
21059.2,0,0
21440.7,0,0
23489.5,256,0
23871,0,0
23874,256,0
24255.5,256,0
24636.9,256,0
24871,256,0
25018.4,0,0
25255.5,0,0
25636.9,0,0
26018.4,0,0
28064.2,256,0
28445.7,0,0
28451.7,256,0
28833.1,256,0
29214.6,256,0
29445.7,256,0
29596.1,0,0
29833.1,0,0
30214.6,0,0
30596.1,0,0
32638.9,256,0
32831.6,512,0
33020.4,256,0
33029.4,512,0
33401.8,256,0
33410.8,512,0
33783.3,256,0
33792.3,512,0
33983,768,0
34020.4,768,0
34164.8,512,0
34401.8,512,0
34546.3,256,0
34783.3,256,0
34927.7,0,0
35164.8,0,0
35546.3,0,0
35927.7,0,0
37213.6,256,0
37595.1,0,0
37598.1,256,0
37979.5,256,0
38361,256,0
38595.1,256,0
38742.5,256,0
38979.5,256,0
39123.9,256,0
39361,256,0
39505.4,0,0
39742.5,0,0
40123.9,0,0
40505.4,0,0
41788.3,256,0
42169.8,0,0
42175.8,256,0
42557.2,256,0
42938.7,256,0
43169.8,256,0
43320.2,256,0
43557.2,256,0
43701.6,256,0
43938.7,256,0
44083.1,0,0
44320.2,0,0
44701.6,0,0
45083.1,0,0
46363,256,0
46744.5,0,0
46753.5,256,0
46944.2,512,0
47134.9,512,0
47516.4,512,0
47744.5,512,0
47897.9,512,0
48134.9,512,0
48279.3,512,0
48516.4,512,0
48660.8,256,0
48897.9,256,0
49042.3,0,0
49279.3,0,0
49660.8,0,0
50042.3,0,0
50937.7,256,0
51319.2,0,0
51329.2,256,0
51710.6,0,0
51712.6,256,0
52094.1,256,0
52319.2,256,0
52475.6,256,0
52710.6,256,0
52857,256,0
53094.1,256,0
53237.5,512,0
53238.5,256,0
53475.6,256,0
53620,0,0
53857,0,0
54238.5,0,0
54620,0,0
55512.4,256,0
55893.8,0,0
55904.8,256,0
56286.3,0,0
56290.3,256,0
56671.8,256,0
56893.8,256,0
57053.3,256,0
57286.3,256,0
57434.7,256,0
57625.5,512,0
57671.8,512,0
57816.2,512,0
58053.3,512,0
58197.7,256,0
58434.7,256,0
58579.1,0,0
58816.2,0,0
59197.7,0,0
59579.1,0,0
60087.1,256,0
60468.5,0,0
60480.5,256,0
60862,0,0
60866,256,0
61058.7,512,0
61247.5,256,0
61249.5,512,0
61468.5,512,0
61629,256,0
61631,512,0
61862,512,0
62010.4,256,0
62012.4,512,0
62247.5,512,0
62391.9,256,0
62392.9,512,0
62629,512,0
62772.4,768,0
62773.4,512,0
63010.4,512,0
63154.8,256,0
63391.9,256,0
63536.3,0,0
63773.4,0,0
64154.8,0,0
64536.3,0,0
64661.8,256,0
65043.2,0,0
65055.2,256,0
