Time,from_ingress_queue_size,to_ingress_queue_size
6572.2,1,nan
6572.95,0,nan
6953.67,1,nan
6954.42,0,nan
7572.95,0,1
7573.95,0,0
7954.42,0,1
7956.42,0,0
11146.9,1,0
11147.6,0,0
11531.4,1,0
11532.1,0,0
12147.6,0,1
12148.6,0,0
12532.1,0,1
12534.1,0,0
15721.6,1,0
15722.3,0,0
16109.1,1,0
16109.8,0,0
16722.3,0,1
16723.3,0,0
17109.8,0,1
17111.8,0,0
20296.3,1,0
20297,0,0
20677.8,1,0
20678.5,0,0
21059.2,1,0
21060,0,0
21297,0,1
21298,0,0
21440.7,1,0
21441.4,0,0
21678.5,0,1
21680.5,0,0
22060,0,1
22062,0,0
22441.4,0,1
22443.4,0,0
24871,1,0
24871.7,0,0
25255.5,1,0
25256.2,0,0
25636.9,1,0
25637.7,0,0
25871.7,0,1
25872.7,0,0
26018.4,1,0
26019.1,0,0
26256.2,0,1
26258.2,0,0
26637.7,0,1
26639.7,0,0
27019.1,0,1
27021.1,0,0
29445.7,1,0
29446.4,0,0
29833.1,1,0
29833.9,0,0
30214.6,1,0
30215.4,0,0
30446.4,0,1
30447.4,0,0
30596.1,1,0
30596.8,0,0
30833.9,0,1
30835.9,0,0
31215.4,0,1
31217.4,0,0
31596.8,0,1
31598.8,0,0
34020.4,1,0
34021.1,0,0
34401.8,1,0
34402.6,0,0
34783.3,1,0
34784.1,0,0
35021.1,0,1
35022.1,0,0
35164.8,1,0
35165.5,0,0
35402.6,0,1
35404.6,0,0
35546.3,1,0
35547,0,0
35784.1,0,1
35786.1,0,0
35927.7,1,0
35928.5,0,0
36165.5,0,1
36167.5,0,0
36547,0,1
36549,0,0
36928.5,0,1
36930.5,0,0
38595.1,1,0
38595.8,0,0
38979.5,1,0
38980.3,0,0
39361,1,0
39361.8,0,0
39595.8,0,1
39596.8,0,0
39742.5,1,0
39743.2,0,0
39980.3,0,1
39982.3,0,0
40123.9,1,0
40124.7,0,0
40361.8,0,1
40363.8,0,0
40505.4,1,0
40506.2,0,0
40743.2,0,1
40745.2,0,0
41124.7,0,1
41126.7,0,0
41506.2,0,1
41508.2,0,0
