Time,from_ingress_queue_size,to_ingress_queue_size
451.109,1,nan
451.184,0,0
1121.66,1,0
1121.74,0,0
1343.18,1,0
1343.25,0,0
2573.52,1,0
2573.6,0,0
2796.04,1,0
2796.12,0,0
3019.56,1,0
3019.63,0,0
3131.32,1,0
3131.39,0,0
5480.25,1,0
5480.33,0,0
5701.77,1,0
5701.84,0,0
5929.29,1,0
5929.36,0,0
6152.8,1,0
6152.88,0,0
6376.32,1,0
6376.4,0,0
6488.08,1,0
6488.15,0,0
6599.84,1,0
6599.91,0,0
6935.11,1,0
6935.19,0,0
8609.5,1,0
8609.57,0,0
9615.32,1,0
9615.4,0,0
9727.08,1,0
9727.16,0,0
11178.9,1,0
11179,0,0
11291.7,1,0
11291.8,0,0
11405.5,1,0
11405.5,0,0
11740.7,1,0
11740.8,0,0
13190.6,1,0
13190.7,0,0
13303.4,1,0
13303.4,0,0
14531.7,1,0
14531.8,0,0
14643.5,1,0
14643.5,0,0
16097.3,1,0
16097.4,0,0
16208.1,1,0
16208.2,0,0
17884.5,1,0
17884.5,0,0
17996.2,1,0
17996.3,0,0
18108,1,0
18108.1,0,0
19560.8,1,0
19560.9,0,0
19783.4,1,0
19783.4,0,0
20903,1,0
20903,0,0
21237.2,1,0
21237.3,0,0
22244.1,1,0
22244.1,0,0
22578.3,1,0
22578.4,0,0
22800.9,1,0
22800.9,0,0
23922.4,1,0
23922.5,0,0
24254.7,1,0
24254.8,0,0
24593,1,0
24593.1,0,0
24704.7,1,0
24704.8,0,0
25934.1,1,0
25934.2,0,0
26042.9,1,0
26042.9,0,0
26153.6,1,0
26153.7,0,0
27160.4,1,0
27160.5,0,0
27272.2,1,0
27272.3,0,0
27383,1,0
27383,0,0
27606.5,1,0
27606.6,0,0
28613.3,1,0
28613.4,0,0
28725.1,1,0
28725.1,0,0
28835.8,1,0
28835.9,0,0
29063.3,1,0
29063.4,0,0
29286.9,1,0
29286.9,0,0
30513.2,1,0
30513.3,0,0
30625,1,0
30625,0,0
31074,1,0
31074.1,0,0
32304.3,1,0
32304.4,0,0
32416.1,1,0
32416.2,0,0
32862.1,1,0
32862.2,0,0
33866,1,0
33866,0,0
33977.7,1,0
33977.8,0,0
34089.5,1,0
34089.6,0,0
35318.8,1,0
35318.9,0,0
35430.6,1,0
35430.7,0,0
35653.1,1,0
35653.2,0,0
37107,1,0
37107,0,0
37218.7,1,0
37218.8,0,0
37441.2,1,0
37441.3,0,0
38898.1,1,0
38898.2,0,0
39009.9,1,0
39009.9,0,0
40348,1,0
40348,0,0
40459.7,1,0
40459.8,0,0
40574.5,1,0
40574.6,0,0
41803.8,1,0
41803.9,0,0
41915.6,1,0
41915.7,0,0
43142.9,1,0
43143,0,0
43254.7,1,0
43254.8,0,0
43476.2,1,0
43476.3,0,0
44484,1,0
44484.1,0,0
44595.8,1,0
44595.9,0,0
44817.3,1,0
44817.4,0,0
44932.1,1,0
44932.2,0,0
45938.9,1,0
45939,0,0
46158.4,1,0
46158.5,0,0
46381.9,1,0
46382,0,0
46496.7,1,0
46496.8,0,0
47055.5,1,0
47055.6,0,0
47163.2,1,0
47163.3,0,0
47276,1,0
47276.1,0,0
47499.5,1,0
47499.6,0,0
47611.3,1,0
47611.4,0,0
48280.8,1,0
48280.9,0,0
48392.6,1,0
48392.7,0,0
48505.4,1,0
48505.4,0,0
48732.9,1,0
48732.9,0,0
48843.6,1,0
48843.7,0,0
48955.4,1,0
48955.5,0,0
49738.7,1,0
49738.8,0,0
49845.5,1,0
49845.5,0,0
