Time,from_ingress_queue_size,to_ingress_queue_size
763.939,1024,nan
1526.88,0,0
2292.31,1024,0
3055.25,1024,1024
3056.25,1024,0
3818.19,0,1024
3820.19,0,0
3822.93,1024,0
4585.87,0,1024
4586.62,1024,1024
4587.87,1024,0
5348.56,2048,0
5349.56,1024,1024
5351.56,1024,0
6111.5,2048,0
6112.5,1024,1024
6113.5,1024,0
6874.44,2048,0
6875.44,1024,1024
6877.44,1024,0
7637.37,2048,0
7638.37,1024,1024
7639.37,1024,0
8400.31,2048,0
8401.31,1024,1024
8403.31,1024,0
9163.25,2048,0
9164.25,1024,1024
9166.25,1024,0
9926.19,2048,0
9927.19,1024,1024
9928.19,1024,0
10689.1,2048,0
10690.1,1024,1024
10692.1,1024,0
11452.1,2048,0
11453.1,1024,1024
11454.1,1024,0
12215,2048,0
12216,1024,1024
12218,1024,0
12978,2048,0
12979,1024,1024
12980,1024,0
13740.9,2048,0
13741.9,1024,1024
13743.9,1024,0
14503.8,2048,0
14504.8,1024,1024
14505.8,1024,0
15266.8,2048,0
15267.8,1024,1024
15269.8,1024,0
16029.7,2048,0
16030.7,1024,1024
16031.7,1024,0
16792.6,2048,0
16793.6,1024,1024
16795.6,1024,0
17556.6,0,1024
17557.6,0,0
18325,1024,0
19088,0,1024
19089,0,0
19855.4,1024,0
20618.3,0,1024
20619.3,0,0
21385.8,1024,0
22148.7,0,1024
22149.7,0,0
22916.1,1024,0
23679.1,0,1024
23680.1,1024,0
24443,0,1024
24445,0,0
24447.7,1024,0
25210.7,0,1024
25212.7,0,0
25213.4,1024,0
25976.4,0,1024
25977.4,0,0
25980.1,1024,0
26743.1,0,1024
26744.1,1024,1024
26745.1,1024,0
27506,2048,0
27507,1024,1024
27509,1024,0
28268.9,2048,0
28269.9,1024,1024
28271.9,1024,0
29031.9,2048,0
29032.9,1024,1024
29033.9,1024,0
29794.8,2048,0
29795.8,1024,1024
29797.8,1024,0
30557.8,2048,0
30558.8,1024,1024
30560.8,1024,0
31320.7,2048,0
31321.7,1024,1024
31323.7,1024,0
32083.6,2048,0
32084.6,1024,1024
32085.6,1024,0
32846.6,2048,0
32847.6,1024,1024
32849.6,1024,0
33609.5,2048,0
33610.5,1024,1024
33612.5,1024,0
34372.5,2048,0
34373.5,1024,1024
34375.5,1024,0
35135.4,2048,0
35136.4,1024,1024
35137.4,1024,0
35898.3,2048,0
35899.3,1024,1024
35901.3,1024,0
