Time,from_ingress_queue_size,to_ingress_queue_size
1495.19,1,nan
1495.27,0,0
5216.48,1,0
5216.56,0,0
5964.54,1,0
5964.61,0,0
11922,1,0
11922.1,0,0
13412.1,1,0
13412.2,0,0
14160.2,1,0
14160.3,0,0
15650.3,1,0
15650.4,0,0
26078.1,1,0
26078.2,0,0
27573.2,1,0
27573.3,0,0
29061.3,1,0
29061.4,0,0
39489.2,1,0
39489.2,0,0
40982.3,1,0
40982.3,0,0
41729.3,1,0
41729.4,0,0
48429.8,1,0
48429.9,0,0
49174.9,1,0
49175,0,0
49920,1,0
49920,0,0
51413.1,1,0
51413.2,0,0
58115.6,1,0
58115.7,0,0
59608.7,1,0
59608.8,0,0
60353.8,1,0
60353.9,0,0
61843.9,1,0
61844,0,0
70040.5,1,0
70040.6,0,0
71529.6,1,0
71529.7,0,0
73019.8,1,0
73019.8,0,0
73761.8,1,0
73761.9,0,0
75254.9,1,0
75255,0,0
85686.8,1,0
85686.8,0,0
87177.9,1,0
87177.9,0,0
87922.9,1,0
87923,0,0
89413,1,0
89413.1,0,0
90901.2,1,0
90901.2,0,0
92391.3,1,0
92391.3,0,0
102074,1,0
102074,0,0
103567,1,0
103567,0,0
104309,1,0
104309,0,0
105802,1,0
105802,0,0
117725,1,0
117725,0,0
119215,1,0
119215,0,0
119955,1,0
119955,0,0
121449,1,0
121449,0,0
122196,1,0
122196,0,0
131876,1,0
131876,0,0
132621,1,0
132621,0,0
133369,1,0
133370,0,0
143797,1,0
143797,0,0
144542,1,0
144542,0,0
145287,1,0
145287,0,0
146035,1,0
146036,0,0
157953,1,0
157953,0,0
159443,1,0
159444,0,0
160189,1,0
160189,0,0
160937,1,0
160937,0,0
161682,1,0
161682,0,0
175095,1,0
175095,0,0
177325,1,0
177325,0,0
178070,1,0
178070,0,0
178820,1,0
178820,0,0
179565,1,0
179565,0,0
180310,1,0
180310,0,0
190741,1,0
190741,0,0
192976,1,0
192976,0,0
193721,1,0
193721,0,0
194464,1,0
194464,0,0
201913,1,0
201913,0,0
204892,1,0
204892,0,0
205637,1,0
205637,0,0
206382,1,0
206382,0,0
216068,1,0
216068,0,0
216813,1,0
216813,0,0
217561,1,0
217561,0,0
225754,1,0
225754,0,0
226499,1,0
226499,0,0
227244,1,0
227244,0,0
227992,1,0
227992,0,0
237675,1,0
237675,0,0
239168,1,0
239168,0,0
239915,1,0
239915,0,0
240658,1,0
240658,0,0
241403,1,0
241403,0,0
250341,1,0
250341,0,0
252579,1,0
252579,0,0
253321,1,0
253321,0,0
254069,1,0
254069,0,0
254814,1,0
254814,0,0
265247,1,0
265247,0,0
266735,1,0
266735,0,0
268225,1,0
268225,0,0
268970,1,0
268970,0,0
269715,1,0
269715,0,0
270460,1,0
270460,0,0
277168,1,0
277168,0,0
278654,1,0
278654,0,0
280146,1,0
280146,0,0
281636,1,0
281636,0,0
282378,1,0
282378,0,0
283126,1,0
283126,0,0
283871,1,0
283871,0,0
289088,1,0
289088,0,0
291324,1,0
291324,0,0
292809,1,0
292809,0,0
293554,1,0
293554,0,0
295049,1,0
295049,0,0
295789,1,0
295789,0,0
