Time,from_ingress_queue_size,to_ingress_queue_size
1190.73486328125,256,nan
1381.4697265625,0,nan
2381.4697265625,0,256
2383.4697265625,0,0
3191.73486328125,256,0
3382.4697265625,0,0
4382.4697265625,0,256
4384.4697265625,0,0
5577.694705963135,256,0
5768.429569244385,0,0
6768.429569244385,0,256
6769.429569244385,0,0
9963.65454864502,256,0
10154.38941192627,0,0
11154.38941192627,0,256
11155.38941192627,0,0
14349.614391326904,256,0
14540.349254608154,0,0
14541.349254608154,256,0
14732.084117889404,0,0
15540.349254608154,0,256
15541.349254608154,0,0
15732.084117889404,0,256
15732.084117889404,0,0
18735.57423400879,256,0
18926.30909729004,0,0
18927.30909729004,256,0
19118.04396057129,0,0
19926.30909729004,0,256
19927.30909729004,0,0
20118.04396057129,0,256
20118.04396057129,0,0
23121.534076690674,256,0
23312.268939971924,0,0
23313.268939971924,256,0
23504.003803253174,0,0
24312.268939971924,0,256
24313.268939971924,0,0
24504.003803253174,0,256
24504.003803253174,0,0
27507.49391937256,256,0
27698.22878265381,0,0
27699.22878265381,256,0
27889.96364593506,0,0
27889.96364593506,256,0
28080.69850921631,0,0
28698.22878265381,0,256
28699.22878265381,0,0
28889.96364593506,0,256
28889.96364593506,0,0
29080.69850921631,0,256
29080.69850921631,0,0
31893.453762054443,256,0
32084.188625335693,0,0
32085.188625335693,256,0
32275.923488616943,0,0
32275.923488616943,256,0
32466.658351898193,0,0
33084.18862533569,0,256
33085.18862533569,0,0
33275.92348861694,0,256
33275.92348861694,0,0
33466.65835189819,0,256
33466.65835189819,0,0
36279.41360473633,256,0
36470.14846801758,0,0
36471.14846801758,256,0
36661.88333129883,0,0
36661.88333129883,256,0
36852.61819458008,0,0
36852.61819458008,256,0
37043.35305786133,0,0
37470.14846801758,0,256
37471.14846801758,0,0
37661.88333129883,0,256
37661.88333129883,0,0
37852.61819458008,0,256
37852.61819458008,0,0
38043.35305786133,0,256
38043.35305786133,0,0
40665.37344741821,256,0
40856.10831069946,0,0
40857.10831069946,256,0
41047.84317398071,0,0
41047.84317398071,256,0
41238.57803726196,0,0
41238.57803726196,256,0
41429.31290054321,0,0
41856.10831069946,0,256
41857.10831069946,0,0
42047.84317398071,0,256
42047.84317398071,0,0
42238.57803726196,0,256
42238.57803726196,0,0
42429.31290054321,0,256
42429.31290054321,0,0
45051.3332901001,256,0
45242.06815338135,0,0
45243.06815338135,256,0
45433.8030166626,0,0
45433.8030166626,256,0
45624.53787994385,0,0
45624.53787994385,256,0
45815.2727432251,0,0
46242.06815338135,0,256
46243.06815338135,0,0
46433.8030166626,0,256
46433.8030166626,0,0
46624.53787994385,0,256
46624.53787994385,0,0
46815.2727432251,0,256
46815.2727432251,0,0
49437.29313278198,256,0
49628.02799606323,0,0
49629.02799606323,256,0
49819.76285934448,0,0
49819.76285934448,256,0
50010.49772262573,0,0
50010.49772262573,256,0
50201.23258590698,0,0
50201.23258590698,256,0
50391.96744918823,0,0
50628.02799606323,0,256
50629.02799606323,0,0
50819.76285934448,0,256
