Time,from_ingress_queue_size,to_ingress_queue_size
311,10000,nan
1056.0580596923828,0,10000
1056.0580596923828,0,0
2257.323190689087,10000,0
2258.323190689087,20000,0
3002.3812503814697,10000,10000
3004.3812503814697,10000,0
3747.4393100738525,0,10000
3751.4393100738525,0,0
6149.969572067261,10000,0
6150.969572067261,20000,0
6723.671548843384,30000,0
6895.027631759644,20000,10000
6895.027631759644,20000,0
7640.085691452026,10000,10000
7640.085691452026,10000,0
8385.14375114441,0,10000
8389.14375114441,0,0
9704.903787612915,10000,0
10449.961847305298,0,10000
10454.887341499329,0,0
16132.286060777642,10000,0
16877.344120470025,0,10000
16881.344120470025,0,0
19389.65856361389,10000,0
20134.716623306274,0,10000
20137.642117500305,0,0
21628.83274269104,10000,0
22373.890802383423,0,10000
22378.816296577454,0,0
33549.761697769165,10000,0
34294.81975746155,0,10000
34294.81975746155,10000,10000
34295.81975746155,20000,10000
34299.74525165558,20000,0
35039.87781715393,10000,10000
35043.87781715393,10000,0
35784.93587684631,0,10000
35785.93587684631,0,0
41743.400354385376,10000,0
42486.45841407776,20000,0
42488.45841407776,10000,10000
42492.45841407776,10000,0
43233.51647377014,0,10000
43237.51647377014,0,0
43975.574533462524,10000,0
43976.574533462524,20000,0
44720.63259315491,10000,10000
44721.55808734894,10000,0
45465.69065284729,0,10000
45469.61614704132,0,0
52917.27124977112,10000,0
53662.3293094635,0,10000
53662.3293094635,10000,10000
53667.25480365753,10000,0
54407.387369155884,0,10000
54411.387369155884,0,0
55151.44542884827,10000,0
55896.50348854065,0,10000
55897.42898273468,0,0
55898.50348854065,10000,0
56643.56154823303,0,10000
56648.48704242706,0,0
65583.25826454163,10000,0
65584.25826454163,20000,0
66328.31632423401,10000,10000
66333.24181842804,10000,0
67073.37438392639,0,10000
67077.37438392639,0,0
79739.3613986969,10000,0
79740.3613986969,20000,0
80484.41945838928,10000,10000
80484.41945838928,20000,10000
80489.34495258331,20000,0
81229.47751808167,10000,10000
81233.47751808167,10000,0
81974.53557777405,0,10000
81978.46107196808,0,0
92405.3484134674,10000,0
93150.40647315979,0,10000
93150.40647315979,10000,10000
93155.33196735382,10000,0
93895.46453285217,0,10000
93900.3900270462,0,0
94639.52259254456,10000,0
94640.52259254456,20000,0
95384.58065223694,10000,10000
95385.50614643097,10000,0
96129.63871192932,0,10000
96133.56420612335,0,0
110290.7418460846,10000,0
111032.79990577698,20000,0
111033.79990577698,30000,0
111035.79990577698,20000,10000
111039.79990577698,20000,0
111780.85796546936,10000,10000
111784.85796546936,10000,0
112525.91602516174,0,10000
112528.91602516174,0,0
125932.96109962463,10000,0
126678.01915931702,0,10000
126678.01915931702,10000,10000
126682.94465351105,10000,0
127423.0772190094,0,10000
127427.0772190094,0,0
143814.35453224182,10000,0
144559.4125919342,0,10000
144562.33808612823,0,0
144563.4125919342,10000,0
145308.4706516266,0,10000
145313.39614582062,0,0
157974.4576663971,10000,0
158719.51572608948,0,10000
158719.51572608948,10000,10000
158720.51572608948,20000,10000
158724.4412202835,20000,0
159464.57378578186,10000,10000
159468.57378578186,10000,0
160209.63184547424,0,10000
160210.63184547424,0,0
171385.50274085999,10000,0
171386.50274085999,20000,0
172130.56080055237,10000,10000
172135.4862947464,10000,0
172875.61886024475,0,10000
172879.61886024475,0,0
184047.4897556305,10000,0
184792.54781532288,0,10000
184797.4733095169,0,0
185536.60587501526,10000,0
186281.66393470764,0,10000
186282.58942890167,0,0
196714.476770401,10000,0
196715.476770401,20000,0
197459.53483009338,10000,10000
197463.53483009338,10000,0
198202.59288978577,20000,0
198204.59288978577,10000,10000
198207.59288978577,10000,0
198949.65094947815,0,10000
198953.65094947815,0,0
209380.4637851715,10000,0
210125.5218448639,0,10000
210129.5218448639,0,0
210868.57990455627,10000,0
210869.57990455627,20000,0
211613.63796424866,10000,10000
211614.5634584427,10000,0
211615.63796424866,20000,0
212358.69602394104,10000,10000
212362.62151813507,10000,0
213103.75408363342,0,10000
213107.67957782745,0,0
220555.33468055725,10000,0
221300.39274024963,0,10000
221305.31823444366,0,0
222044.45079994202,10000,0
222789.5088596344,0,10000
222790.43435382843,0,0
222791.5088596344,10000,0
223536.56691932678,0,10000
223536.56691932678,10000,10000
223537.56691932678,20000,10000
223541.4924135208,20000,0
224281.62497901917,10000,10000
224285.62497901917,10000,0
225026.68303871155,0,10000
225030.68303871155,0,0
238440.72811317444,10000,0
238441.72811317444,20000,0
239185.78617286682,10000,10000
239185.78617286682,20000,10000
239190.71166706085,20000,0
239930.8442325592,10000,10000
239934.8442325592,10000,0
240675.9022922516,0,10000
240677.9022922516,0,0
249612.59900856018,10000,0
250357.65706825256,0,10000
250357.65706825256,10000,10000
250362.5825624466,10000,0
251102.71512794495,0,10000
251106.71512794495,0,0
251846.77318763733,10000,0
251847.77318763733,20000,0
252591.8312473297,10000,10000
252595.75674152374,10000,0
253336.8893070221,0,10000
253340.81480121613,0,0
260788.46990394592,10000,0
261533.5279636383,0,10000
261533.5279636383,10000,10000
261538.45345783234,10000,0
262277.5860233307,20000,0
262278.5860233307,10000,10000
262282.5860233307,10000,0
263022.6440830231,20000,0
263023.6440830231,10000,10000
263023.6440830231,20000,10000
263027.6440830231,20000,0
263768.70214271545,10000,10000
263772.70214271545,10000,0
264513.76020240784,0,10000
264517.68569660187,0,0
273455.45691871643,10000,0
274199.5149784088,20000,0
274200.5149784088,10000,10000
274204.5149784088,10000,0
274943.5730381012,20000,0
274945.5730381012,10000,10000
274949.5730381012,10000,0
275688.6310977936,20000,0
275690.6310977936,10000,10000
275694.6310977936,10000,0
276435.68915748596,0,10000
276439.68915748596,0,0
277178.74721717834,10000,0
277923.8052768707,0,10000
277926.73077106476,0,0
286866.5019931793,10000,0
286867.5019931793,20000,0
287611.5600528717,10000,10000
287611.5600528717,20000,10000
287616.48554706573,20000,0
288354.6181125641,30000,0
288356.6181125641,20000,10000
288360.6181125641,20000,0
289099.67617225647,30000,0
289101.67617225647,20000,10000
289105.67617225647,20000,0
289846.73423194885,10000,10000
289850.73423194885,10000,0
290591.79229164124,0,10000
290595.79229164124,0,0
303256.77930641174,10000,0
303257.77930641174,20000,0
304001.8373661041,10000,10000
304004.76286029816,10000,0
304005.8373661041,20000,0
304746.8954257965,10000,10000
304749.82091999054,10000,0
304750.8954257965,20000,0
305491.9534854889,10000,10000
305494.8789796829,10000,0
306237.0115451813,0,10000
306239.9370393753,0,0
316668.82438087463,10000,0
317413.882440567,0,10000
317415.80793476105,0,0
317416.882440567,10000,0
318161.9405002594,0,10000
318161.9405002594,10000,10000
318162.9405002594,20000,10000
318166.86599445343,20000,0
318901.9985599518,30000,0
318906.9985599518,20000,10000
318910.9985599518,20000,0
319652.05661964417,10000,10000
319656.05661964417,10000,0
320397.11467933655,0,10000
320400.11467933655,0,0
328588.75333595276,10000,0
329333.81139564514,0,10000
329334.81139564514,10000,10000
329339.7368898392,10000,0
330077.8694553375,20000,0
330079.8694553375,10000,10000
330083.8694553375,10000,0
330822.9275150299,20000,0
330823.9275150299,30000,0
330824.9275150299,20000,10000
330828.9275150299,20000,0
331569.9855747223,10000,10000
331573.9855747223,10000,0
332313.0436344147,20000,0
332315.0436344147,10000,10000
332318.0436344147,10000,0
333060.10169410706,0,10000
333064.10169410706,0,0
341258.74035072327,10000,0
342000.79841041565,20000,0
342003.79841041565,10000,10000
342005.7239046097,10000,0
342743.85647010803,20000,0
342748.85647010803,10000,10000
342752.85647010803,10000,0
343488.9145298004,20000,0
343493.9145298004,10000,10000
343497.9145298004,10000,0
344238.9725894928,0,10000
344242.9725894928,0,0
344979.0306491852,10000,0
345724.08870887756,0,10000
345728.0142030716,0,0
345729.08870887756,10000,0
345730.08870887756,20000,0
346474.14676856995,10000,10000
346479.072262764,10000,0
347219.2048282623,0,10000
347223.2048282623,0,0
351686.5531864166,10000,0
352431.611246109,0,10000
352431.611246109,10000,10000
352436.53674030304,10000,0
353174.6693058014,20000,0
353176.6693058014,10000,10000
353180.6693058014,10000,0
353921.7273654938,0,10000
353925.7273654938,0,0
