Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.02, 20.4078, 365086

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 22.3442, 21.6934, 343450

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9807, 19.3987, 384076

conn4_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.9343, 19.3537, 384969

conn5_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 21.3112, 20.4915, 363593
