Time,from_ingress_queue_size,to_ingress_queue_size
674,10000,nan
1419.06,0,10000
1420.06,0,0
2674,10000,0
3419.06,0,10000
3420.06,0,0
4172.44,10000,0
4173.44,20000,0
4917.5,10000,10000
4921.42,10000,0
5662.56,0,10000
5665.56,0,0
11169.3,10000,0
11170.3,20000,0
11914.4,10000,10000
11915.4,10000,0
12659.4,0,10000
12661.4,0,0
13110.1,10000,0
13855.2,0,10000
13860.6,0,0
14604.7,10000,0
15349.7,0,10000
15352.7,0,0
28013.3,10000,0
28758.4,0,10000
28762.3,0,0
30995.5,10000,0
30996.5,20000,0
31740.6,10000,10000
31743.6,10000,0
32485.6,0,0
35464.9,10000,0
36209.9,0,10000
36212.9,0,0
36952,10000,0
37697.1,0,10000
37702,0,0
38442.1,10000,0
38443.1,20000,0
39187.2,10000,10000
39192.1,10000,0
39932.2,0,10000
39936.2,0,0
44405.6,10000,0
45150.6,0,10000
45153.6,0,0
45892.7,10000,0
46637.7,0,10000
46642.7,0,0
47382.8,10000,0
48127.9,0,10000
48132.8,0,0
48872.9,10000,0
49618,0,10000
49622.9,0,0
55580.4,10000,0
55581.4,20000,0
56325.5,10000,10000
56329.4,10000,0
57068.6,20000,0
57070.6,10000,10000
57073.6,10000,0
57815.6,0,10000
57818.6,0,0
58558.7,10000,0
59303.7,0,10000
59308.7,0,0
60048.8,10000,0
60793.9,0,10000
60798.8,0,0
68993.5,10000,0
69738.5,0,10000
69742.5,0,0
73460.8,10000,0
74205.9,0,10000
74209.8,0,0
74950,10000,0
75695,0,10000
75699.9,0,0
83147.6,10000,0
83892.7,0,10000
83896.6,0,0
86871.9,10000,0
87616.9,0,10000
87620.9,0,0
88361,10000,0
88362,20000,0
89106.1,10000,10000
89108,10000,0
89851.1,0,10000
89853,0,0
98048.8,10000,0
98793.8,0,10000
98798.7,0,0
101773,10000,0
102518,10000,10000
102522,10000,0
103262,20000,0
103263,20000,10000
103266,20000,0
104008,10000,10000
104011,10000,0
104753,0,10000
104756,0,0
109225,10000,0
109970,0,10000
109975,0,0
112949,10000,0
113694,10000,10000
113698,10000,0
114438,20000,0
114439,10000,10000
114442,10000,0
115183,20000,0
115184,10000,10000
115187,10000,0
115929,0,10000
115932,0,0
121891,10000,0
121892,20000,0
122636,10000,10000
122640,10000,0
123381,0,10000
123384,0,0
128598,10000,0
128599,20000,0
129343,10000,10000
129347,10000,0
130088,0,10000
130091,0,0
136047,10000,0
136792,0,10000
136798,0,0
137535,10000,0
138280,0,10000
138285,0,0
142009,10000,0
142754,0,10000
142758,0,0
143495,10000,0
144240,0,10000
144241,0,0
151694,10000,0
151695,20000,0
152439,10000,10000
152443,10000,0
153181,20000,0
153184,10000,10000
153187,10000,0
153929,0,10000
153932,0,0
165849,10000,0
166594,10000,10000
166598,10000,0
167337,20000,0
167339,10000,10000
167342,10000,0
168084,0,10000
168087,0,0
177026,10000,0
177770,20000,0
177771,20000,10000
177774,20000,0
178513,30000,0
178516,20000,10000
178519,20000,0
179261,10000,10000
179264,10000,0
180006,0,10000
180007,0,0
188202,10000,0
188946,20000,0
188947,10000,10000
188950,10000,0
189689,20000,0
189690,30000,0
189692,20000,10000
189695,20000,0
190437,10000,10000
190440,10000,0
191179,20000,0
191182,10000,10000
191183,10000,0
191927,0,10000
191930,0,0
203104,10000,0
203849,0,10000
203853,0,0
204590,10000,0
205335,0,10000
205336,10000,10000
205340,10000,0
206081,0,10000
206084,0,0
214278,10000,0
215023,0,10000
215027,0,0
215766,10000,0
215767,20000,0
216511,10000,10000
216512,20000,10000
216516,20000,0
217256,10000,10000
217260,10000,0
218001,0,10000
218005,0,0
227689,10000,0
228434,0,10000
228438,0,0
231413,10000,0
231414,20000,0
232158,10000,10000
232159,10000,0
232903,0,10000
232904,0,0
241100,10000,0
241845,0,10000
241849,0,0
244079,10000,0
244824,10000,10000
244828,10000,0
245569,0,10000
245572,0,0
252276,10000,0
252277,20000,0
253021,10000,10000
253025,10000,0
253766,0,10000
253769,0,0
265687,10000,0
266432,10000,10000
266436,10000,0
267177,0,10000
267181,0,0
275373,10000,0
275374,20000,0
276118,10000,10000
276122,10000,0
276861,20000,0
276863,10000,10000
276866,10000,0
277608,0,10000
277611,0,0
288786,10000,0
289531,0,10000
289534,0,0
290272,10000,0
291017,0,10000
291023,0,0
299959,10000,0
300705,0,10000
300708,0,0
301448,10000,0
301449,20000,0
302193,10000,10000
302199,10000,0
302938,0,10000
302942,0,0
313371,10000,0
314116,0,10000
314120,0,0
314859,10000,0
315604,0,10000
315606,0,0
326782,10000,0
327527,10000,10000
327531,10000,0
328272,0,10000
328276,0,0
336467,10000,0
337212,0,10000
337216,0,0
337955,10000,0
338701,0,10000
338706,0,0
346153,10000,0
346154,20000,0
346898,10000,10000
346902,10000,0
347643,0,10000
347646,0,0
348386,10000,0
349131,0,10000
349137,0,0
358074,10000,0
358819,0,10000
358823,0,0
359562,10000,0
359563,20000,0
360307,10000,10000
360313,10000,0
361052,0,10000
361056,0,0
361799,10000,0
362544,0,10000
362548,0,0
369995,10000,0
370740,0,10000
370744,0,0
