Time,from_ingress_queue_size,to_ingress_queue_size
3051.76,4096,nan
6103.52,4096,0
9155.27,4096,0
12207,0,0
12211.3,4096,0
15263,4096,0
18314.8,0,0
21370.8,4096,0
24422.5,4096,0
27474.3,0,0
30530.3,4096,0
33582,4096,0
36633.8,4096,0
39685.6,0,0
39689.8,4096,0
42741.6,4096,0
45793.3,4096,0
48845.1,4096,0
51896.8,4096,0
54948.6,4096,0
58000.3,4096,0
61052.1,4096,0
64103.9,4096,0
67155.6,4096,0
70207.4,4096,0
73259.1,4096,0
76310.9,4096,0
79362.6,4096,0
82414.4,4096,0
85466.2,4096,0
88517.9,4096,0
91569.7,4096,0
94621.4,4096,0
97673.2,4096,0
100725,4096,0
103777,4096,0
106828,4096,0
109880,4096,0
112932,4096,0
115984,4096,0
119035,4096,0
122087,4096,0
125139,4096,0
128191,4096,0
131243,4096,0
134294,4096,0
137346,4096,0
140398,4096,0
143450,0,0
143454,4096,0
146506,4096,0
149557,4096,0
152609,0,0
152613,4096,0
155665,4096,0
158717,4096,0
161769,0,0
164825,4096,0
167876,4096,0
170928,0,0
171971,4096,0
175023,0,0
177036,4096,0
180088,0,0
181130,4096,0
184182,0,0
186195,4096,0
189247,4096,0
192299,4096,0
195351,0,0
195355,4096,0
198407,4096,0
201458,4096,0
204510,4096,0
207562,4096,0
210614,4096,0
213665,4096,0
216717,4096,0
219769,4096,0
222821,4096,0
225872,4096,0
228924,4096,0
231976,4096,0
235028,4096,0
238079,4096,0
241131,4096,0
244183,4096,0
247235,4096,0
250286,4096,0
253338,4096,0
256390,4096,0
259442,4096,0
262494,4096,0
265545,4096,0
268597,4096,0
271649,4096,0
274701,4096,0
277752,4096,0
280804,4096,0
283856,4096,0
286908,4096,0
289959,4096,0
293011,4096,0
296063,4096,0
299115,0,0
299119,4096,0
302171,4096,0
305222,4096,0
308274,0,0
308278,4096,0
311330,4096,0
314382,4096,0
317434,0,0
320490,4096,0
323541,4096,0
326593,0,0
327713,4096,0
330765,0,0
332701,4096,0
335753,0,0
336873,4096,0
339924,0,0
341860,4096,0
344912,4096,0
347964,4096,0
351016,0,0
351020,4096,0
354072,4096,0
357123,4096,0
360175,4096,0
363227,4096,0
366279,4096,0
369330,4096,0
372382,4096,0
375434,4096,0
378486,4096,0
381537,4096,0
384589,4096,0
387641,4096,0
390693,4096,0
393745,4096,0
396796,4096,0
399848,4096,0
402900,4096,0
405952,4096,0
409003,4096,0
412055,4096,0
415107,4096,0
418159,4096,0
421210,4096,0
424262,4096,0
427314,4096,0
430366,4096,0
433417,4096,0
436469,4096,0
439521,4096,0
442573,4096,0
445624,4096,0
448676,4096,0
451728,4096,0
454780,0,0
454784,4096,0
457836,4096,0
460887,4096,0
463939,0,0
463943,4096,0
466995,4096,0
470047,4096,0
473099,0,0
476155,4096,0
479206,4096,0
482258,0,0
483382,4096,0
486434,0,0
488366,4096,0
491418,0,0
492542,4096,0
495594,0,0
497525,4096,0
500577,4096,0
503629,4096,0
506681,0,0
506685,4096,0
509737,4096,0
512788,4096,0
515840,4096,0
518892,4096,0
521944,4096,0
524996,4096,0
528047,4096,0
531099,4096,0
534151,4096,0
537203,4096,0
540254,4096,0
543306,4096,0
546358,4096,0
549410,4096,0
552461,4096,0
555513,4096,0
558565,4096,0
561617,4096,0
564668,4096,0
567720,4096,0
570772,4096,0
573824,4096,0
576875,4096,0
579927,4096,0
582979,4096,0
586031,4096,0
589082,4096,0
592134,4096,0
595186,4096,0
598238,4096,0
601289,4096,0
604341,4096,0
607393,4096,0
610445,0,0
610449,4096,0
613501,4096,0
616552,4096,0
619604,0,0
619608,4096,0
622660,4096,0
625712,4096,0
628764,0,0
631820,4096,0
634872,4096,0
637923,0,0
639048,4096,0
642100,0,0
644031,4096,0
647083,0,0
648207,4096,0
651259,0,0
653191,4096,0
656242,4096,0
659294,4096,0
662346,0,0
662350,4096,0
665402,4096,0
668454,4096,0
671505,4096,0
674557,4096,0
677609,4096,0
680661,4096,0
683712,4096,0
686764,4096,0
689816,4096,0
692868,4096,0
695919,4096,0
698971,4096,0
702023,4096,0
705075,4096,0
708126,4096,0
711178,4096,0
714230,4096,0
717282,4096,0
720333,4096,0
723385,4096,0
726437,4096,0
729489,4096,0
732540,4096,0
735592,4096,0
738644,4096,0
741696,4096,0
744747,4096,0
747799,4096,0
750851,4096,0
753903,4096,0
756955,4096,0
760006,4096,0
763058,4096,0
766110,0,0
766114,4096,0
769166,4096,0
772218,4096,0
775269,0,0
775274,4096,0
778325,4096,0
781377,4096,0
784429,0,0
787485,4096,0
790537,4096,0
793588,0,0
794713,4096,0
797765,0,0
799696,4096,0
802748,0,0
803872,4096,0
806924,0,0
808856,4096,0
811907,4096,0
814959,4096,0
818011,0,0
818015,4096,0
821067,4096,0
824119,4096,0
827170,4096,0
830222,4096,0
833274,4096,0
836326,4096,0
839377,4096,0
842429,4096,0
845481,4096,0
848533,4096,0
851584,4096,0
854636,4096,0
857688,4096,0
860740,4096,0
863791,4096,0
866843,4096,0
869895,4096,0
872947,4096,0
875998,4096,0
879050,4096,0
882102,4096,0
885154,4096,0
888206,4096,0
891257,4096,0
894309,4096,0
897361,4096,0
900413,4096,0
903464,4096,0
906516,4096,0
909568,4096,0
912620,4096,0
915671,4096,0
918723,4096,0
921775,0,0
921779,4096,0
924831,4096,0
927883,4096,0
930934,0,0
930939,4096,0
933990,4096,0
937042,4096,0
940094,0,0
943150,4096,0
946202,4096,0
949253,0,0
950378,4096,0
953430,0,0
955361,4096,0
958413,0,0
959537,4096,0
962589,0,0
964521,4096,0
967572,4096,0
970624,4096,0
973676,0,0
973680,4096,0
976732,4096,0
979784,4096,0
982835,4096,0
985887,4096,0
988939,4096,0
991991,4096,0
995042,4096,0
998094,4096,0
1.00115e+06,4096,0
1.0042e+06,4096,0
1.00725e+06,4096,0
1.0103e+06,4096,0
1.01335e+06,4096,0
1.0164e+06,4096,0
1.01946e+06,4096,0
1.02251e+06,4096,0
1.02556e+06,4096,0
1.02861e+06,4096,0
1.03166e+06,4096,0
1.03472e+06,4096,0
1.03777e+06,4096,0
1.04082e+06,4096,0
1.04387e+06,4096,0
1.04692e+06,4096,0
1.04997e+06,4096,0
1.05303e+06,4096,0
1.05608e+06,4096,0
1.05913e+06,4096,0
1.06218e+06,4096,0
1.06523e+06,4096,0
1.06828e+06,4096,0
1.07134e+06,4096,0
1.07439e+06,4096,0
1.07744e+06,0,0
1.07744e+06,4096,0
1.0805e+06,4096,0
1.08355e+06,4096,0
1.0866e+06,0,0
1.0866e+06,4096,0
1.08966e+06,4096,0
1.09271e+06,4096,0
1.09576e+06,0,0
1.09881e+06,4096,0
1.10187e+06,4096,0
1.10492e+06,0,0
1.10604e+06,4096,0
1.10909e+06,0,0
1.11103e+06,4096,0
1.11408e+06,0,0
1.1152e+06,4096,0
1.11825e+06,0,0
1.12019e+06,4096,0
1.12324e+06,4096,0
1.12629e+06,4096,0
1.12934e+06,0,0
1.12935e+06,4096,0
1.1324e+06,4096,0
1.13545e+06,4096,0
1.1385e+06,4096,0
1.14155e+06,4096,0
1.1446e+06,4096,0
1.14766e+06,4096,0
1.15071e+06,4096,0
1.15376e+06,4096,0
1.15681e+06,4096,0
1.15986e+06,4096,0
1.16291e+06,4096,0
1.16597e+06,4096,0
1.16902e+06,4096,0
1.17207e+06,4096,0
1.17512e+06,4096,0
1.17817e+06,4096,0
1.18123e+06,4096,0
1.18428e+06,4096,0
1.18733e+06,4096,0
1.19038e+06,4096,0
1.19343e+06,4096,0
1.19648e+06,4096,0
1.19954e+06,4096,0
1.20259e+06,4096,0
1.20564e+06,4096,0
1.20869e+06,4096,0
1.21174e+06,4096,0
1.21479e+06,4096,0
1.21785e+06,4096,0
1.2209e+06,4096,0
1.22395e+06,4096,0
1.227e+06,4096,0
1.23005e+06,4096,0
1.2331e+06,0,0
1.23311e+06,4096,0
1.23616e+06,0,4096
1.23616e+06,0,0
1.23616e+06,4096,0
1.23922e+06,0,4096
1.23922e+06,0,0
1.23922e+06,4096,0
1.24227e+06,0,4096
1.24227e+06,0,0
1.24228e+06,4096,0
1.24533e+06,0,4096
1.24533e+06,0,0
1.24533e+06,4096,0
1.24838e+06,4096,4096
1.24839e+06,4096,0
1.25144e+06,0,4096
1.25144e+06,0,0
1.2545e+06,4096,0
1.25755e+06,4096,4096
1.25755e+06,4096,0
1.2606e+06,0,4096
1.2606e+06,0,0
1.26171e+06,4096,0
1.26476e+06,0,4096
1.26476e+06,0,0
1.26672e+06,4096,0
1.26977e+06,0,4096
1.26977e+06,0,0
1.27088e+06,4096,0
1.27393e+06,0,4096
1.27393e+06,0,0
1.27589e+06,4096,0
1.27894e+06,4096,4096
1.27894e+06,4096,0
1.28199e+06,4096,4096
1.28199e+06,4096,0
1.28504e+06,0,4096
1.28504e+06,0,0
1.28505e+06,4096,0
1.28811e+06,4096,4096
1.28811e+06,4096,0
1.29116e+06,4096,4096
1.29116e+06,4096,0
1.29421e+06,4096,4096
1.29421e+06,4096,0
1.29726e+06,4096,4096
1.29726e+06,4096,0
1.30031e+06,4096,4096
1.30031e+06,4096,0
1.30336e+06,4096,4096
1.30337e+06,4096,0
1.30642e+06,4096,4096
1.30642e+06,4096,0
1.30947e+06,0,4096
1.30947e+06,0,0
