Flow id, Packet size (bytes), Data from conn (bytes), Sent (bytes), Delivered (bytes), Overhead (%), Retransmit size (bytes), Retransmit count, Sending rate (Gbps), Throughput (Gbps), FCT (ns)

conn1_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.6265, 20.0257, 372051

conn2_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 20.2281, 19.6389, 379378

conn3_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 19.941, 19.3602, 384839

conn4_flow1, 10000, 1000000, 1040000, 1000000, 4, 40000, 4, 20.758, 19.9596, 373282

conn5_flow1, 10000, 1000000, 1030000, 1000000, 3, 30000, 3, 21.7478, 21.1144, 352868
