Time,from_ingress_queue_size,to_ingress_queue_size
14,10000,nan
759.0580596923828,0,10000
762.0580596923828,0,0
1510.265130996704,10000,0
1511.265130996704,20000,0
2255.323190689087,10000,10000
2261.2486848831177,10000,0
3000.3812503814697,0,10000
3003.3812503814697,0,0
4502.795392990112,10000,0
4503.795392990112,20000,0
5234.555429458618,30000,0
5247.853452682495,20000,10000
5249.853452682495,20000,0
5978.613489151001,30000,0
5992.911512374878,20000,10000
5993.911512374878,20000,0
6737.969572067261,10000,10000
6740.969572067261,10000,0
7483.027631759644,0,10000
7486.027631759644,0,0
13103.90834246416,10000,0
13848.966402156542,0,10000
13849.966402156542,0,0
16627.353040030077,10000,0
17372.41109972246,0,10000
17375.41109972246,0,0
17899.542444229126,10000,0
17900.542444229126,20000,0
18644.60050392151,10000,10000
18646.52599811554,10000,0
19389.65856361389,0,10000
19391.584057807922,0,0
32804.70363807678,10000,0
32805.70363807678,20000,0
33549.761697769165,10000,10000
33553.687191963196,10000,0
34294.81975746155,0,10000
34297.81975746155,0,0
40253.28423500061,10000,0
40998.34229469299,0,10000
40998.34229469299,10000,10000
41002.267788887024,10000,0
41743.400354385376,0,10000
41746.400354385376,0,0
50686.09707069397,10000,0
50687.09707069397,20000,0
51429.15513038635,30000,0
51431.15513038635,20000,10000
51434.15513038635,20000,0
52176.213190078735,10000,10000
52179.213190078735,10000,0
52921.27124977112,0,10000
52927.19674396515,0,0
60369.851846694946,10000,0
61114.90990638733,0,10000
61114.90990638733,10000,10000
61115.90990638733,20000,10000
61118.83540058136,20000,0
61859.96796607971,10000,10000
61862.96796607971,10000,0
62603.026025772095,20000,0
62605.026025772095,10000,10000
62608.026025772095,10000,0
63350.08408546448,0,10000
63353.08408546448,0,0
71545.72274208069,10000,0
72290.78080177307,0,10000
72294.7062959671,0,0
73782.89692115784,10000,0
74527.95498085022,0,10000
74531.88047504425,0,0
81978.53557777405,10000,0
81979.53557777405,20000,0
82723.59363746643,10000,10000
82727.51913166046,10000,0
83464.65169715881,20000,0
83468.65169715881,10000,10000
83471.65169715881,10000,0
84213.7097568512,0,10000
84216.7097568512,0,0
90917.23229408264,10000,0
91662.29035377502,0,10000
91667.21584796906,0,0
92405.3484134674,10000,0
93150.40647315979,0,10000
93156.33196735382,0,0
93895.46453285217,10000,0
93896.46453285217,20000,0
94640.52259254456,10000,10000
94646.44808673859,10000,0
95385.58065223694,0,10000
95389.50614643097,0,0
102838.16124916077,10000,0
103583.21930885315,0,10000
103587.14480304718,0,0
106563.45154762268,10000,0
107308.50960731506,0,10000
107314.4351015091,0,0
114760.09020423889,10000,0
114761.09020423889,20000,0
115505.14826393127,10000,10000
115508.0737581253,10000,0
116250.20632362366,0,10000
116252.20632362366,0,0
116992.26438331604,10000,0
117737.32244300842,0,10000
117743.24793720245,0,0
127425.0772190094,10000,0
128170.13527870178,0,10000
128174.06077289581,0,0
128913.19333839417,10000,0
129658.25139808655,0,10000
129664.17689228058,0,0
130403.30945777893,10000,0
130404.30945777893,20000,0
131148.3675174713,10000,10000
131154.29301166534,10000,0
131893.4255771637,0,10000
131897.35107135773,0,0
141581.18035316467,10000,0
142326.23841285706,0,10000
142330.1639070511,0,0
143816.35453224182,10000,0
144561.4125919342,0,10000
144565.33808612823,0,0
154993.22542762756,10000,0
154994.22542762756,20000,0
155738.28348731995,10000,10000
155743.20898151398,10000,0
156483.34154701233,0,10000
156486.34154701233,0,0
157972.4576663971,10000,0
158717.51572608948,0,10000
158721.4412202835,0,0
167659.21244239807,10000,0
168404.27050209045,0,10000
168405.27050209045,10000,10000
168409.19599628448,10000,0
169150.32856178284,0,10000
169153.32856178284,0,0
178835.0833377838,10000,0
179580.1413974762,0,10000
179580.1413974762,10000,10000
179584.06689167023,10000,0
180325.19945716858,0,10000
180329.1249513626,0,0
188520.8381137848,10000,0
189265.89617347717,0,10000
189269.8216676712,0,0
190007.95423316956,10000,0
190008.95423316956,20000,0
190753.01229286194,10000,10000
190753.93778705597,10000,0
191498.07035255432,0,10000
191498.99584674835,0,0
200441.76706886292,10000,0
201186.8251285553,0,10000
201190.75062274933,0,0
203422.99930763245,10000,0
204168.05736732483,0,10000
204170.98286151886,0,0
214595.8702030182,10000,0
215340.92826271057,0,10000
215346.8537569046,0,0
230244.08945655823,10000,0
230245.08945655823,20000,0
230989.1475162506,10000,10000
230993.07301044464,10000,0
231734.205575943,0,10000
231737.205575943,0,0
243655.13453102112,10000,0
244400.1925907135,0,10000
244404.11808490753,0,0
245145.25065040588,10000,0
245890.30871009827,0,10000
245894.2342042923,0,0
254829.00542640686,10000,0
254830.00542640686,20000,0
255574.06348609924,10000,10000
255579.98898029327,10000,0
256319.12154579163,0,10000
256322.12154579163,0,0
257063.179605484,10000,0
257808.2376651764,0,10000
257810.16315937042,0,0
267496.99244117737,10000,0
268242.05050086975,0,10000
268242.05050086975,10000,10000
268243.05050086975,20000,10000
268245.9759950638,20000,0
268984.10856056213,30000,0
268987.10856056213,20000,10000
268990.10856056213,20000,0
269732.1666202545,10000,10000
269735.1666202545,10000,0
270477.2246799469,0,10000
270478.2246799469,0,0
281653.09557533264,10000,0
282398.153635025,0,10000
282398.153635025,10000,10000
282402.07912921906,10000,0
283143.2116947174,0,10000
283143.2116947174,10000,10000
283147.13718891144,10000,0
283888.2697544098,0,10000
283891.2697544098,0,0
284630.3278141022,10000,0
284631.3278141022,20000,0
285375.38587379456,10000,10000
285381.3113679886,10000,0
286120.44393348694,0,10000
286124.36942768097,0,0
294319.08259010315,10000,0
295064.14064979553,0,10000
295068.06614398956,0,0
295806.1987094879,10000,0
296551.2567691803,0,10000
296552.1822633743,0,0
296554.2567691803,10000,0
297299.3148288727,0,10000
297303.2403230667,0,0
298788.43094825745,10000,0
299533.4890079498,0,10000
299533.4890079498,10000,10000
299534.4890079498,20000,10000
299537.41450214386,20000,0
300278.5470676422,10000,10000
300281.5470676422,10000,0
301023.6051273346,0,10000
301026.6051273346,0,0
309220.2437839508,10000,0
309965.3018436432,0,10000
309969.2273378372,0,0
310707.3599033356,10000,0
311452.41796302795,0,10000
311453.343457222,0,0
312201.47602272034,10000,0
312946.5340824127,0,10000
312949.5340824127,0,0
314434.6502017975,10000,0
315179.70826148987,0,10000
315179.70826148987,10000,10000
315183.6337556839,10000,0
315922.76632118225,20000,0
315923.76632118225,30000,0
315924.76632118225,20000,10000
315927.76632118225,20000,0
316669.82438087463,10000,10000
316672.82438087463,10000,0
317414.882440567,0,10000
317416.80793476105,0,0
326357.5791568756,10000,0
327102.637216568,0,10000
327106.562710762,0,0
327843.6952762604,10000,0
328588.75333595276,0,10000
328590.6788301468,0,0
333063.10169410706,10000,0
333808.15975379944,0,10000
333808.15975379944,10000,10000
333812.08524799347,10000,0
334553.2178134918,0,10000
334556.2178134918,0,0
340512.6822910309,10000,0
341257.74035072327,0,10000
341257.74035072327,10000,10000
341261.6658449173,10000,0
342002.79841041565,0,10000
342006.7239046097,0,0
343492.9145298004,10000,0
344236.9725894928,20000,0
344237.9725894928,10000,10000
344240.9725894928,10000,0
344983.0306491852,0,10000
344986.0306491852,0,0
350198.43706703186,10000,0
350199.43706703186,20000,0
350943.49512672424,10000,10000
350947.4206209183,10000,0
351685.5531864166,20000,0
351688.5531864166,10000,10000
351691.5531864166,10000,0
352433.611246109,0,10000
352436.611246109,0,0
353923.7273654938,10000,0
354668.78542518616,0,10000
354669.78542518616,10000,10000
354673.7109193802,10000,0
355414.84348487854,0,10000
355417.84348487854,0,0
362117.36602211,10000,0
362862.42408180237,0,10000
362863.3495759964,0,0
363610.48214149475,10000,0
363611.48214149475,20000,0
364355.54020118713,10000,10000
364355.54020118713,20000,10000
364359.46569538116,20000,0
365100.5982608795,10000,10000
365103.5982608795,10000,0
365841.6563205719,20000,0
365845.6563205719,10000,10000
365848.6563205719,10000,0
366586.7143802643,20000,0
366590.7143802643,10000,10000
366593.7143802643,10000,0
367335.77243995667,0,10000
367338.77243995667,0,0
372551.17885780334,10000,0
373296.2369174957,0,10000
373300.16241168976,0,0
