Time,from_ingress_queue_size,to_ingress_queue_size
3573.9496479034424,1,nan
3574.6947059631348,0,nan
3956.4193744659424,1,nan
3957.1644325256348,0,nan
4574.694705963135,0,1
4574.694705963135,0,0
4957.164432525635,0,1
4957.164432525635,0,0
5576.949647903442,1,0
5577.694705963135,0,0
5957.419374465942,1,0
5958.164432525635,0,0
6577.694705963135,0,1
6577.694705963135,0,0
6958.164432525635,0,1
6958.164432525635,0,0
8148.644353866577,1,0
8149.3894119262695,0,0
8532.114080429077,1,0
8532.85913848877,0,0
9149.38941192627,0,1
9149.38941192627,0,0
9532.85913848877,0,1
9532.85913848877,0,0
12723.339059829712,1,0
12724.084117889404,0,0
13109.808786392212,1,0
13110.553844451904,0,0
13724.084117889404,0,1
13724.084117889404,0,0
14110.553844451904,0,1
14110.553844451904,0,0
17298.033765792847,1,0
17298.77882385254,0,0
17680.503492355347,1,0
17681.24855041504,0,0
18061.973218917847,1,0
18062.71827697754,0,0
18298.77882385254,0,1
18298.77882385254,0,0
18443.442945480347,1,0
18444.18800354004,0,0
18681.24855041504,0,1
18681.24855041504,0,0
19062.71827697754,0,1
19062.71827697754,0,0
19444.18800354004,0,1
19444.18800354004,0,0
21872.72847175598,1,0
21873.473529815674,0,0
22258.19819831848,1,0
22258.943256378174,0,0
22639.66792488098,1,0
22640.412982940674,0,0
22873.473529815674,0,1
22873.473529815674,0,0
23021.13765144348,1,0
23021.882709503174,0,0
23258.943256378174,0,1
23258.943256378174,0,0
23640.412982940674,0,1
23640.412982940674,0,0
24021.882709503174,0,1
24021.882709503174,0,0
26447.423177719116,1,0
26448.16823577881,0,0
26835.892904281616,1,0
26836.63796234131,0,0
27217.362630844116,1,0
27218.10768890381,0,0
27448.16823577881,0,1
27448.16823577881,0,0
27598.832357406616,1,0
27599.57741546631,0,0
27836.63796234131,0,1
27836.63796234131,0,0
28218.10768890381,0,1
28218.10768890381,0,0
28599.57741546631,0,1
28599.57741546631,0,0
31022.11788368225,1,0
31022.862941741943,0,0
31404.58761024475,1,0
31405.332668304443,0,0
31786.05733680725,1,0
31786.802394866943,0,0
32022.862941741943,0,1
32022.862941741943,0,0
32167.52706336975,1,0
32168.272121429443,0,0
32405.332668304443,0,1
32405.332668304443,0,0
32548.99678993225,1,0
32549.741847991943,0,0
32786.80239486694,0,1
32786.80239486694,0,0
32930.46651649475,1,0
32931.21157455444,0,0
33168.27212142944,0,1
33168.27212142944,0,0
33549.74184799194,0,1
33549.74184799194,0,0
33931.21157455444,0,1
33931.21157455444,0,0
35596.812589645386,1,0
35597.55764770508,0,0
35982.282316207886,1,0
35983.02737426758,0,0
36363.752042770386,1,0
36364.49710083008,0,0
36597.55764770508,0,1
36597.55764770508,0,0
36745.221769332886,1,0
36745.96682739258,0,0
36983.02737426758,0,1
36983.02737426758,0,0
37126.691495895386,1,0
37127.43655395508,0,0
37364.49710083008,0,1
37364.49710083008,0,0
37508.161222457886,1,0
37508.90628051758,0,0
37745.96682739258,0,1
37745.96682739258,0,0
38127.43655395508,0,1
38127.43655395508,0,0
38508.90628051758,0,1
38508.90628051758,0,0
40171.50729560852,1,0
40172.25235366821,0,0
40559.97702217102,1,0
40560.72208023071,0,0
40941.44674873352,1,0
40942.19180679321,0,0
41172.25235366821,0,1
41172.25235366821,0,0
41322.91647529602,1,0
41323.66153335571,0,0
41560.72208023071,0,1
41560.72208023071,0,0
41704.38620185852,1,0
41705.13125991821,0,0
41942.19180679321,0,1
41942.19180679321,0,0
42085.85592842102,1,0
42086.60098648071,0,0
42323.66153335571,0,1
42323.66153335571,0,0
42705.13125991821,0,1
42705.13125991821,0,0
43086.60098648071,0,1
43086.60098648071,0,0
44746.202001571655,1,0
44746.94705963135,0,0
45137.671728134155,1,0
45138.41678619385,0,0
45519.141454696655,1,0
45519.88651275635,0,0
45746.94705963135,0,1
45746.94705963135,0,0
45900.611181259155,1,0
45901.35623931885,0,0
46138.41678619385,0,1
46138.41678619385,0,0
46282.080907821655,1,0
46282.82596588135,0,0
46519.88651275635,0,1
46519.88651275635,0,0
46663.550634384155,1,0
46664.29569244385,0,0
46901.35623931885,0,1
46901.35623931885,0,0
47044.020360946655,1,0
47044.76541900635,0,0
47282.82596588135,0,1
47282.82596588135,0,0
47664.29569244385,0,1
47664.29569244385,0,0
48044.76541900635,0,1
48044.76541900635,0,0
49320.89670753479,1,0
49321.64176559448,0,0
49713.36643409729,1,0
49714.11149215698,0,0
50096.83616065979,1,0
50097.58121871948,0,0
50321.64176559448,0,1
50321.64176559448,0,0
50478.30588722229,1,0
50479.05094528198,0,0
50714.11149215698,0,1
50714.11149215698,0,0
50859.77561378479,1,0
50860.52067184448,0,0
51097.58121871948,0,1
51097.58121871948,0,0
51241.24534034729,1,0
51241.99039840698,0,0
51479.05094528198,0,1
51479.05094528198,0,0
51621.71506690979,1,0
51622.46012496948,0,0
51860.52067184448,0,1
51860.52067184448,0,0
52241.99039840698,0,1
52241.99039840698,0,0
52622.46012496948,0,1
52622.46012496948,0,0
53895.591413497925,1,0
53896.33647155762,0,0
54289.061140060425,1,0
54289.80619812012,0,0
