Time,from_ingress_queue_size,to_ingress_queue_size
3728.36,1,nan
3728.44,0,0
9687.83,1,0
9687.9,0,0
11176.9,1,0
11177,0,0
20863.7,1,0
20863.8,0,0
22353.8,1,0
22353.9,0,0
23842.9,1,0
23843,0,0
24592,1,0
24592.1,0,0
34278.7,1,0
34278.8,0,0
36509.9,1,0
36510,0,0
37999,1,0
37999.1,0,0
39494.2,1,0
39494.2,0,0
46195.7,1,0
46195.7,0,0
49178.9,1,0
49179,0,0
50670,1,0
50670.1,0,0
52155.1,1,0
52155.2,0,0
62591,1,0
62591,0,0
64076.1,1,0
64076.1,0,0
64826.1,1,0
64826.2,0,0
75255.9,1,0
75256,0,0
76002,1,0
76002.1,0,0
76742.1,1,0
76742.1,0,0
78232.2,1,0
78232.2,0,0
87921.9,1,0
87922,0,0
88668,1,0
88668.1,0,0
89413,1,0
89413.1,0,0
99098.8,1,0
99098.9,0,0
99839.9,1,0
99839.9,0,0
101329,1,0
101329,0,0
111761,1,0
111761,0,0
112506,1,0
112506,0,0
113995,1,0
113995,0,0
115490,1,0
115490,0,0
126662,1,0
126662,0,0
127407,1,0
127407,0,0
128901,1,0
128901,0,0
141563,1,0
141563,0,0
142308,1,0
142308,0,0
143797,1,0
143797,0,0
154974,1,0
154974,0,0
155719,1,0
155719,0,0
157208,1,0
157208,0,0
157957,1,0
157957,0,0
168385,1,0
168385,0,0
169874,1,0
169874,0,0
171364,1,0
171365,0,0
172113,1,0
172114,0,0
172859,1,0
172859,0,0
180306,1,0
180306,0,0
182541,1,0
182541,0,0
184779,1,0
184780,0,0
192972,1,0
192972,0,0
195206,1,0
195206,0,0
197445,1,0
197446,0,0
207132,1,0
207132,0,0
208617,1,0
208617,0,0
210112,1,0
210113,0,0
211603,1,0
211603,0,0
219050,1,0
219050,0,0
219794,1,0
219794,0,0
220539,1,0
220539,0,0
229481,1,0
229481,0,0
230969,1,0
230969,0,0
231715,1,0
231715,0,0
240657,1,0
240657,0,0
242145,1,0
242145,0,0
251832,1,0
251832,0,0
254066,1,0
254066,0,0
265243,1,0
265243,0,0
266732,1,0
266732,0,0
268967,1,0
268967,0,0
281635,1,0
281635,0,0
283123,1,0
283123,0,0
284614,1,0
284614,0,0
285359,1,0
285359,0,0
295791,1,0
295791,0,0
298770,1,0
298770,0,0
299515,1,0
299515,0,0
307712,1,0
307712,0,0
310691,1,0
310691,0,0
317398,1,0
317398,0,0
321122,1,0
321122,0,0
328575,1,0
328575,0,0
332298,1,0
332298,0,0
333787,1,0
333787,0,0
345713,1,0
345713,0,0
347198,1,0
347198,0,0
353161,1,0
353161,0,0
353906,1,0
353906,0,0
354649,1,0
354649,0,0
359866,1,0
359866,0,0
360611,1,0
360611,0,0
361354,1,0
361354,0,0
362844,1,0
362844,0,0
368062,1,0
368062,0,0
368807,1,0
368807,0,0
369552,1,0
369552,0,0
371040,1,0
371040,0,0
376260,1,0
376260,0,0
377751,1,0
377751,0,0
378496,1,0
378496,0,0
379986,1,0
379986,0,0
