Time,from_ingress_queue_size,to_ingress_queue_size
6572.2,1,nan
6572.95,0,nan
6953.67,1,nan
6954.42,0,nan
7572.95,0,0
7954.42,0,1
7956.42,0,0
11145.9,1,0
11146.6,0,0
11529.4,1,0
11530.1,0,0
12146.6,0,0
12530.1,0,1
12532.1,0,0
15719.6,1,0
15720.3,0,0
16105.1,1,0
16105.8,0,0
16720.3,0,0
17105.8,0,1
17107.8,0,0
20293.3,1,0
20294,0,0
20674.8,1,0
20675.5,0,0
21056.2,1,0
21057,0,0
21294,0,0
21437.7,1,0
21438.4,0,0
21675.5,0,1
21677.5,0,0
22057,0,1
22059,0,0
22438.4,0,1
22440.4,0,0
24867,1,0
24867.7,0,0
25252.5,1,0
25253.2,0,0
25633.9,1,0
25634.7,0,0
25867.7,0,0
26015.4,1,0
26016.1,0,0
26253.2,0,1
26255.2,0,0
26634.7,0,1
26636.7,0,0
27016.1,0,1
27018.1,0,0
29440.7,1,0
29441.4,0,0
29830.1,1,0
29830.9,0,0
30211.6,1,0
30212.4,0,0
30441.4,0,0
30593.1,1,0
30593.8,0,0
30830.9,0,1
30832.9,0,0
31212.4,0,1
31214.4,0,0
31593.8,0,1
31595.8,0,0
34014.4,1,0
34015.1,0,0
34395.8,1,0
34396.6,0,0
34777.3,1,0
34778.1,0,0
35015.1,0,0
35158.8,1,0
35159.5,0,0
35396.6,0,1
35398.6,0,0
35540.3,1,0
35541,0,0
35778.1,0,1
35780.1,0,0
35921.7,1,0
35922.5,0,0
36159.5,0,1
36161.5,0,0
36541,0,1
36543,0,0
36922.5,0,1
36924.5,0,0
38588.1,1,0
38588.8,0,0
38973.5,1,0
38974.3,0,0
39355,1,0
39355.8,0,0
39588.8,0,0
39736.5,1,0
39737.2,0,0
39974.3,0,1
39976.3,0,0
40117.9,1,0
40118.7,0,0
40355.8,0,1
40357.8,0,0
40499.4,1,0
40500.2,0,0
40737.2,0,1
40739.2,0,0
41118.7,0,1
41120.7,0,0
41500.2,0,1
41502.2,0,0
43161.8,1,0
43162.5,0,0
43551.2,1,0
43552,0,0
43932.7,1,0
43933.4,0,0
44162.5,0,0
44314.2,1,0
