Time,from_ingress_queue_size,to_ingress_queue_size
3728.36,1,nan
3728.44,0,0
9687.83,1,0
9687.9,0,0
11176.9,1,0
11177,0,0
20863.7,1,0
20863.8,0,0
22353.8,1,0
22353.9,0,0
23846.9,1,0
23847,0,0
24593,1,0
24593.1,0,0
34278.7,1,0
34278.8,0,0
35763.9,1,0
35763.9,0,0
36509.9,1,0
36510,0,0
38004,1,0
38004.1,0,0
44705.6,1,0
44705.6,0,0
46940.7,1,0
46940.8,0,0
47685.8,1,0
47685.9,0,0
49174.9,1,0
49175,0,0
56626.5,1,0
56626.6,0,0
58861.7,1,0
58861.7,0,0
59610.7,1,0
59610.8,0,0
61095.8,1,0
61095.9,0,0
61844.9,1,0
61845,0,0
72276.7,1,0
72276.8,0,0
73761.8,1,0
73761.9,0,0
74506.9,1,0
74507,0,0
75997,1,0
75997.1,0,0
76746.1,1,0
76746.1,0,0
87918.9,1,0
87919,0,0
89413,1,0
89413.1,0,0
90158.1,1,0
90158.2,0,0
90903.2,1,0
90903.2,0,0
92388.3,1,0
92388.3,0,0
93878.4,1,0
93878.5,0,0
99839.9,1,0
99839.9,0,0
100585,1,0
100585,0,0
101329,1,0
101329,0,0
102819,1,0
102819,0,0
109526,1,0
109526,0,0
110271,1,0
110271,0,0
111015,1,0
111015,0,0
112505,1,0
112505,0,0
114000,1,0
114000,0,0
122941,1,0
122941,0,0
123686,1,0
123686,0,0
124426,1,0
124426,0,0
125916,1,0
125916,0,0
127410,1,0
127410,0,0
128901,1,0
128901,0,0
136348,1,0
136348,0,0
137093,1,0
137093,0,0
137837,1,0
137837,0,0
146033,1,0
146034,0,0
146779,1,0
146779,0,0
147523,1,0
147523,0,0
149013,1,0
149013,0,0
159444,1,0
159445,0,0
160190,1,0
160190,0,0
160934,1,0
160934,0,0
162424,1,0
162424,0,0
163174,1,0
163174,0,0
174346,1,0
174346,0,0
175091,1,0
175091,0,0
175836,1,0
175836,0,0
176585,1,0
176585,0,0
187757,1,0
187757,0,0
188502,1,0
188502,0,0
189251,1,0
189251,0,0
201168,1,0
201168,0,0
201913,1,0
201913,0,0
213834,1,0
213834,0,0
228735,1,0
228735,0,0
230224,1,0
230224,0,0
245126,1,0
245126,0,0
256302,1,0
256302,0,0
258537,1,0
258537,0,0
266733,1,0
266733,0,0
269716,1,0
269716,0,0
278654,1,0
278654,0,0
279399,1,0
279399,0,0
289085,1,0
289085,0,0
289830,1,0
289830,0,0
301006,1,0
301006,0,0
302495,1,0
302495,0,0
314421,1,0
314421,0,0
315911,1,0
315911,0,0
327828,1,0
327828,0,0
328573,1,0
328573,0,0
336768,1,0
336768,0,0
337513,1,0
337513,0,0
347948,1,0
347948,0,0
348693,1,0
348693,0,0
350178,1,0
350178,0,0
356140,1,0
356140,0,0
356885,1,0
356885,0,0
358379,1,0
358379,0,0
363593,1,0
363593,0,0
364339,1,0
364340,0,0
365825,1,0
365825,0,0
370299,1,0
370299,0,0
371044,1,0
371044,0,0
372535,1,0
372535,0,0
373279,1,0
373279,0,0
377751,1,0
377751,0,0
