Time,from_ingress_queue_size,to_ingress_queue_size
2381.47,1,nan
2382.21,0,nan
3382.21,0,1
3383.21,0,0
6767.43,1,0
6768.17,0,0
7768.17,0,1
7769.17,0,0
11153.4,1,0
11154.1,0,0
12154.1,0,1
12155.1,0,0
15539.3,1,0
15540.1,0,0
15730.1,1,0
15730.8,0,0
16540.1,0,1
16541.1,0,0
16730.8,0,1
16731.8,0,0
19925.3,1,0
19926.1,0,0
20116,1,0
20116.8,0,0
20926.1,0,1
20927.1,0,0
21116.8,0,1
21117.8,0,0
24311.3,1,0
24312,0,0
24502,1,0
24502.7,0,0
25312,0,1
25313,0,0
25502.7,0,1
25503.7,0,0
28697.2,1,0
28698,0,0
28888,1,0
28888.7,0,0
29078.7,1,0
29079.4,0,0
29698,0,1
29699,0,0
29888.7,0,1
29889.7,0,0
30079.4,0,1
30080.4,0,0
33083.2,1,0
33083.9,0,0
33273.9,1,0
33274.7,0,0
33464.7,1,0
33465.4,0,0
34083.9,0,1
34084.9,0,0
34274.7,0,1
34275.7,0,0
34465.4,0,1
34466.4,0,0
37469.1,1,0
37469.9,0,0
37659.9,1,0
37660.6,0,0
37850.6,1,0
37851.4,0,0
38041.4,1,0
38042.1,0,0
38469.9,0,1
38470.9,0,0
38660.6,0,1
38661.6,0,0
38851.4,0,1
38852.4,0,0
39042.1,0,1
39043.1,0,0
41855.1,1,0
41855.9,0,0
42045.8,1,0
42046.6,0,0
42236.6,1,0
42237.3,0,0
42427.3,1,0
42428.1,0,0
42855.9,0,1
42856.9,0,0
43046.6,0,1
43047.6,0,0
43237.3,0,1
43238.3,0,0
43428.1,0,1
43429.1,0,0
46241.1,1,0
46241.8,0,0
46431.8,1,0
46432.5,0,0
46622.5,1,0
46623.3,0,0
46813.3,1,0
46814,0,0
47241.8,0,1
47242.8,0,0
47432.5,0,1
47433.5,0,0
47623.3,0,1
47624.3,0,0
47814,0,1
47815,0,0
50627,1,0
50627.8,0,0
50817.8,1,0
