Time,from_ingress_queue_size,to_ingress_queue_size
0,10000,nan
745.058,0,10000
749.058,0,0
4473.5,10000,0
4474.5,20000,0
5218.56,10000,10000
5221.56,10000,0
5963.61,0,10000
5966.61,0,0
11922.1,10000,0
11923.1,20000,0
12667.1,10000,10000
12672.1,10000,0
13411.2,20000,0
13412.2,20000,10000
13416.2,20000,0
14157.3,10000,10000
14159.2,10000,0
14902.3,0,10000
14905.2,0,0
23843,10000,0
23844,20000,0
24588.1,10000,10000
24593,10000,0
25333.1,0,10000
25337.1,0,0
26823.2,10000,0
27568.3,0,10000
27573.2,0,0
38003.1,10000,0
38748.2,0,10000
38753.1,0,0
39488.2,10000,0
40233.3,0,10000
40237.2,0,0
41724.4,10000,0
42469.5,0,10000
42474.4,0,0
48430.9,10000,0
48431.9,20000,0
49176,10000,10000
49180,10000,0
49921,0,10000
49925,0,0
59606.8,10000,0
59607.8,20000,0
60350.9,30000,0
60351.9,20000,10000
60355.9,20000,0
61096.9,10000,10000
61100.9,10000,0
61842,0,10000
61846,0,0
72271.8,10000,0
73016.8,10000,10000
73021.8,10000,0
73760.9,20000,0
73761.9,20000,10000
73765.9,20000,0
74507,10000,10000
74511,10000,0
75252,0,10000
75255.9,0,0
85682.8,10000,0
86427.9,10000,10000
86432.8,10000,0
87171.9,20000,0
87172.9,10000,10000
87176.9,10000,0
87918,0,10000
87922,0,0
88662.1,10000,0
88663.1,20000,0
89407.1,10000,10000
89411,10000,0
90152.2,0,10000
90156.1,0,0
100584,10000,0
101329,0,10000
101334,0,0
102823,10000,0
103568,10000,10000
103573,10000,0
104313,0,10000
104317,0,0
117720,10000,0
118465,10000,10000
118470,10000,0
119209,20000,0
119210,20000,10000
119214,20000,0
119955,10000,10000
119959,10000,0
120701,0,10000
120705,0,0
131131,10000,0
131876,0,10000
131879,0,0
131880,10000,0
132625,10000,10000
132630,10000,0
133366,20000,0
133367,30000,0
133371,20000,10000
133375,20000,0
134116,10000,10000
134120,10000,0
134861,0,10000
134865,0,0
144543,10000,0
145288,0,10000
145292,0,0
147527,10000,0
148272,0,10000
148277,0,0
157953,10000,0
157954,20000,0
158699,20000,10000
158703,20000,0
159444,10000,10000
159448,10000,0
160189,0,10000
160193,0,0
169129,10000,0
169874,10000,10000
169879,10000,0
170619,0,10000
170623,0,0
171364,10000,0
171365,20000,0
172109,10000,10000
172114,10000,0
172854,0,10000
172859,0,0
184030,10000,0
184776,0,10000
184780,0,0
187015,10000,0
187016,20000,0
187760,10000,10000
187765,10000,0
188505,0,10000
188509,0,0
199681,10000,0
200426,0,10000
200430,0,0
201166,10000,0
201911,0,10000
201917,0,0
202656,10000,0
203401,0,10000
203404,0,0
210853,10000,0
210854,20000,0
211598,10000,10000
211603,10000,0
212342,20000,0
212343,10000,10000
212347,10000,0
213088,0,10000
213092,0,0
213832,10000,0
214577,0,10000
214580,0,0
222774,10000,0
223519,0,10000
223523,0,0
224263,10000,0
224264,20000,0
225008,10000,10000
225014,10000,0
225753,10000,10000
225758,10000,0
226498,0,10000
226503,0,0
238424,10000,0
239169,10000,10000
239174,10000,0
239909,20000,0
239914,10000,10000
239918,10000,0
240659,0,10000
240663,0,0
250341,10000,0
251086,10000,10000
251087,20000,10000
251091,20000,0
251831,20000,10000
251836,20000,0
252576,10000,10000
252580,10000,0
253321,0,10000
253325,0,0
260026,10000,0
260771,0,10000
260776,0,0
261516,10000,0
262261,0,10000
262265,0,0
262266,10000,0
262267,20000,0
263011,10000,10000
263016,10000,0
263751,20000,0
263756,10000,10000
263760,10000,0
264501,0,10000
264505,0,0
272696,10000,0
273441,10000,10000
273446,10000,0
274182,20000,0
274187,10000,10000
274191,10000,0
274932,0,10000
274936,0,0
275672,10000,0
276417,0,10000
276419,0,0
276420,10000,0
276421,20000,0
277165,10000,10000
277166,10000,0
277910,0,10000
277911,0,0
285359,10000,0
286104,0,10000
286109,0,0
289086,10000,0
289831,10000,10000
289832,20000,10000
289836,20000,0
290576,10000,10000
290580,10000,0
291321,0,10000
291324,0,0
298770,10000,0
299515,0,10000
299520,0,0
301007,10000,0
301752,0,10000
301753,0,0
301754,10000,0
302499,0,10000
302504,0,0
303239,10000,0
303984,0,10000
303988,0,0
309946,10000,0
309947,20000,0
310691,10000,10000
310693,10000,0
311436,0,10000
311438,0,0
311439,10000,0
312182,20000,0
312184,10000,10000
312188,10000,0
312925,20000,0
312930,10000,10000
312934,10000,0
313675,0,10000
313679,0,0
318143,10000,0
318887,20000,0
318888,20000,10000
318892,20000,0
319633,10000,10000
319637,10000,0
320375,20000,0
320378,10000,10000
320380,10000,0
321120,20000,0
321123,10000,10000
321125,10000,0
321865,20000,0
321868,10000,10000
321872,10000,0
322613,0,10000
322617,0,0
327829,10000,0
328574,0,10000
328578,0,0
