Time,from_ingress_queue_size,to_ingress_queue_size
3728.36,1,nan
3728.44,0,0
9687.83,1,0
9687.9,0,0
11176.9,1,0
11177,0,0
20863.7,1,0
20863.8,0,0
22352.8,1,0
22352.9,0,0
23842.9,1,0
23843,0,0
24592,1,0
24592.1,0,0
34274.7,1,0
34274.8,0,0
35763.9,1,0
35763.9,0,0
37259,1,0
37259.1,0,0
38749.1,1,0
38749.2,0,0
44705.6,1,0
44705.6,0,0
46194.7,1,0
46194.7,0,0
47689.8,1,0
47689.9,0,0
49174.9,1,0
49175,0,0
56630.5,1,0
56630.6,0,0
58120.6,1,0
58120.7,0,0
59610.7,1,0
59610.8,0,0
61095.8,1,0
61095.9,0,0
61844.9,1,0
61845,0,0
70037.5,1,0
70037.6,0,0
71530.6,1,0
71530.7,0,0
72275.7,1,0
72275.8,0,0
81217.4,1,0
81217.5,0,0
83451.6,1,0
83451.7,0,0
84196.6,1,0
84196.7,0,0
96118.6,1,0
96118.6,0,0
96863.6,1,0
96863.7,0,0
98348.7,1,0
98348.8,0,0
107294,1,0
107295,0,0
108039,1,0
108040,0,0
109525,1,0
109525,0,0
111020,1,0
111020,0,0
119959,1,0
119959,0,0
120705,1,0
120706,0,0
122191,1,0
122191,0,0
123686,1,0
123686,0,0
125176,1,0
125176,0,0
134116,1,0
134116,0,0
134862,1,0
134862,0,0
137842,1,0
137842,0,0
147524,1,0
147524,0,0
148269,1,0
148269,0,0
150507,1,0
150507,0,0
160194,1,0
160194,0,0
162428,1,0
162428,0,0
170620,1,0
170620,0,0
172859,1,0
172859,0,0
174349,1,0
174349,0,0
183286,1,0
183286,0,0
185525,1,0
185525,0,0
187760,1,0
187760,0,0
188504,1,0
188504,0,0
198192,1,0
198192,0,0
200422,1,0
200422,0,0
202661,1,0
202661,0,0
203405,1,0
203405,0,0
209363,1,0
209363,0,0
210853,1,0
210853,0,0
214582,1,0
214582,0,0
222029,1,0
222029,0,0
223518,1,0
223519,0,0
228738,1,0
228738,0,0
236931,1,0
236931,0,0
238421,1,0
238421,0,0
239169,1,0
239169,0,0
245873,1,0
245873,0,0
251832,1,0
251832,0,0
254071,1,0
254071,0,0
254815,1,0
254815,0,0
255561,1,0
255561,0,0
265247,1,0
265247,0,0
265991,1,0
265991,0,0
266732,1,0
266732,0,0
274928,1,0
274929,0,0
275674,1,0
275674,0,0
276418,1,0
276418,0,0
287594,1,0
287595,0,0
288340,1,0
288340,0,0
289084,1,0
289084,0,0
290574,1,0
290574,0,0
300260,1,0
300261,0,0
301006,1,0
301006,0,0
301750,1,0
301750,0,0
302495,1,0
302495,0,0
303240,1,0
303240,0,0
311436,1,0
311436,0,0
312181,1,0
312181,0,0
312925,1,0
312926,0,0
313671,1,0
313671,0,0
314416,1,0
314416,0,0
315906,1,0
315906,0,0
324847,1,0
324847,0,0
325592,1,0
325593,0,0
326338,1,0
326338,0,0
327082,1,0
327082,0,0
327832,1,0
327832,0,0
329322,1,0
329322,0,0
330065,1,0
330065,0,0
339003,1,0
339004,0,0
340494,1,0
340494,0,0
