Time,from_ingress_queue_size,to_ingress_queue_size
4577.64,1,nan
4578.38,0,1
4579.38,0,0
12213,1,0
12213.8,0,1
12214.8,0,0
13738.9,1,0
13739.7,0,1
13740.7,0,0
24430.3,1,0
24431,0,1
24432,0,0
25956.2,1,0
25956.9,0,1
25957.9,0,0
27482.1,1,0
27482.8,0,1
27483.8,0,0
29007.9,1,0
29008.7,0,1
29009.7,0,0
42740.8,1,0
42741.6,0,1
42742.6,0,0
44266.7,1,0
44267.5,0,1
44268.5,0,0
45792.6,1,0
45793.3,0,1
45794.3,0,0
47318.5,1,0
47319.2,0,1
47320.2,0,0
61051.4,1,0
61052.1,0,1
61053.1,0,0
62577.3,1,0
62578,0,1
62579,0,0
64103.1,1,0
64103.9,0,1
64104.9,0,0
68680.8,1,0
68681.5,0,1
68682.5,0,0
76310.2,1,0
76310.9,0,1
76311.9,0,0
77836.1,1,0
77836.8,0,1
77837.8,0,0
82413.7,1,0
82414.4,0,1
82415.4,0,0
90043.1,1,0
90043.8,0,1
90044.8,0,0
91569,1,0
91569.7,0,1
91570.7,0,0
99198.4,1,0
99199.1,0,1
99200.1,0,0
100724,1,0
100725,0,1
100726,0,0
108366,1,0
108367,0,1
108368,0,0
109892,1,0
109892,0,1
109893,0,0
111418,1,0
111418,0,1
111419,0,0
119047,1,0
119048,0,1
119049,0,0
120573,1,0
120574,0,1
120575,0,0
128215,1,0
128215,0,1
128216,0,0
129740,1,0
129741,0,1
129742,0,0
131266,1,0
131267,0,1
131268,0,0
141947,1,0
141948,0,1
141949,0,0
143473,1,0
143474,0,1
143475,0,0
144999,1,0
145000,0,1
145001,0,0
146525,1,0
146526,0,1
146527,0,0
160258,1,0
160259,0,1
160260,0,0
161784,1,0
161785,0,1
161786,0,0
163310,1,0
163310,0,1
163311,0,0
164836,1,0
164836,0,1
164837,0,0
178569,1,0
178569,0,1
178570,0,0
180094,1,0
180095,0,1
180096,0,0
181620,1,0
181621,0,1
181622,0,0
192301,1,0
192302,0,1
192303,0,0
193827,1,0
193828,0,1
193829,0,0
207560,1,0
207561,0,1
207562,0,0
209086,1,0
209087,0,1
209088,0,0
213664,1,0
213664,0,1
213665,0,0
221293,1,0
221294,0,1
221295,0,0
225871,1,0
225872,0,1
225873,0,0
233500,1,0
233501,0,1
233502,0,0
235026,1,0
235027,0,1
235028,0,0
239604,1,0
239604,0,1
239605,0,0
247233,1,0
247234,0,1
247235,0,0
248759,1,0
248760,0,1
248761,0,0
250285,1,0
250286,0,1
250287,0,0
254862,1,0
254863,0,1
254864,0,0
262492,1,0
262493,0,1
262494,0,0
264018,1,0
264019,0,1
264020,0,0
265544,1,0
265544,0,1
265545,0,0
270121,1,0
270122,0,1
270123,0,0
271647,1,0
271648,0,1
271649,0,0
279277,1,0
279277,0,1
279278,0,0
280802,1,0
280803,0,1
280804,0,0
282328,1,0
282329,0,1
282330,0,0
286906,1,0
286907,0,1
286908,0,0
288432,1,0
288433,0,1
288434,0,0
289958,1,0
289958,0,1
289959,0,0
294535,1,0
294536,0,1
294537,0,0
296061,1,0
296062,0,1
296063,0,0
300639,1,0
300640,0,1
300641,0,0
302165,1,0
302165,0,1
302166,0,0
303691,1,0
303691,0,1
303692,0,0
305216,1,0
305217,0,1
305218,0,0
306742,1,0
306743,0,1
306744,0,0
308268,1,0
308269,0,1
308270,0,0
309794,1,0
309795,0,1
309796,0,0
314372,1,0
314373,0,1
314374,0,0
315898,1,0
315898,0,1
315899,0,0
320475,1,0
320476,0,1
320477,0,0
322001,1,0
322002,0,1
322003,0,0
323527,1,0
323528,0,1
323529,0,0
325053,1,0
325054,0,1
325055,0,0
326579,1,0
326580,0,1
326581,0,0
328105,1,0
328105,0,1
328106,0,0
329631,1,0
329631,0,1
329632,0,0
334208,1,0
