Time,from_ingress_queue_size,to_ingress_queue_size
1909.35,256,nan
3816.7,0,nan
3817.7,0,0
5742.95,256,0
7650.3,0,0
7651.3,0,0
7652.3,256,0
9559.64,0,0
9560.64,0,0
9576.55,256,0
11483.9,0,0
11484.9,0,0
11485.9,256,0
13391.2,512,0
13393.2,256,0
13394.2,256,0
15298.6,512,0
15300.6,256,0
15301.6,256,0
17205.9,512,0
17207.9,256,0
17208.9,256,0
19113.3,512,0
19115.3,256,0
19116.3,256,0
21020.6,512,0
21022.6,256,0
21023.6,256,0
22928,512,0
22930,256,0
22931,256,0
24835.3,512,0
24837.3,256,0
24838.3,256,0
26742.7,512,0
26744.7,256,0
26745.7,256,0
28650,512,0
28652,256,0
28653,256,0
30557.4,512,0
30559.4,256,0
30560.4,256,0
32464.7,512,0
32466.7,256,0
32467.7,256,0
34372.1,512,0
34374.1,256,0
34375.1,256,0
36279.4,512,0
36281.4,256,0
36282.4,256,0
38186.8,512,0
38188.8,256,0
38189.8,256,0
40094.1,512,0
40096.1,256,0
40097.1,256,0
42001.5,512,0
42003.5,256,0
42004.5,256,0
43908.8,512,0
43910.8,256,0
43911.8,256,0
45816.2,512,0
45818.2,256,0
45819.2,256,0
47723.5,512,0
47725.5,256,0
47726.5,256,0
49630.9,512,0
49632.9,256,0
49633.9,256,0
51538.2,512,0
51540.2,256,0
51541.2,256,0
53445.6,512,0
53447.6,256,0
53448.6,256,0
55352.9,512,0
55354.9,256,0
55355.9,256,0
57260.3,512,0
57262.3,256,0
57263.3,256,0
59167.6,512,0
59169.6,256,0
59170.6,256,0
61075,512,0
61077,256,0
61078,256,0
62982.3,512,0
62984.3,256,0
62985.3,256,0
64889.7,512,0
64891.7,256,0
64892.7,256,0
66797,512,0
66799,256,0
66800,256,0
68704.4,512,0
68706.4,256,0
68707.4,256,0
70611.7,512,0
70613.7,256,0
70614.7,256,0
72519.1,512,0
72521.1,256,0
72522.1,256,0
74426.4,512,0
74428.4,256,0
74429.4,256,0
76333.7,512,0
76335.7,256,0
76336.7,256,0
78241.1,512,0
78243.1,256,0
78244.1,256,0
80148.4,512,0
80150.4,256,0
80151.4,256,0
82055.8,512,0
82057.8,256,0
82058.8,256,0
83963.1,512,0
83965.1,256,0
83966.1,256,0
85870.5,512,0
85872.5,256,0
85873.5,256,0
87777.8,512,0
87779.8,256,0
87780.8,256,0
89685.2,512,0
89687.2,256,0
89688.2,256,0
91592.5,512,0
91594.5,256,0
91595.5,256,0
93499.9,512,0
93501.9,256,0
93502.9,256,0
95407.2,512,0
95409.2,256,0
