Time,from_ingress_queue_size,to_ingress_queue_size
0,1500,nan
111.759,0,1500
117.759,0,0
673.701,1500,0
674.701,3000,0
785.46,1500,0
897.219,0,1500
902.144,0,0
1566.77,1500,0
1567.77,3000,0
1678.53,1500,0
1790.29,0,1500
1796.29,0,0
1905.05,1500,0
1906.05,3000,0
2016.81,1500,1500
2022.73,1500,0
2128.56,0,1500
2129.49,0,0
3354.91,1500,0
3355.91,3000,0
3466.67,1500,0
3578.43,0,0
4247.98,1500,0
4359.74,0,1500
4365.66,0,0
6260.64,1500,0
6372.4,0,0
6487.15,1500,0
6598.91,0,1500
6600.84,0,0
7488.98,1500,0
7600.74,0,1500
7601.67,0,0
8942.85,1500,0
8943.85,3000,0
9053.6,4500,0
9054.6,3000,0
9166.36,1500,0
9278.12,0,1500
9282.05,0,0
10735,1500,0
10736,3000,0
10841.7,4500,0
10846.7,3000,0
10958.5,1500,0
11070.3,0,1500
11076.2,0,0
12299.6,1500,0
12411.4,1500,1500
12412.3,1500,0
12523.1,0,0
12633.9,1500,0
12634.9,3000,0
12745.6,1500,0
12857.4,0,0
14083.7,1500,0
14194.5,3000,0
14195.5,1500,0
14307.3,0,1500
14311.2,0,0
14422,1500,0
14533.8,0,0
14645.5,1500,0
14646.5,3000,0
14757.3,1500,1500
14763.2,1500,0
14869.1,0,1500
14870,0,0
15875.9,1500,0
15982.6,3000,0
15987.6,1500,0
16099.4,0,0
16210.2,1500,0
16321.9,0,1500
16323.8,0,0
17213,1500,0
17324.7,0,0
17435.5,1500,0
17547.3,1500,1500
17548.2,1500,0
17659,0,1500
17664,0,0
18554.1,1500,0
18665.9,0,0
18893.4,1500,0
19000.1,3000,0
19001.1,4500,0
19005.1,3000,1500
19010.1,3000,0
19116.9,1500,0
19228.6,0,1500
19234.6,0,0
20122.7,1500,0
20234.5,0,0
20569.8,1500,0
20681.5,1500,1500
20682.4,1500,0
20793.3,0,0
20904,1500,0
20905,3000,0
21015.8,1500,1500
21017.7,1500,0
21127.5,0,1500
21128.5,0,0
22469.6,1500,0
22470.6,3000,0
22581.4,3000,1500
22582.3,3000,0
22693.2,1500,0
22804.9,0,1500
22810.9,0,0
23582.2,1500,0
23694,1500,1500
23694.9,1500,0
23805.8,0,1500
23810.7,0,0
23921.5,1500,0
23922.5,3000,0
24033.3,1500,0
24145,0,0
24928.3,1500,0
25035.1,3000,0
25040.1,1500,0
25151.9,0,0
25262.6,1500,0
25374.4,0,0
25486.1,1500,0
25487.1,3000,0
25597.9,1500,1500
25603.8,1500,0
25709.7,0,1500
25710.6,0,0
26488,1500,0
26599.7,0,1500
26600.6,0,0
26715.5,1500,0
26827.2,0,1500
26829.2,0,0
26939,1500,0
27050.8,0,0
27273.3,1500,0
27385,1500,1500
27386,1500,0
27496.8,0,1500
27498.7,0,0
28387.9,1500,0
28388.9,3000,0
28499.6,3000,1500
28500.5,3000,0
28611.4,1500,1500
28616.3,1500,0
28723.1,0,1500
28727.1,1500,1500
28728.1,1500,0
28838.9,0,1500
28839.8,0,0
29063.4,1500,0
29175.2,1500,1500
29176.1,1500,0
29286.9,0,0
29952.5,1500,0
30064.2,1500,1500
30065.2,1500,0
30065.2,3000,0
30176,3000,1500
30176.9,3000,0
30287.8,1500,1500
30291.8,3000,1500
30292.7,3000,0
30399.5,1500,1500
30403.5,3000,1500
30404.4,3000,0
30511.3,1500,1500
30515.3,3000,1500
30516.2,3000,0
30623,1500,1500
30628,1500,0
30734.8,0,1500
30739.7,0,0
31628.9,1500,0
31740.6,0,1500
31741.5,0,0
31856.4,1500,0
31968.1,0,1500
31969.1,1500,1500
31970.1,1500,0
31970.1,3000,0
32079.9,4500,0
32080.9,3000,0
32191.7,4500,0
32192.7,3000,0
32303.4,4500,0
32304.4,3000,0
32415.2,4500,0
32416.2,3000,0
32527.9,1500,0
32639.7,0,1500
32645.6,0,0
33640.5,1500,0
33752.3,0,1500
33753.2,0,0
34427.8,1500,0
34428.8,3000,0
34539.6,3000,1500
34540.5,3000,0
34651.3,1500,0
34762.1,3000,0
34763.1,1500,1500
34769,1500,0
34874.9,0,0
36216,1500,0
36327.7,0,1500
36328.7,0,0
36438.5,1500,0
36546.2,3000,0
36550.2,1500,0
36662,0,1500
36662.9,0,0
36773.8,1500,0
36885.5,0,0
38227.6,1500,0
38339.4,1500,1500
38340.3,1500,0
38451.1,0,0
38561.9,1500,0
38673.7,0,0
39675.5,1500,0
39787.2,1500,1500
39788.2,1500,0
39788.2,3000,0
39899,1500,1500
39903.9,1500,0
40010.8,0,1500
40015.7,0,0
41468.6,1500,0
41469.6,3000,0
41580.4,3000,1500
41581.3,3000,0
41692.1,1500,0
41803.9,0,1500
41809.8,0,0
43033.3,1500,0
43145,0,1500
43145.9,0,0
