Time,from_ingress_queue_size,to_ingress_queue_size
0,64,nan
476.837,0,nan
477.837,0,64
478.837,0,0
974.575,64,0
975.575,128,0
1451.41,64,0
1452.41,64,64
1454.41,64,0
1928.25,0,0
1929.25,0,64
1930.25,0,0
1949.15,64,0
2425.99,0,0
2426.99,0,64
2428.99,64,0
2905.83,0,0
2906.83,0,0
2923.73,64,0
2924.73,128,0
3400.56,64,0
3401.56,64,64
3403.56,64,0
3404.56,128,0
3877.4,64,0
3878.4,64,64
3879.4,64,0
3898.3,128,0
4354.24,64,0
4355.24,64,64
4357.24,64,0
4375.14,128,0
4376.14,192,0
4831.08,128,0
4832.08,128,0
4851.98,192,0
5307.91,128,0
5308.91,128,64
5310.91,128,0
5328.81,192,0
5784.75,128,0
5785.75,128,64
5786.75,128,0
5805.65,192,0
6261.59,128,0
6262.59,128,64
6264.59,128,0
6282.49,192,0
6738.42,128,0
6739.42,128,64
6740.42,128,0
6760.32,192,0
6761.32,256,0
7215.26,192,0
7216.26,192,64
7218.26,192,0
7236.16,256,0
7692.1,192,0
7693.1,192,64
7695.1,192,0
7714,256,0
8168.94,192,0
8169.94,192,64
8170.94,192,0
8189.84,256,0
8645.77,192,0
8646.77,192,64
8648.77,192,0
8667.67,256,0
9122.61,192,0
9123.61,192,64
9124.61,192,0
9143.51,256,0
9144.51,320,0
9599.45,256,0
9600.45,256,64
9602.45,256,0
9621.35,320,0
10076.3,256,0
10077.3,256,64
10078.3,256,0
10097.2,320,0
10553.1,256,0
10554.1,256,64
10556.1,256,0
10575,320,0
11030,256,0
11031,256,64
11032,256,0
11050.9,320,0
11506.8,256,0
11507.8,256,64
11509.8,256,0
11528.7,320,0
11983.6,256,0
11984.6,256,64
11985.6,256,0
12004.5,320,0
12005.5,384,0
12460.5,320,0
12461.5,320,64
12463.5,320,0
12482.4,384,0
12937.3,320,0
12938.3,320,64
12939.3,320,0
12958.2,384,0
13414.1,320,0
13415.1,320,64
13417.1,320,0
13436,384,0
13891,320,0
13892,320,64
13893,320,0
13911.9,384,0
14367.8,320,0
14368.8,320,64
14370.8,320,0
14389.7,384,0
14844.7,320,0
14845.7,320,64
14846.7,320,0
14865.6,384,0
15321.5,320,0
15322.5,320,64
15324.5,320,0
15343.4,384,0
15798.3,320,0
15799.3,320,64
15800.3,320,0
15819.2,384,0
15820.2,448,0
16275.2,384,0
16276.2,384,64
16278.2,384,0
16297.1,448,0
16752,384,0
16753,384,64
16754,384,0
16772.9,448,0
17228.8,384,0
17229.8,384,64
17231.8,384,0
17250.7,448,0
17705.7,384,0
17706.7,384,64
17707.7,384,0
17726.6,448,0
18182.5,384,0
18183.5,384,64
18185.5,384,0
18204.4,448,0
18659.4,384,0
18660.4,384,64
18661.4,384,0
18680.3,448,0
19136.2,384,0
19137.2,384,64
19139.2,384,0
19158.1,448,0
19613,384,0
19614,384,64
19615,384,0
19633.9,448,0
19634.9,512,0
20089.9,448,0
20090.9,448,64
20092.9,448,0
20111.8,512,0
20566.7,448,0
20567.7,448,64
20568.7,448,0
20587.6,512,0
21043.5,448,0
21044.5,448,64
21046.5,448,0
21065.4,512,0
21520.4,448,0
21521.4,448,64
21522.4,448,0
21541.3,512,0
21997.2,448,0
21998.2,448,64
22000.2,448,0
22019.1,512,0
22474,448,0
22475,448,64
22476,448,0
22495,512,0
22950.9,448,0
22951.9,448,64
22953.9,448,0
22972.8,512,0
23427.7,448,0
23428.7,448,64
23429.7,448,0
23448.6,512,0
23904.6,448,0
23905.6,448,64
23907.6,448,0
23926.5,512,0
24381.4,448,0
24382.4,448,64
24383.4,448,0
24402.3,512,0
24403.3,576,0
24858.2,512,0
24859.2,512,64
24861.2,512,0
25335.1,448,0
25336.1,448,64
25337.1,448,0
25811.9,384,0
25812.9,384,64
25814.9,384,0
26288.7,320,0
26289.7,320,64
26290.7,320,0
26765.6,256,0
26766.6,256,64
26768.6,256,0
27242.4,192,0
27243.4,192,64
27244.4,192,0
27263.3,256,0
27719.3,192,0
27720.3,192,64
27722.3,192,0
27740.2,256,0
28196.1,192,0
28197.1,192,64
28198.1,192,0
28217,256,0
28672.9,192,0
28673.9,192,64
28675.9,192,0
28693.8,256,0
29149.8,192,0
29150.8,192,0
29170.7,256,0
29626.6,192,0
29627.6,192,64
29629.6,192,0
29647.5,256,0
30103.4,192,0
30104.4,192,64
30105.4,192,0
30124.3,256,0
30580.3,192,0
30581.3,192,64
30583.3,192,0
30601.2,256,0
31057.1,192,0
31058.1,192,0
31078,256,0
31534,192,0
31535,192,64
31537,192,0
31554.9,256,0
32010.8,192,0
32011.8,192,64
32012.8,192,0
32031.7,256,0
32032.7,320,0
32487.6,256,0
32488.6,256,64
32490.6,256,0
32508.5,320,0
32964.5,256,0
32965.5,256,64
32966.5,256,0
32985.4,320,0
33441.3,256,0
33442.3,256,64
33444.3,256,0
33462.2,320,0
33918.1,256,0
33919.1,256,64
33920.1,256,0
33939,320,0
34395,256,0
34396,256,64
34398,256,0
34415.9,320,0
34871.8,256,0
34872.8,256,64
34873.8,256,0
34892.7,320,0
34893.7,384,0
35348.7,320,0
35349.7,320,64
35351.7,320,0
35369.6,384,0
35825.5,320,0
35826.5,320,64
35827.5,320,0
35846.4,384,0
36302.3,320,0
36303.3,320,64
36305.3,320,0
36323.2,384,0
36779.2,320,0
36780.2,320,64
36781.2,320,0
36800.1,384,0
37256,320,0
37257,320,64
37259,320,0
37276.9,384,0
37732.8,320,0
37733.8,320,64
37734.8,320,0
37753.7,384,0
38209.7,320,0
38210.7,320,64
38212.7,320,0
38230.6,384,0
38686.5,320,0
38687.5,320,64
38688.5,320,0
38707.4,384,0
38708.4,448,0
39163.4,384,0
39164.4,384,64
39166.4,384,0
39184.3,448,0
39640.2,384,0
39641.2,384,64
39642.2,384,0
39661.1,448,0
40117,384,0
40118,384,64
40120,384,0
40137.9,448,0
40593.9,384,0
40594.9,384,64
40595.9,384,0
40614.8,448,0
41070.7,384,0
41071.7,384,64
41073.7,384,0
41091.6,448,0
41547.5,384,0
41548.5,384,64
41549.5,384,0
41568.4,448,0
42024.4,384,0
42025.4,384,64
42027.4,384,0
42045.3,448,0
42501.2,384,0
42502.2,384,64
42503.2,384,0
42522.1,448,0
42523.1,512,0
42978,448,0
42979,448,64
42981,448,0
42998.9,512,0
43454.9,448,0
43455.9,448,64
43456.9,448,0
43475.8,512,0
43931.7,448,0
43932.7,448,64
43934.7,448,0
43952.6,512,0
44408.6,448,0
44409.6,448,64
44410.6,448,0
44429.5,512,0
44885.4,448,0
44886.4,448,64
44888.4,448,0
45362.2,384,0
45363.2,384,64
45364.2,384,0
45839.1,320,0
45840.1,320,64
45842.1,320,0
46315.9,256,0
46316.9,256,64
46317.9,256,0
46792.7,192,0
46793.7,192,64
46795.7,192,0
47269.6,128,0
47270.6,128,64
47271.6,128,0
47746.4,64,0
47747.4,64,64
47749.4,64,0
48223.3,0,0
48224.3,0,64
48225.3,0,0
