Time,from_ingress_queue_size,to_ingress_queue_size
1527.62,1,nan
1528.37,0,1
1529.37,0,0
3052.5,1,0
3053.25,0,1
3055.25,0,0
3056.99,1,0
3057.74,0,1
3059.74,0,0
3821.93,1,0
3822.68,0,1
3824.68,0,0
4589.62,1,0
4590.36,0,1
4592.36,0,0
5355.3,1,0
5356.05,0,1
5358.05,0,0
6108.75,1,0
6109.5,0,1
6111.5,0,0
6120.99,1,0
6121.73,0,1
6123.73,0,0
6884.93,1,0
6885.67,0,1
6887.67,0,0
7635.63,1,0
7636.37,0,1
7638.37,0,0
7646.86,1,0
7647.61,0,1
7649.61,0,0
8410.8,1,0
8411.55,0,1
8413.55,0,0
9166,1,0
9166.74,0,1
9168.74,0,0
9172.74,1,0
9173.49,0,1
9175.49,0,0
9936.68,1,0
9937.43,0,1
9939.43,0,0
10692.9,1,0
10693.6,0,1
10695.6,0,0
10698.6,1,0
10699.4,0,1
10701.4,0,0
11462.6,1,0
11463.3,0,1
11465.3,0,0
12222.8,1,0
12223.5,0,1
12225.5,1,0
12226.2,0,1
12228.5,0,0
12988.4,1,0
12989.2,0,1
12991.2,0,0
13748.6,1,0
13749.4,0,1
13751.4,1,0
13752.1,0,1
13754.4,0,0
14514.3,1,0
14515.1,0,1
14517.1,0,0
15274.5,1,0
15275.3,0,1
15277.3,1,0
15278,0,1
15280.3,0,0
16040.2,1,0
16040.9,0,1
16042.9,0,0
16800.4,1,0
16801.1,0,1
16803.1,1,0
16803.9,0,1
16806.1,0,0
17566.1,1,0
17566.8,0,1
17568.8,0,0
18326.3,1,0
18327,0,1
18329,1,0
18329.8,0,1
18332,0,0
19092,1,0
19092.7,0,1
19094.7,0,0
19852.2,1,0
19852.9,0,1
19854.9,1,0
19855.6,0,1
19857.9,0,0
20617.8,1,0
20618.6,0,1
20620.6,0,0
21378,1,0
21378.8,0,1
21380.8,1,0
21381.5,0,1
21383.8,0,0
22143.7,1,0
22144.5,0,1
22146.5,0,0
22903.9,1,0
22904.7,0,1
22906.7,1,0
22907.4,0,1
22909.7,0,0
23669.6,1,0
23670.3,0,1
23672.3,0,0
24432.5,1,0
24433.3,0,1
24435.3,1,0
24436,0,1
24438.3,0,0
25194.5,1,0
25195.2,0,1
25197.2,0,0
25958.4,1,0
25959.2,0,1
25961.2,1,0
25961.9,0,1
25964.2,0,0
26720.4,1,0
26721.1,0,1
26723.1,0,0
27485.3,1,0
27486,0,1
27488,0,0
28253,1,0
28253.7,0,1
28255.7,0,0
29018.7,1,0
29019.4,0,1
29020.7,1,1
29021.4,0,1
29024.4,0,0
29784.3,1,0
29785.1,0,1
29787.1,0,0
30548.3,1,0
30549,0,1
30551,0,0
31311.2,1,0
31312,0,1
31314,0,0
32074.2,1,0
32074.9,0,1
32076.9,0,0
32837.1,1,0
32837.8,0,1
32839.8,0,0
33600,1,0
33600.8,0,1
33602.8,0,0
34363,1,0
34363.7,0,1
34365.7,0,0
35125.9,1,0
35126.7,0,1
35128.7,0,0
35888.9,1,0
35889.6,0,1
35891.6,0,0
36651.8,1,0
36652.5,0,1
36654.5,0,0
37414.7,1,0
37415.5,0,1
37417.5,0,0
38177.7,1,0
38178.4,0,1
38180.4,0,0
38940.6,1,0
38941.4,0,1
38943.4,0,0
39703.6,1,0
39704.3,0,1
39706.3,0,0
40466.5,1,0
40467.2,0,1
40469.2,0,0
41229.4,1,0
41230.2,0,1
41232.2,0,0
41992.4,1,0
41993.1,0,1
41995.1,0,0
42755.3,1,0
42756.1,0,1
42758.1,0,0
43518.3,1,0
43519,0,1
43521,0,0
44281.2,1,0
44281.9,0,1
44283.9,0,0
45044.1,1,0
45044.9,0,1
45046.9,0,0
45807.1,1,0
45807.8,0,1
45809.8,0,0
46570,1,0
46570.8,0,1
46572.8,0,0
47333,1,0
47333.7,0,1
47335.7,0,0
48095.9,1,0
48096.6,0,1
48098.6,0,0
48858.8,1,0
48859.6,0,1
48861.6,0,0
49621.8,1,0
49622.5,0,1
49624.5,0,0
50384.7,1,0
50385.5,0,1
50387.5,0,0
51148.6,1,0
51149.4,0,1
51151.4,0,0
51916.3,1,0
51917.1,0,1
51919.1,0,0
52682,1,0
52682.8,0,1
52684.8,0,0
53448.7,1,0
53449.4,0,1
53451.4,0,0
54211.6,1,0
54212.4,0,1
54214.4,0,0
54974.6,1,0
54975.3,0,1
54977.3,0,0
55737.5,1,0
55738.3,0,1
55740.3,0,0
56500.5,1,0
56501.2,0,1
56503.2,0,0
57263.4,1,0
57264.1,0,1
57266.1,0,0
58026.3,1,0
58027.1,0,1
58029.1,0,0
58789.3,1,0
58790,0,1
58792,0,0
59552.2,1,0
59553,0,1
59555,0,0
60315.2,1,0
60315.9,0,1
60317.9,0,0
61078.1,1,0
61078.8,0,1
61080.8,0,0
61841,1,0
61841.8,0,1
61843.8,0,0
62604,1,0
62604.7,0,1
62606.7,0,0
63366.9,1,0
63367.7,0,1
63369.7,0,0
64129.9,1,0
64130.6,0,1
64132.6,0,0
64892.8,1,0
64893.5,0,1
64895.5,0,0
65655.7,1,0
65656.5,0,1
65658.5,0,0
66418.7,1,0
66419.4,0,1
66421.4,0,0
67181.6,1,0
67182.4,0,1
67184.4,0,0
67944.6,1,0
67945.3,0,1
67947.3,0,0
68707.5,1,0
68708.2,0,1
68710.2,0,0
69470.4,1,0
69471.2,0,1
69473.2,0,0
70233.4,1,0
70234.1,0,1
70236.1,0,0
70996.3,1,0
70997.1,0,1
70999.1,0,0
71759.2,1,0
71760,0,1
71762,0,0
72522.2,1,0
72522.9,0,1
72524.9,0,0
73285.1,1,0
73285.9,0,1
73287.9,0,0
74048.1,1,0
74048.8,0,1
74050.8,0,0
74812,1,0
74812.8,0,1
74814.8,0,0
75579.7,1,0
75580.4,0,1
75582.4,0,0
76345.4,1,0
76346.1,0,1
76348.1,0,0
77112.1,1,0
77112.8,0,1
77114.8,0,0
77875,1,0
77875.7,0,1
77877.7,0,0
78637.9,1,0
78638.7,0,1
78640.7,0,0
79400.9,1,0
79401.6,0,1
79403.6,0,0
80163.8,1,0
80164.6,0,1
80166.6,0,0
80926.8,1,0
80927.5,0,1
80929.5,0,0
81689.7,1,0
81690.4,0,1
81692.4,0,0
82452.6,1,0
82453.4,0,1
82455.4,0,0
83215.6,1,0
83216.3,0,1
83218.3,0,0
83978.5,1,0
83979.3,0,1
83981.3,0,0
84741.5,1,0
84742.2,0,1
84744.2,0,0
85504.4,1,0
85505.1,0,1
85507.1,0,0
86267.3,1,0
86268.1,0,1
86270.1,0,0
87030.3,1,0
87031,0,1
87033,0,0
87793.2,1,0
87794,0,1
87796,0,0
88556.2,1,0
88556.9,0,1
88558.9,0,0
89319.1,1,0
89319.8,0,1
89321.8,0,0
90082,1,0
90082.8,0,1
90084.8,0,0
90845,1,0
90845.7,0,1
90847.7,0,0
91607.9,1,0
91608.7,0,1
91610.7,0,0
92370.8,1,0
92371.6,0,1
92373.6,0,0
93133.8,1,0
93134.5,0,1
93136.5,0,0
93896.7,1,0
93897.5,0,1
93899.5,0,0
94659.7,1,0
94660.4,0,1
94662.4,0,0
95422.6,1,0
95423.4,0,1
95425.4,0,0
96185.5,1,0
96186.3,0,1
96188.3,0,0
96948.5,1,0
96949.2,0,1
96951.2,0,0
97711.4,1,0
97712.2,0,1
97714.2,0,0
98475.4,1,0
98476.1,0,1
98478.1,0,0
99243,1,0
99243.8,0,1
99245.8,0,0
