Time,from_ingress_queue_size,to_ingress_queue_size
1341.14,1,nan
1341.89,0,0
2494.04,1,0
2494.79,0,0
2876.51,1,0
2877.26,0,0
3644.94,1,0
3645.69,0,1
3646.94,0,0
4030.41,1,0
4031.16,0,0
4984.83,1,0
4985.58,0,0
5366.3,1,0
5367.05,0,0
5747.77,1,0
5748.52,0,0
6892.18,1,0
6892.93,0,0
7273.65,1,0
7274.4,0,0
7655.12,1,0
7655.86,0,0
8036.59,1,0
8037.33,0,0
9371.73,1,0
9372.48,0,0
9753.2,1,0
9753.95,0,0
10134.7,1,0
10135.4,0,0
10516.1,1,0
10516.9,0,0
10897.6,1,0
10898.4,0,0
12423.5,1,0
12424.2,0,0
12805,1,0
12805.7,0,0
13186.4,1,0
13187.2,0,0
13567.9,1,0
13568.6,0,0
13949.4,1,0
13950.1,0,0
14330.8,1,0
14331.6,0,0
16047.5,1,0
16048.2,0,0
16428.9,1,0
16429.7,0,0
16810.4,1,0
16811.1,0,0
17191.9,1,0
17192.6,0,0
17573.3,1,0
17574.1,0,0
17954.8,1,0
17955.5,0,0
18336.3,1,0
18337,0,0
20052.9,1,0
20053.6,0,0
20434.4,1,0
20435.1,0,0
20815.8,1,0
20816.6,0,0
21197.3,1,0
21198,0,0
21578.8,1,0
21579.5,0,0
21960.2,1,0
21961,0,0
22341.7,1,0
22342.4,0,0
24249.1,1,0
24249.8,0,0
24630.5,1,0
24631.3,0,0
25012,1,0
25012.7,0,0
25393.5,1,0
25394.2,0,0
25774.9,1,0
25775.7,0,0
26156.4,1,0
26157.1,0,0
26537.9,1,0
26538.6,0,0
26919.3,1,0
26920.1,0,0
28063.8,1,0
28064.5,0,0
28445.2,1,0
28446,0,0
28826.7,1,0
28827.4,0,0
29208.2,1,0
29208.9,0,0
29971.1,1,0
29971.8,0,0
30352.6,1,0
30353.3,0,0
30734,1,0
30734.8,0,0
31115.5,1,0
31116.3,0,0
31497,1,0
31497.7,0,0
32450.7,1,0
32451.4,0,0
32832.1,1,0
32832.9,0,0
33213.6,1,0
33214.3,0,0
33595.1,1,0
33595.8,0,0
33976.5,1,0
33977.3,0,0
34358,1,0
34358.7,0,0
35311.7,1,0
35312.4,0,0
35693.1,1,0
35693.9,0,0
36074.6,1,0
36075.4,0,0
36456.1,1,0
36456.8,0,0
36837.6,1,0
36838.3,0,0
37219,1,0
37219.8,0,0
38363.4,1,0
38364.2,0,0
38744.9,1,0
38745.6,0,0
39126.4,1,0
39127.1,0,0
39507.8,1,0
39508.6,0,0
39889.3,1,0
39890.1,0,0
40270.8,1,0
40271.5,0,0
40652.3,1,0
40653,0,0
41987.4,1,0
41988.1,0,0
42368.9,1,0
42369.6,0,0
42750.3,1,0
42751.1,0,0
43131.8,1,0
43132.5,0,0
43513.3,1,0
43514,0,0
43894.7,1,0
43895.5,0,0
44276.2,1,0
44277,0,0
44657.7,1,0
44658.4,0,0
46183.6,1,0
46184.3,0,0
46565,1,0
46565.8,0,0
46946.5,1,0
46947.2,0,0
47328,1,0
47328.7,0,0
47709.4,1,0
47710.2,0,0
48090.9,1,0
48091.7,0,0
48472.4,1,0
48473.1,0,0
48853.9,1,0
48854.6,0,0
49235.3,1,0
49236.1,0,0
50951.9,1,0
50952.7,0,0
51333.4,1,0
51334.1,0,0
51714.9,1,0
51715.6,0,0
52096.3,1,0
52097.1,0,0
53050,1,0
53050.8,0,0
53431.5,1,0
53432.2,0,0
54575.9,1,0
54576.6,0,0
54957.4,1,0
54958.1,0,0
55338.8,1,0
55339.6,0,0
56674,1,0
56674.7,0,0
