Time,from_ingress_queue_size,to_ingress_queue_size
0,64,nan
476.837,0,nan
477.837,0,64
478.837,0,0
974.575,64,0
975.575,128,0
1451.41,64,0
1452.41,64,64
1454.41,64,0
1928.25,0,0
1929.25,0,64
1930.25,0,0
1949.15,64,0
1950.15,128,0
2425.99,64,0
2426.99,64,64
2428.99,128,0
2429.99,192,0
2902.83,128,0
2903.83,128,0
2923.73,192,0
2924.73,256,0
3379.66,192,0
3380.66,192,64
3382.66,192,0
3400.56,256,0
3401.56,320,0
3856.5,256,0
3857.5,256,64
3858.5,256,0
3877.4,320,0
3878.4,384,0
4333.34,320,0
4334.34,320,64
4336.34,320,0
4354.24,384,0
4355.24,448,0
4810.17,384,0
4811.17,384,64
4812.17,384,0
4832.08,448,0
5287.01,384,0
5288.01,384,64
5290.01,384,0
5307.91,448,0
5763.85,384,0
5764.85,384,64
5766.85,384,0
5785.75,448,0
6240.69,384,0
6241.69,384,64
6242.69,384,0
6261.59,448,0
6717.52,384,0
6718.52,384,64
6720.52,384,0
6739.42,448,0
7194.36,384,0
7195.36,384,64
7196.36,384,0
7215.26,448,0
7671.2,384,0
7672.2,384,64
7674.2,384,0
7693.1,448,0
8148.03,384,0
8149.03,384,64
8150.03,384,0
8168.94,448,0
8624.87,384,0
8625.87,384,64
8627.87,384,0
8646.77,448,0
8647.77,512,0
9101.71,448,0
9102.71,448,64
9103.71,448,0
9122.61,512,0
9578.55,448,0
9579.55,448,64
9581.55,448,0
9600.45,512,0
10055.4,448,0
10056.4,448,64
10057.4,448,0
10076.3,512,0
10532.2,448,0
10533.2,448,64
10535.2,448,0
10554.1,512,0
11009.1,448,0
11010.1,448,64
11011.1,448,0
11030,512,0
11485.9,448,0
11486.9,448,64
11488.9,448,0
11507.8,512,0
11962.7,448,0
11963.7,448,64
11964.7,448,0
11983.6,512,0
12439.6,448,0
12440.6,448,64
12442.6,448,0
12461.5,512,0
12916.4,448,0
12917.4,448,64
12918.4,448,0
12937.3,512,0
12938.3,576,0
13393.2,512,0
13394.2,512,64
13396.2,512,0
13415.1,576,0
13870.1,512,0
13871.1,512,64
13872.1,512,0
13891,576,0
14346.9,512,0
14347.9,512,64
14349.9,512,0
14823.8,448,0
14824.8,448,64
14825.8,448,0
15300.6,384,0
15301.6,384,64
15303.6,384,0
15777.4,320,0
15778.4,320,64
15779.4,320,0
16254.3,256,0
16255.3,256,64
16257.3,256,0
16731.1,192,0
16732.1,192,64
16733.1,192,0
17207.9,128,0
17208.9,128,64
17210.9,128,0
17684.8,64,0
17685.8,64,64
17686.8,64,0
18161.6,0,0
18162.6,0,64
18164.6,0,0
18661.4,64,0
19138.2,0,0
19139.2,0,64
19140.2,0,0
19634.9,64,0
19635.9,128,0
20111.8,64,0
20112.8,64,64
20113.8,64,0
20588.6,0,0
20589.6,0,64
20592.6,0,0
20608.5,64,0
20609.5,128,0
21085.3,64,0
21086.3,64,64
21088.3,128,0
21089.3,192,0
21562.2,128,0
21563.2,128,64
21566.2,128,0
21583.1,192,0
21584.1,256,0
22039,192,0
22040,192,64
22041,192,0
22060.9,256,0
22061.9,320,0
22515.9,256,0
22516.9,256,64
22518.9,256,0
22537.8,320,0
22992.7,256,0
22993.7,256,0
23014.6,320,0
23469.5,256,0
23470.5,256,64
23472.5,256,0
23491.4,320,0
23946.4,256,0
23947.4,256,64
23948.4,256,0
23968.3,320,0
24423.2,256,0
24424.2,256,64
24426.2,256,0
24445.1,320,0
24900,256,0
24901,256,64
24903,256,0
24921.9,320,0
25376.9,256,0
25377.9,256,64
25379.9,256,0
25398.8,320,0
25399.8,384,0
25853.7,320,0
25854.7,320,64
25856.7,320,0
25877.6,384,0
26330.5,320,0
26331.5,320,64
26333.5,320,0
26352.5,384,0
26807.4,320,0
26808.4,320,64
26810.4,320,0
26829.3,384,0
27284.2,320,0
27285.2,320,0
27306.1,384,0
27761.1,320,0
27762.1,320,64
27764.1,320,0
27783,384,0
28237.9,320,0
28238.9,320,64
28239.9,320,0
28259.8,384,0
28714.7,320,0
28715.7,320,64
28717.7,320,0
28736.6,384,0
28737.6,448,0
29191.6,384,0
29192.6,384,0
29213.5,448,0
29668.4,384,0
29669.4,384,64
29671.4,384,0
29690.3,448,0
30145.2,384,0
30146.2,384,64
30147.2,384,0
30167.1,448,0
30622.1,384,0
30623.1,384,64
30625.1,384,0
30644,448,0
31098.9,384,0
31099.9,384,0
31120.8,448,0
31575.8,384,0
31576.8,384,64
31578.8,384,0
31597.7,448,0
32052.6,384,0
32053.6,384,64
32054.6,384,0
32074.5,448,0
32529.4,384,0
32530.4,384,64
32532.4,384,0
32551.3,448,0
33006.3,384,0
33007.3,384,0
33028.2,448,0
33029.2,512,0
33483.1,448,0
33484.1,448,64
33486.1,448,0
33505,512,0
33959.9,448,0
33960.9,448,64
33961.9,448,0
33981.8,512,0
34436.8,448,0
34437.8,448,64
34439.8,448,0
34458.7,512,0
34913.6,448,0
34914.6,448,64
34915.6,448,0
34935.5,512,0
35390.5,448,0
35391.5,448,64
35393.5,448,0
35412.4,512,0
35867.3,448,0
35868.3,448,64
35869.3,448,0
35889.2,512,0
36344.1,448,0
36345.1,448,64
36347.1,448,0
36366,512,0
36821,448,0
36822,448,64
36823,448,0
36842.9,512,0
37297.8,448,0
37298.8,448,64
37300.8,448,0
37319.7,512,0
37320.7,576,0
37774.6,512,0
37775.6,512,64
37776.6,512,0
37796.5,576,0
38251.5,512,0
38252.5,512,64
38254.5,512,0
38728.3,448,0
38729.3,448,64
38730.3,448,0
39205.2,384,0
39206.2,384,64
39208.2,384,0
39682,320,0
39683,320,64
39684,320,0
40158.8,256,0
40159.8,256,64
40161.8,256,0
40635.7,192,0
40636.7,192,64
40637.7,192,0
41112.5,128,0
41113.5,128,64
41115.5,128,0
41589.3,64,0
41590.3,64,64
41591.3,64,0
42066.2,0,0
42067.2,0,64
42069.2,0,0
42566.9,64,0
43043.8,0,0
43044.8,0,64
43046.8,0,0
43543.5,64,0
43544.5,128,0
44020.3,64,0
44021.3,64,64
44023.3,64,0
44497.2,0,0
44498.2,0,64
44499.2,0,0
44518.1,64,0
44519.1,128,0
44994.9,64,0
44995.9,64,64
44997.9,128,0
44998.9,192,0
45471.7,128,0
45472.7,128,64
45473.7,128,0
45492.6,192,0
45493.6,256,0
45948.6,192,0
45949.6,192,64
45951.6,192,0
45969.5,256,0
45970.5,320,0
46425.4,256,0
46426.4,256,64
46427.4,256,0
46446.3,320,0
46902.3,256,0
46903.3,256,64
46905.3,256,0
46923.2,320,0
47379.1,256,0
47380.1,256,64
47381.1,256,0
47400,320,0
47855.9,256,0
47856.9,256,64
47858.9,256,0
47876.8,320,0
48332.8,256,0
48333.8,256,64
48334.8,256,0
48809.6,192,0
48810.6,192,64
48812.6,192,0
49286.4,128,0
49287.4,128,64
49288.4,128,0
49763.3,64,0
49764.3,64,64
49766.3,64,0
50240.1,0,0
50241.1,0,64
50242.1,0,0
