Time,from_ingress_queue_size,to_ingress_queue_size
561.868,1,nan
561.943,0,0
1454.94,1,0
1455.01,0,0
1677.46,1,0
1677.53,0,0
3243.08,1,0
3243.15,0,0
3465.59,1,0
3465.67,0,0
3577.35,1,0
3577.43,0,0
3800.87,1,0
3800.95,0,0
6711.6,1,0
6711.67,0,0
6935.11,1,0
6935.19,0,0
7046.87,1,0
7046.95,0,0
7158.63,1,0
7158.71,0,0
7270.39,1,0
7270.47,0,0
7382.15,1,0
7382.22,0,0
7605.67,1,0
7605.74,0,0
7829.18,1,0
7829.26,0,0
8832.01,1,0
8832.09,0,0
9391.81,1,0
9391.88,0,0
9724.08,1,0
9724.16,0,0
10619.2,1,0
10619.2,0,0
10841.7,1,0
10841.7,0,0
11180.9,1,0
11181,0,0
11400.5,1,0
11400.5,0,0
12295.5,1,0
12295.6,0,0
12518,1,0
12518.1,0,0
12970.1,1,0
12970.2,0,0
13188.6,1,0
13188.7,0,0
14307.2,1,0
14307.3,0,0
14530.7,1,0
14530.8,0,0
14642.5,1,0
14642.5,0,0
14976.7,1,0
14976.8,0,0
15204.3,1,0
15204.3,0,0
15760.1,1,0
15760.1,0,0
16095.3,1,0
16095.4,0,0
16207.1,1,0
16207.2,0,0
16429.6,1,0
16429.7,0,0
16658.1,1,0
16658.2,0,0
17103.2,1,0
17103.2,0,0
17660,1,0
17660,0,0
18107,1,0
18107.1,0,0
18218.7,1,0
18218.8,0,0
18441.3,1,0
18441.3,0,0
18557,1,0
18557.1,0,0
19671.6,1,0
19671.7,0,0
19783.4,1,0
19783.4,0,0
20005.9,1,0
20006,0,0
20122.6,1,0
20122.7,0,0
21348,1,0
21348.1,0,0
21459.7,1,0
21459.8,0,0
21570.5,1,0
21570.6,0,0
21682.3,1,0
21682.3,0,0
21794,1,0
21794.1,0,0
23251.9,1,0
23252,0,0
23363.6,1,0
23363.7,0,0
23475.4,1,0
23475.5,0,0
23587.2,1,0
23587.2,0,0
23698.9,1,0
23699,0,0
23917.4,1,0
23917.5,0,0
25151.8,1,0
25151.9,0,0
25263.5,1,0
25263.6,0,0
25482.1,1,0
25482.1,0,0
25710.6,1,0
25710.7,0,0
26600.6,1,0
26600.7,0,0
26712.4,1,0
26712.5,0,0
26934.9,1,0
26935,0,0
27050.7,1,0
27050.8,0,0
27386,1,0
27386,0,0
28504.5,1,0
28504.6,0,0
28612.3,1,0
28612.4,0,0
28834.8,1,0
28834.9,0,0
28951.6,1,0
28951.7,0,0
29063.3,1,0
29063.4,0,0
29398.6,1,0
29398.7,0,0
30624,1,0
30624,0,0
30735.7,1,0
30735.8,0,0
30847.5,1,0
30847.6,0,0
30958.2,1,0
30958.3,0,0
31070,1,0
31070.1,0,0
31298.5,1,0
31298.6,0,0
31522,1,0
31522.1,0,0
32527.9,1,0
32527.9,0,0
32751.4,1,0
32751.5,0,0
32859.1,1,0
32859.2,0,0
34200.2,1,0
34200.3,0,0
34312,1,0
34312.1,0,0
34539.5,1,0
34539.6,0,0
34758,1,0
34758.1,0,0
36100.1,1,0
36100.2,0,0
36322.7,1,0
36322.7,0,0
37445.2,1,0
37445.3,0,0
37663.8,1,0
37663.8,0,0
37892.3,1,0
37892.4,0,0
38894.1,1,0
38894.2,0,0
39116.6,1,0
39116.7,0,0
39232.4,1,0
39232.5,0,0
39451.9,1,0
39452,0,0
40351,1,0
40351,0,0
40574.5,1,0
40574.6,0,0
40798,1,0
40798.1,0,0
41020.5,1,0
41020.6,0,0
41132.3,1,0
41132.4,0,0
